date,weather_code,temperature_2m_max,temperature_2m_min,temperature_avg_f,apparent_temperature_max,apparent_temperature_min,apparent_temperature_avg_f,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,has_rain,has_snow,has_precipitation
2014-04-01,3,56.5,30.1,43.3,54.4,23.4,38.9,0.0,0.0,0.0,0.0,8.5,False,False,False
2014-04-02,53,53.4,35.9,44.65,50.5,30.4,40.45,0.071,0.071,0.0,3.0,6.3,True,False,True
2014-04-03,53,60.3,37.0,48.65,57.8,30.8,44.3,0.02,0.02,0.0,1.0,6.7,True,False,True
2014-04-04,53,43.6,39.8,41.7,40.0,31.7,35.85,0.197,0.197,0.0,14.0,12.8,True,False,True
2014-04-05,51,53.6,39.6,46.6,44.6,30.7,37.65,0.008,0.008,0.0,1.0,15.5,True,False,True
2014-04-06,3,55.8,31.7,43.75,51.1,24.0,37.55,0.0,0.0,0.0,0.0,8.9,False,False,False
2014-04-07,63,48.3,34.4,41.349999999999994,41.5,29.0,35.25,0.331,0.331,0.0,8.0,13.1,True,False,True
2014-04-08,53,64.2,45.8,55.0,57.9,38.7,48.3,0.146,0.146,0.0,8.0,15.6,True,False,True
2014-04-09,1,58.8,37.1,47.95,52.4,31.5,41.95,0.0,0.0,0.0,0.0,13.3,False,False,False
2014-04-10,1,58.2,34.4,46.3,53.1,28.4,40.75,0.0,0.0,0.0,0.0,12.4,False,False,False
2014-04-11,53,69.5,49.7,59.6,68.3,41.8,55.05,0.055,0.055,0.0,4.0,10.8,True,False,True
2014-04-12,53,67.6,44.5,56.05,66.4,41.3,53.85,0.055,0.055,0.0,3.0,9.4,True,False,True
2014-04-13,3,73.7,45.8,59.75,73.8,41.1,57.45,0.0,0.0,0.0,0.0,12.0,False,False,False
2014-04-14,3,71.4,56.9,64.15,68.0,53.8,60.9,0.0,0.0,0.0,0.0,15.0,False,False,False
2014-04-15,63,62.3,37.4,49.849999999999994,59.7,28.9,44.3,0.823,0.823,0.0,19.0,19.1,True,False,True
2014-04-16,73,47.0,31.8,39.4,39.7,20.0,29.85,0.146,0.047,0.689,3.0,15.8,True,True,True
2014-04-17,3,46.0,34.3,40.15,41.3,25.8,33.55,0.0,0.0,0.0,0.0,9.1,False,False,False
2014-04-18,3,46.3,36.2,41.25,42.7,29.1,35.900000000000006,0.0,0.0,0.0,0.0,8.1,False,False,False
2014-04-19,3,62.9,37.0,49.95,58.5,31.4,44.95,0.0,0.0,0.0,0.0,8.8,False,False,False
2014-04-20,3,53.1,39.5,46.3,49.8,34.1,41.95,0.0,0.0,0.0,0.0,10.9,False,False,False
2014-04-21,0,61.4,35.1,48.25,59.7,30.2,44.95,0.0,0.0,0.0,0.0,7.4,False,False,False
2014-04-22,53,68.9,42.0,55.45,68.1,37.4,52.75,0.047,0.047,0.0,3.0,7.8,True,False,True
2014-04-23,51,57.7,44.5,51.1,52.0,34.4,43.2,0.02,0.02,0.0,2.0,18.4,True,False,True
2014-04-24,0,58.5,40.4,49.45,48.8,30.5,39.65,0.0,0.0,0.0,0.0,16.8,False,False,False
2014-04-25,53,58.0,37.4,47.7,54.7,31.7,43.2,0.028,0.028,0.0,2.0,10.4,True,False,True
2014-04-26,63,63.5,45.8,54.65,59.1,41.8,50.45,0.768,0.768,0.0,12.0,10.1,True,False,True
2014-04-27,3,55.5,41.2,48.35,48.1,34.6,41.35,0.0,0.0,0.0,0.0,12.1,False,False,False
2014-04-28,3,61.1,38.7,49.900000000000006,59.2,33.5,46.35,0.0,0.0,0.0,0.0,7.9,False,False,False
2014-04-29,53,48.2,42.2,45.2,42.6,33.7,38.150000000000006,0.142,0.142,0.0,8.0,15.1,True,False,True
2014-04-30,63,53.3,41.6,47.45,50.2,33.2,41.7,1.374,1.374,0.0,24.0,16.2,True,False,True
2014-05-01,61,71.9,54.6,63.25,73.8,51.9,62.849999999999994,0.315,0.315,0.0,11.0,10.9,True,False,True
2014-05-02,51,64.9,51.6,58.25,58.2,47.1,52.650000000000006,0.004,0.004,0.0,1.0,14.0,True,False,True
2014-05-03,3,65.2,44.4,54.8,62.1,40.5,51.3,0.0,0.0,0.0,0.0,10.2,False,False,False
2014-05-04,51,60.2,49.1,54.650000000000006,51.4,41.8,46.599999999999994,0.004,0.004,0.0,1.0,18.0,True,False,True
2014-05-05,3,64.7,46.4,55.55,60.0,38.8,49.4,0.0,0.0,0.0,0.0,13.5,False,False,False
2014-05-06,3,65.5,44.7,55.1,60.0,39.4,49.7,0.0,0.0,0.0,0.0,11.1,False,False,False
2014-05-07,3,64.2,43.8,54.0,63.1,38.6,50.85,0.0,0.0,0.0,0.0,9.3,False,False,False
2014-05-08,61,57.3,50.6,53.95,57.0,48.6,52.8,0.382,0.382,0.0,9.0,6.2,True,False,True
2014-05-09,61,63.6,51.2,57.400000000000006,62.8,49.3,56.05,0.138,0.138,0.0,5.0,8.7,True,False,True
2014-05-10,53,79.8,56.6,68.2,80.6,56.6,68.6,0.079,0.079,0.0,6.0,12.1,True,False,True
2014-05-11,51,76.2,58.9,67.55,75.1,58.3,66.69999999999999,0.004,0.004,0.0,1.0,9.2,True,False,True
