pickup_date,pickup_month,base,base_name,trips,vehicles
2015-01-01,2015-01,B00013,LOVE CORP CAR INC,26,17
2015-01-01,2015-01,B00014,NY ONE CORP CAR INC,45,24
2015-01-01,2015-01,B00029,COMMUNITY CAR SVC CORP,731,36
2015-01-01,2015-01,B00053,CHARGE AND RIDE INC,10,9
2015-01-01,2015-01,B00095,LIBERTY CAR SERVICE INC.,814,62
2015-01-01,2015-01,B00221,PROFESSIONAL CAR SERVICE INC,220,46
2015-01-01,2015-01,B00227,"PARK WEST EXEC. SERVICES, INC.",36,28
2015-01-01,2015-01,B00248,YELLOWSTONE TRANSPORTATION INC.,1137,106
2015-01-01,2015-01,B00254,XYZ TWO WAY RADIO,236,103
2015-01-01,2015-01,B00280,FLEET RADIO DISPATCH CORP.,47,29
2015-01-01,2015-01,B00310,WATSON CAR SERVICE INC.,1792,119
2015-01-01,2015-01,B00381,BELL RADIO INC,23,13
2015-01-01,2015-01,B00412,NYC 2 WAY INTERNATIONAL LTD,83,20
2015-01-01,2015-01,B00457,PREMIUM BRONX CORP,1846,86
2015-01-01,2015-01,B00477,INTA-BORO ACRES INC,57,39
2015-01-01,2015-01,B00552,HINO-MARU ENTERPRISES INC.,9,8
2015-01-01,2015-01,B00623,MANHATTAN INT'L LIMO NETWORK LLC,4,2
2015-01-01,2015-01,B00837,CAREY LIMO N Y INC,81,37
2015-01-01,2015-01,B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,1765,579
2015-01-01,2015-01,B00919,HARLEM CARS INC.,766,65
2015-01-01,2015-01,B00948,510 CAR SERVICE CORP,445,46
2015-01-01,2015-01,B01066,DOMINICANA RAD DISP INC,704,69
2015-01-01,2015-01,B01083,BROAD DYCKMAN C/S INC,741,65
2015-01-01,2015-01,B01087,ELITE LIMO PLUS INC,87,58
2015-01-01,2015-01,B01148,EVELYN CAR SERVICE INC,485,49
2015-01-01,2015-01,B01197,"TEL-A-CAR OF NEW YORK, LLC",23,12
2015-01-01,2015-01,B01282,NEW LOTS C/S INC,581,43
2015-01-01,2015-01,B01285,UNION RADIO DISPATCH INC,996,95
