pickup_date,pickup_month,company,borough,trips
2015-01-01,2015-01,Uber,Bronx,1082
2015-01-01,2015-01,Uber,Brooklyn,12566
2015-01-01,2015-01,Uber,EWR,1
2015-01-01,2015-01,Uber,Manhattan,36469
2015-01-01,2015-01,Uber,Queens,5131
2015-01-01,2015-01,Uber,Staten Island,50
2015-01-01,2015-01,Uber,Unknown,31
2015-01-02,2015-01,Uber,Bronx,519
2015-01-02,2015-01,Uber,Brooklyn,7055
2015-01-02,2015-01,Uber,Manhattan,26619
2015-01-02,2015-01,Uber,Queens,4224
2015-01-02,2015-01,Uber,Staten Island,23
2015-01-02,2015-01,Uber,Unknown,15
2015-01-03,2015-01,Uber,Bronx,643
2015-01-03,2015-01,Uber,Brooklyn,10536
2015-01-03,2015-01,Uber,Manhattan,40552
2015-01-03,2015-01,Uber,Queens,5561
2015-01-03,2015-01,Uber,Staten Island,22
2015-01-03,2015-01,Uber,Unknown,28
2015-01-04,2015-01,Uber,Bronx,520
2015-01-04,2015-01,Uber,Brooklyn,8012
2015-01-04,2015-01,Uber,Manhattan,25091
2015-01-04,2015-01,Uber,Queens,6278
2015-01-04,2015-01,Uber,Staten Island,16
2015-01-04,2015-01,Uber,Unknown,15
2015-01-05,2015-01,Uber,Bronx,442
2015-01-05,2015-01,Uber,Brooklyn,6245
2015-01-05,2015-01,Uber,EWR,1
2015-01-05,2015-01,Uber,Manhattan,29722
2015-01-05,2015-01,Uber,Queens,5323
2015-01-05,2015-01,Uber,Staten Island,19
2015-01-05,2015-01,Uber,Unknown,18
2015-01-06,2015-01,Uber,Bronx,559
2015-01-06,2015-01,Uber,Brooklyn,6736
2015-01-06,2015-01,Uber,Manhattan,39842
2015-01-06,2015-01,Uber,Queens,4159
2015-01-06,2015-01,Uber,Staten Island,12
2015-01-06,2015-01,Uber,Unknown,14
2015-01-07,2015-01,Uber,Bronx,555
2015-01-07,2015-01,Uber,Brooklyn,8425
2015-01-07,2015-01,Uber,Manhattan,47696
2015-01-07,2015-01,Uber,Queens,4113
2015-01-07,2015-01,Uber,Staten Island,21
2015-01-07,2015-01,Uber,Unknown,13
2015-01-08,2015-01,Uber,Bronx,652
2015-01-08,2015-01,Uber,Brooklyn,8894
2015-01-08,2015-01,Uber,EWR,1
2015-01-08,2015-01,Uber,Manhattan,55581
2015-01-08,2015-01,Uber,Queens,4795
2015-01-08,2015-01,Uber,Staten Island,17
2015-01-08,2015-01,Uber,Unknown,16
2015-01-09,2015-01,Uber,Bronx,707
2015-01-09,2015-01,Uber,Brooklyn,9551
2015-01-09,2015-01,Uber,Manhattan,53386
2015-01-09,2015-01,Uber,Queens,5228
2015-01-09,2015-01,Uber,Staten Island,35
2015-01-09,2015-01,Uber,Unknown,20
2015-01-10,2015-01,Uber,Bronx,728
2015-01-10,2015-01,Uber,Brooklyn,13705
2015-01-10,2015-01,Uber,EWR,1
2015-01-10,2015-01,Uber,Manhattan,57001
2015-01-10,2015-01,Uber,Queens,5432
2015-01-10,2015-01,Uber,Staten Island,24
2015-01-10,2015-01,Uber,Unknown,25
2015-01-11,2015-01,Uber,Bronx,614
2015-01-11,2015-01,Uber,Brooklyn,10938
2015-01-11,2015-01,Uber,Manhattan,38888
2015-01-11,2015-01,Uber,Queens,5422
2015-01-11,2015-01,Uber,Staten Island,18
2015-01-11,2015-01,Uber,Unknown,23
2015-01-12,2015-01,Uber,Bronx,578
2015-01-12,2015-01,Uber,Brooklyn,7086
2015-01-12,2015-01,Uber,Manhattan,44309
2015-01-12,2015-01,Uber,Queens,4619
2015-01-12,2015-01,Uber,Staten Island,21
2015-01-12,2015-01,Uber,Unknown,19
2015-01-13,2015-01,Uber,Bronx,585
2015-01-13,2015-01,Uber,Brooklyn,7562
2015-01-13,2015-01,Uber,EWR,1
2015-01-13,2015-01,Uber,Manhattan,50050
2015-01-13,2015-01,Uber,Queens,3931
2015-01-13,2015-01,Uber,Staten Island,23
2015-01-13,2015-01,Uber,Unknown,15
2015-01-14,2015-01,Uber,Bronx,635
2015-01-14,2015-01,Uber,Brooklyn,7977
2015-01-14,2015-01,Uber,Manhattan,49472
2015-01-14,2015-01,Uber,Queens,3911
2015-01-14,2015-01,Uber,Staten Island,25
2015-01-14,2015-01,Uber,Unknown,12
2015-01-15,2015-01,Uber,Bronx,675
2015-01-15,2015-01,Uber,Brooklyn,8606
2015-01-15,2015-01,Uber,Manhattan,51360
2015-01-15,2015-01,Uber,Queens,4725
2015-01-15,2015-01,Uber,Staten Island,24
