pickup_date,pickup_month,company,trips
2015-01-01,2015-01,Uber,55330
2015-01-02,2015-01,Uber,38455
2015-01-03,2015-01,Uber,57342
2015-01-04,2015-01,Uber,39932
2015-01-05,2015-01,Uber,41770
2015-01-06,2015-01,Uber,51322
2015-01-07,2015-01,Uber,60823
2015-01-08,2015-01,Uber,69956
2015-01-09,2015-01,Uber,68927
2015-01-10,2015-01,Uber,76916
2015-01-11,2015-01,Uber,55903
2015-01-12,2015-01,Uber,56632
2015-01-13,2015-01,Uber,62167
2015-01-14,2015-01,Uber,62032
2015-01-15,2015-01,Uber,65404
2015-01-16,2015-01,Uber,71063
2015-01-17,2015-01,Uber,71946
2015-01-18,2015-01,Uber,70999
2015-01-19,2015-01,Uber,44884
2015-01-20,2015-01,Uber,53729
2015-01-21,2015-01,Uber,57940
2015-01-22,2015-01,Uber,64261
2015-01-23,2015-01,Uber,70372
2015-01-24,2015-01,Uber,79233
2015-01-25,2015-01,Uber,56700
2015-01-26,2015-01,Uber,42562
2015-01-27,2015-01,Uber,24851
2015-01-28,2015-01,Uber,59227
2015-01-29,2015-01,Uber,67708
2015-01-30,2015-01,Uber,82189
2015-01-31,2015-01,Uber,90500
2015-02-01,2015-02,Uber,75026
2015-02-02,2015-02,Uber,67496
2015-02-03,2015-02,Uber,68770
2015-02-04,2015-02,Uber,65482
2015-02-05,2015-02,Uber,79280
2015-02-06,2015-02,Uber,84168
2015-02-07,2015-02,Uber,79646
2015-02-08,2015-02,Uber,61732
2015-02-09,2015-02,Uber,60917
2015-02-10,2015-02,Uber,63613
2015-02-11,2015-02,Uber,71085
2015-02-12,2015-02,Uber,81643
2015-02-13,2015-02,Uber,96036
2015-02-14,2015-02,Uber,98417
2015-02-15,2015-02,Uber,87714
2015-02-16,2015-02,Uber,70602
2015-02-17,2015-02,Uber,71547
2015-02-18,2015-02,Uber,70891
2015-02-19,2015-02,Uber,87063
2015-02-20,2015-02,Uber,98946
2015-02-21,2015-02,Uber,96660
2015-02-22,2015-02,Uber,65058
2015-02-23,2015-02,Uber,69829
2015-02-24,2015-02,Uber,77698
2015-02-25,2015-02,Uber,73376
2015-02-26,2015-02,Uber,81946
2015-02-27,2015-02,Uber,87096
2015-02-28,2015-02,Uber,86568
2015-03-01,2015-03,Uber,70833
2015-03-02,2015-03,Uber,57454
2015-03-03,2015-03,Uber,75043
2015-03-04,2015-03,Uber,71926
2015-03-05,2015-03,Uber,77442
2015-03-06,2015-03,Uber,83123
2015-03-07,2015-03,Uber,81459
2015-03-08,2015-03,Uber,61819
2015-03-09,2015-03,Uber,53914
2015-03-10,2015-03,Uber,72178
2015-03-11,2015-03,Uber,65311
2015-03-12,2015-03,Uber,74038
2015-03-13,2015-03,Uber,79265
2015-03-14,2015-03,Uber,90950
2015-03-15,2015-03,Uber,63417
2015-03-16,2015-03,Uber,54816
2015-03-17,2015-03,Uber,62881
2015-03-18,2015-03,Uber,70379
2015-03-19,2015-03,Uber,75831
2015-03-20,2015-03,Uber,95263
2015-03-21,2015-03,Uber,80742
2015-03-22,2015-03,Uber,69324
2015-03-23,2015-03,Uber,60481
2015-03-24,2015-03,Uber,64390
2015-03-25,2015-03,Uber,73946
2015-03-26,2015-03,Uber,78548
2015-03-27,2015-03,Uber,84971
2015-03-28,2015-03,Uber,92525
2015-03-29,2015-03,Uber,75642
2015-03-30,2015-03,Uber,62776
2015-03-31,2015-03,Uber,78887
2015-04-01,2015-04,Uber,69216
2015-04-02,2015-04,Uber,74063
2015-04-03,2015-04,Uber,75975
2015-04-04,2015-04,Uber,69185
2015-04-05,2015-04,Uber,58354
2015-04-06,2015-04,Uber,53560
2015-04-07,2015-04,Uber,68073
