weekday_num,weekday,hour,company,trips
0,Monday,0,Uber,718606
0,Monday,1,Uber,437127
0,Monday,2,Uber,281746
0,Monday,3,Uber,216418
0,Monday,4,Uber,277433
0,Monday,5,Uber,397716
0,Monday,6,Uber,624833
0,Monday,7,Uber,963539
0,Monday,8,Uber,1231080
0,Monday,9,Uber,1143750
0,Monday,10,Uber,913445
0,Monday,11,Uber,860881
0,Monday,12,Uber,870558
0,Monday,13,Uber,886336
0,Monday,14,Uber,956795
0,Monday,15,Uber,1030799
0,Monday,16,Uber,1088024
0,Monday,17,Uber,1288880
0,Monday,18,Uber,1451556
0,Monday,19,Uber,1397448
0,Monday,20,Uber,1315506
0,Monday,21,Uber,1294755
0,Monday,22,Uber,1210411
0,Monday,23,Uber,964249
1,Tuesday,0,Uber,659694
1,Tuesday,1,Uber,394742
1,Tuesday,2,Uber,251063
1,Tuesday,3,Uber,183504
1,Tuesday,4,Uber,230953
1,Tuesday,5,Uber,352198
1,Tuesday,6,Uber,609559
1,Tuesday,7,Uber,1033667
1,Tuesday,8,Uber,1323659
1,Tuesday,9,Uber,1185841
1,Tuesday,10,Uber,925595
1,Tuesday,11,Uber,866942
1,Tuesday,12,Uber,880697
1,Tuesday,13,Uber,901299
1,Tuesday,14,Uber,988090
1,Tuesday,15,Uber,1077144
1,Tuesday,16,Uber,1155090
1,Tuesday,17,Uber,1396281
1,Tuesday,18,Uber,1616372
1,Tuesday,19,Uber,1559605
1,Tuesday,20,Uber,1475727
1,Tuesday,21,Uber,1485286
1,Tuesday,22,Uber,1411731
1,Tuesday,23,Uber,1128173
2,Wednesday,0,Uber,747844
2,Wednesday,1,Uber,433531
2,Wednesday,2,Uber,269999
2,Wednesday,3,Uber,194040
2,Wednesday,4,Uber,239089
2,Wednesday,5,Uber,353891
2,Wednesday,6,Uber,616324
2,Wednesday,7,Uber,1048555
2,Wednesday,8,Uber,1338764
2,Wednesday,9,Uber,1213009
2,Wednesday,10,Uber,944345
2,Wednesday,11,Uber,895782
2,Wednesday,12,Uber,914566
2,Wednesday,13,Uber,934449
2,Wednesday,14,Uber,1017852
2,Wednesday,15,Uber,1095925
2,Wednesday,16,Uber,1180277
2,Wednesday,17,Uber,1444584
2,Wednesday,18,Uber,1660890
2,Wednesday,19,Uber,1641534
2,Wednesday,20,Uber,1563544
2,Wednesday,21,Uber,1587735
2,Wednesday,22,Uber,1539617
2,Wednesday,23,Uber,1270883
3,Thursday,0,Uber,846724
3,Thursday,1,Uber,497372
3,Thursday,2,Uber,313050
3,Thursday,3,Uber,226740
3,Thursday,4,Uber,268666
3,Thursday,5,Uber,374105
3,Thursday,6,Uber,634894
3,Thursday,7,Uber,1067163
3,Thursday,8,Uber,1357335
3,Thursday,9,Uber,1240382
3,Thursday,10,Uber,979228
3,Thursday,11,Uber,929196
3,Thursday,12,Uber,948653
3,Thursday,13,Uber,967694
3,Thursday,14,Uber,1067778
3,Thursday,15,Uber,1157814
3,Thursday,16,Uber,1255727
3,Thursday,17,Uber,1510958
3,Thursday,18,Uber,1758876
3,Thursday,19,Uber,1779627
3,Thursday,20,Uber,1716844
3,Thursday,21,Uber,1766827
3,Thursday,22,Uber,1756535
3,Thursday,23,Uber,1524655
4,Friday,0,Uber,1089144
4,Friday,1,Uber,672827
4,Friday,2,Uber,433025
4,Friday,3,Uber,312846
4,Friday,4,Uber,328099
4,Friday,5,Uber,395176
4,Friday,6,Uber,624775
4,Friday,7,Uber,1016040
4,Friday,8,Uber,1319544
4,Friday,9,Uber,1249552
4,Friday,10,Uber,1023870
4,Friday,11,Uber,985754
4,Friday,12,Uber,1001634
4,Friday,13,Uber,1030548
4,Friday,14,Uber,1128229
4,Friday,15,Uber,1214867
4,Friday,16,Uber,1313991
4,Friday,17,Uber,1556192
4,Friday,18,Uber,1780395
4,Friday,19,Uber,1925490
4,Friday,20,Uber,1821248
4,Friday,21,Uber,1759963
4,Friday,22,Uber,1876479
4,Friday,23,Uber,1928403
5,Saturday,0,Uber,1699262
5,Saturday,1,Uber,1296044
5,Saturday,2,Uber,961083
5,Saturday,3,Uber,691317
5,Saturday,4,Uber,521072
5,Saturday,5,Uber,378481
5,Saturday,6,Uber,420249
5,Saturday,7,Uber,531160
5,Saturday,8,Uber,717377
5,Saturday,9,Uber,918558
5,Saturday,10,Uber,1054869
5,Saturday,11,Uber,1181792
5,Saturday,12,Uber,1263301
5,Saturday,13,Uber,1310061
5,Saturday,14,Uber,1318024
5,Saturday,15,Uber,1371970
5,Saturday,16,Uber,1479256
5,Saturday,17,Uber,1656015
5,Saturday,18,Uber,1787445
5,Saturday,19,Uber,1944166
5,Saturday,20,Uber,1867488
5,Saturday,21,Uber,1829481
5,Saturday,22,Uber,1947088
5,Saturday,23,Uber,2040415
6,Sunday,0,Uber,1865305
6,Sunday,1,Uber,1547206
6,Sunday,2,Uber,1127475
6,Sunday,3,Uber,837229
6,Sunday,4,Uber,613831
6,Sunday,5,Uber,393830
6,Sunday,6,Uber,383365
6,Sunday,7,Uber,445949
6,Sunday,8,Uber,582872
6,Sunday,9,Uber,792480
6,Sunday,10,Uber,1017437
6,Sunday,11,Uber,1181795
6,Sunday,12,Uber,1254696
6,Sunday,13,Uber,1278837
6,Sunday,14,Uber,1300119
6,Sunday,15,Uber,1306391
6,Sunday,16,Uber,1348135
6,Sunday,17,Uber,1408224
6,Sunday,18,Uber,1445851
6,Sunday,19,Uber,1380102
6,Sunday,20,Uber,1286656
6,Sunday,21,Uber,1261818
6,Sunday,22,Uber,1224828
6,Sunday,23,Uber,1034796
