pickup_date,pickup_month,hvfhs_license_num,company,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,shared_requests,shared_matches,cbd_congestion_fees
2019-02-01,2019-02,HV0003,Uber,571580,2471553.93,642514907,9077691.49,231879.9,8715379.89,0.0,19158.5,166028,127894,0.0
2019-02-02,2019-02,HV0003,Uber,594674,2641763.87,639094830,8702018.6,213301.28,8564930.54,0.0,632639.5,171786,134734,0.0
2019-02-03,2019-02,HV0003,Uber,510445,2492093.37,527690338,7778579.9,180474.43,7618597.76,0.0,493523.75,155644,123128,0.0
2019-02-04,2019-02,HV0003,Uber,401000,1997219.32,464746232,6543676.069999999,168883.82,6438457.25,0.0,382909.0,135994,101954,0.0
2019-02-05,2019-02,HV0003,Uber,383186,1876108.7,435589633,6326341.69,171383.72,6121231.81,0.0,398537.75,125773,92683,0.0
2019-02-06,2019-02,HV0003,Uber,445896,2078631.5,526705138,7534247.01,207310.95,7295796.27,0.0,483241.5,140404,105037,0.0
2019-02-07,2019-02,HV0003,Uber,440662,2169150.02,529345410,7821832.69,213621.24,7411540.41,0.0,480946.0,132349,97323,0.0
2019-02-08,2019-02,HV0003,Uber,534727,2472997.06,641577529,8796062.35,225421.89,8597890.66,0.0,572900.25,156401,119280,0.0
2019-02-09,2019-02,HV0003,Uber,610600,2728494.29,672094161,9090130.23,226710.46,9013251.03,0.0,670254.0,173660,136448,0.0
2019-02-10,2019-02,HV0003,Uber,491609,2434321.53,516950227,7534513.38,184562.37,7399014.12,0.0,499510.25,147975,114023,0.0
2019-02-11,2019-02,HV0003,Uber,406412,1976418.92,461822632,6480191.43,174130.66,6411397.09,0.0,413726.5,133838,97757,0.0
2019-02-12,2019-02,HV0003,Uber,447253,1870207.6,468336529,6523332.07,185272.7,6356150.73,0.0,484368.5,142746,107419,0.0
2019-02-13,2019-02,HV0003,Uber,443489,2130812.31,533465966,7418653.65,200953.15,7303877.76,0.0,462819.0,140062,103274,0.0
2019-02-14,2019-02,HV0003,Uber,466238,2211944.19,578455517,7917750.57,199312.49,7731002.12,0.0,474342.0,142043,105564,0.0
2019-02-15,2019-02,HV0003,Uber,483213,2338737.3400000003,600907435,8059159.31,207922.12,7947310.79,0.0,469716.0,147751,110623,0.0
2019-02-16,2019-02,HV0003,Uber,528307,2453362.1,574362749,7913613.7,204428.98,7785350.31,0.0,533711.5,154862,116671,0.0
2019-02-17,2019-02,HV0003,Uber,472322,2261586.68,486454326,7121527.01,183252.57,6924338.8,0.0,468183.25,134590,99125,0.0
2019-02-18,2019-02,HV0003,Uber,377301,1903325.15,383495188,6052371.510000001,158803.08,5654170.26,0.0,372382.75,119153,84274,0.0
2019-02-19,2019-02,HV0003,Uber,390714,1892750.9,441709950,6463221.4,177229.55,6212640.52,0.0,398530.0,119393,84005,0.0
2019-02-20,2019-02,HV0003,Uber,430667,1895339.28,455094150,6650866.49,186793.46,6338581.0600000005,0.0,456975.75,126576,89952,0.0
2019-02-21,2019-02,HV0003,Uber,454209,2204990.99,529089656,7420680.21,211266.7,7400385.81,0.0,466798.5,123667,89028,0.0
2019-02-22,2019-02,HV0003,Uber,531855,2472500.5,604427853,8077097.08,217842.87,8211086.79,0.0,541041.25,140789,103740,0.0
2019-02-23,2019-02,HV0003,Uber,615538,2810941.26,664020507,8658904.75,223194.06,9019555.79,0.0,632594.25,155765,119557,0.0
2019-02-24,2019-02,HV0003,Uber,531616,2605435.1,544176390,7638154.91,195716.93,7874606.36,0.0,509422.75,139830,105767,0.0
2019-02-25,2019-02,HV0003,Uber,451977,2106815.62,496650433,6785104.58,183053.45,6929411.08,0.0,422898.25,130698,94344,0.0
2019-02-26,2019-02,HV0003,Uber,467729,2153873.27,530894621,7241874.73,204198.58,7339950.4,0.0,465932.25,128219,92798,0.0
2019-02-27,2019-02,HV0003,Uber,504564,2348637.38,571616421,7911252.52,220860.84,7971265.06,0.0,504005.25,133258,96028,0.0
2019-02-28,2019-02,HV0003,Uber,517211,2466999.68,629167217,8722590.97,242606.55,8748882.7,0.0,518799.5,128237,93711,0.0
2019-03-01,2019-03,HV0003,Uber,583508,2640735.43,678817160,9234074.94,238116.22,9292823.58,0.0,574638.75,141821,106013,0.0
2019-03-02,2019-03,HV0003,Uber,632393,2811026.44,659656909,9144799.03,236585.48,9261780.58,0.0,638471.25,146454,114092,0.0
2019-03-03,2019-03,HV0003,Uber,556035,2618525.24,572788877,8130041.92,204278.34,8239252.79,0.0,530245.0,133837,102826,0.0
2019-03-04,2019-03,HV0003,Uber,440357,2106829.71,448598018,6215738.41,185469.23,6579455.99,0.0,425960.0,120452,86587,0.0
2019-03-05,2019-03,HV0003,Uber,507414,2321068.62,594748240,7351137.93,211378.87,8056765.8,0.0,495719.0,137971,103245,0.0
2019-03-06,2019-03,HV0003,Uber,552753,2475131.83,634839772,8110596.56,237569.83,8677061.620000001,0.0,554261.25,144287,106904,0.0
2019-03-07,2019-03,HV0003,Uber,569128,2632638.25,679454098,8828137.53,257258.47,9368837.5,0.0,576305.5,140202,104341,0.0
2019-03-08,2019-03,HV0003,Uber,618409,2816467.38,743572942,9327306.62,253641.42,10014775.4,0.0,613571.25,147805,112120,0.0
2019-03-09,2019-03,HV0003,Uber,675125,3108288.99,765601296,9645528.07,249630.34,10465923.03,0.0,689097.5,154804,120513,0.0
2019-03-10,2019-03,HV0003,Uber,593246,2889017.77,615898672,8655948.06,225187.93,9186783.58,0.0,590328.25,140374,109848,0.0
2019-03-11,2019-03,HV0003,Uber,483545,2352732.71,559917846,7197355.37,207138.61,7894905.439999999,0.0,451599.75,129322,96276,0.0
2019-03-12,2019-03,HV0003,Uber,509177,2366148.18,591044374,7365602.34,215302.18,8092473.22,0.0,498167.75,134080,98812,0.0
2019-03-13,2019-03,HV0003,Uber,517645,2445029.06,605956448,7869050.55,227337.59,8403960.89,0.0,518290.5,128431,94298,0.0
2019-03-14,2019-03,HV0003,Uber,540855,2638713.87,654987954,8857214.34,251631.29,9274119.1,0.0,548078.25,122722,89376,0.0
2019-03-15,2019-03,HV0003,Uber,608293,2840070.39,731178317,9744731.12,261901.74,10273966.6,0.0,603783.5,130462,97042,0.0
2019-03-16,2019-03,HV0003,Uber,675579,3211859.28,763137618,10354041.93,259608.6,10894662.26,0.0,693446.0,133177,101272,0.0
2019-03-17,2019-03,HV0003,Uber,566786,2860564.34,603457746,8726137.36,209395.25,9050679.29,0.0,525676.25,117423,87715,0.0
2019-03-18,2019-03,HV0003,Uber,471771,2319161.46,530509139,7118070.22,200717.39,7600435.06,0.0,428694.5,121469,88206,0.0
2019-03-19,2019-03,HV0003,Uber,471111,2234080.08,535934246,7120997.97,204458.25,7455317.85,0.0,442755.25,120386,86728,0.0
2019-03-20,2019-03,HV0003,Uber,494305,2346497.91,565677753,7601323.4,220883.93,7896328.16,0.0,473760.5,120519,86488,0.0
2019-03-21,2019-03,HV0003,Uber,587045,2617316.62,695702293,9504752.8,267548.9,9735086.47,0.0,593168.5,128980,94996,0.0
2019-03-22,2019-03,HV0003,Uber,612369,2767200.89,707404143,9549124.99,253610.0,9817769.54,0.0,601635.75,129273,95109,0.0
2019-03-23,2019-03,HV0003,Uber,659911,3027235.13,700117268,9650335.49,242364.37,9896386.01,0.0,664063.75,129443,94480,0.0
2019-03-24,2019-03,HV0003,Uber,550663,2792755.78,588965019,8569539.26,204981.49,8729111.12,0.0,511825.5,112494,81464,0.0
2019-03-25,2019-03,HV0003,Uber,463909,2301785.02,515389031,6942323.74,195441.79,7418292.949999999,0.0,420306.25,116219,82712,0.0
2019-03-26,2019-03,HV0003,Uber,478275,2227769.28,538835221,7092072.12,203067.46,7508567.07,0.0,444034.0,118678,85206,0.0
2019-03-27,2019-03,HV0003,Uber,503723,2359219.96,569550854,7577566.08,215628.93,7994655.58,0.0,479446.5,121474,88010,0.0
2019-03-28,2019-03,HV0003,Uber,529029,2534691.85,628876681,8493742.57,239369.01,8800543.46,0.0,521707.5,116738,84731,0.0
2019-03-29,2019-03,HV0003,Uber,586671,2727201.84,690472963,9074450.85,244024.76,9452476.71,0.0,575352.75,121853,90524,0.0
2019-03-30,2019-03,HV0003,Uber,644242,2987814.05,725999500,9687132.31,241361.52,10130620.67,0.0,642437.25,123111,97869,0.0
2019-03-31,2019-03,HV0003,Uber,565068,2740244.89,583691579,8507710.95,207594.34,8697149.14,0.0,542712.5,112928,85923,0.0
2019-04-01,2019-04,HV0003,Uber,481095,2271336.22,539940434,7298519.41,199801.92,7643680.689999999,0.0,439195.5,121440,91090,0.0
2019-04-02,2019-04,HV0003,Uber,475073,2162075.28,531032300,7312938.12,206203.04,7390529.71,0.0,458691.75,116056,86472,0.0
2019-04-03,2019-04,HV0003,Uber,484159,2243345.31,564397543,7768881.529999999,220738.66,7823171.27,0.0,475013.0,113473,84656,0.0
2019-04-04,2019-04,HV0003,Uber,520043,2489056.04,641282756,8889075.72,258120.99,8892114.38,0.0,521825.25,112329,83639,0.0
2019-04-05,2019-04,HV0003,Uber,628175,2712136.48,751193456,10256788.55,274178.53,10291559.41,0.0,636852.75,127988,101317,0.0
2019-04-06,2019-04,HV0003,Uber,623481,2841472.75,699828606,9775176.03,244089.38,9752903.04,0.0,634256.0,116780,95550,0.0
2019-04-07,2019-04,HV0003,Uber,531896,2667980.18,575006793,8680750.25,210574.82,8565195.54,0.0,499216.5,105197,83598,0.0
2019-04-08,2019-04,HV0003,Uber,463382,2236456.38,521094346,7307739.01,204110.35,7395003.51,0.0,423762.5,113526,85923,0.0
2019-04-09,2019-04,HV0003,Uber,493434,2248781.25,551143571,7587393.67,217019.82,7654334.39,0.0,474921.5,119245,90473,0.0
2019-04-10,2019-04,HV0003,Uber,485225,2284307.72,570230416,7897710.14,227958.75,7933969.25,0.0,469880.25,111550,84081,0.0
2019-04-11,2019-04,HV0003,Uber,519904,2420512.51,607649653,8648101.42,242310.68,8493941.33,0.0,522770.0,111374,83701,0.0
2019-04-12,2019-04,HV0003,Uber,603262,2646798.06,706097777,9632155.89,261602.65,9671428.95,0.0,594673.25,119865,94015,0.0
2019-04-13,2019-04,HV0003,Uber,646662,2945709.61,731451859,10122376.99,258022.66,10159019.23,0.0,653068.25,118839,98610,0.0
2019-04-14,2019-04,HV0003,Uber,550962,2695407.34,576683693,8690866.92,212890.65,8572687.51,0.0,517333.25,108170,86596,0.0
2019-04-15,2019-04,HV0003,Uber,508314,2311724.66,573179596,7861772.6,217999.85,8038614.85,0.0,479811.0,121834,93752,0.0
2019-04-16,2019-04,HV0003,Uber,479083,2249381.56,565439650,7754821.439999999,223256.12,7839322.95,0.0,464851.75,109751,82666,0.0
2019-04-17,2019-04,HV0003,Uber,493936,2315468.85,587275648,8131300.42,230587.33,8152994.84,0.0,484854.75,109305,81932,0.0
2019-04-18,2019-04,HV0003,Uber,523526,2489292.04,642654374,9019038.62,250179.42,8952267.46,0.0,518655.5,107176,80432,0.0
2019-04-19,2019-04,HV0003,Uber,550042,2551781.56,584609376,8712986.77,231392.89,8408077.049999999,0.0,534476.75,107883,82217,0.0
2019-04-20,2019-04,HV0003,Uber,581275,2684745.56,583353363,8709392.59,218228.49,8489390.65,0.0,542102.5,110323,85652,0.0
2019-04-21,2019-04,HV0003,Uber,502950,2518342.54,501747825,7878840.5,186595.67,7674592.22,0.0,444548.5,93678,72009,0.0
2019-04-22,2019-04,HV0003,Uber,454765,2144983.11,507053094,7191485.600000001,198292.12,7197998.93,0.0,442970.0,106095,78979,0.0
2019-04-23,2019-04,HV0003,Uber,435240,2093594.07,483060081,7065596.4,200594.02,6948447.7,0.0,433172.75,96857,70132,0.0
2019-04-24,2019-04,HV0003,Uber,448179,2170953.71,504561250,7399748.03,213673.98,7264976.62,0.0,451717.75,96619,69615,0.0
2019-04-25,2019-04,HV0003,Uber,501708,2380950.09,584042264,8541873.66,243844.55,8340791.49,0.0,527911.25,100476,73003,0.0
2019-04-26,2019-04,HV0003,Uber,587110,2610606.33,642453569,9327917.92,253063.4,9114086.27,0.0,624484.0,110348,83221,0.0
2019-04-27,2019-04,HV0003,Uber,615410,2852960.49,668633771,9698845.25,244573.35,9555815.28,0.0,640773.25,103522,82404,0.0
2019-04-28,2019-04,HV0003,Uber,539849,2667922.22,542615006,8592445.96,208891.06,8317733.720000001,0.0,532906.75,95735,73228,0.0
2019-04-29,2019-04,HV0003,Uber,455703,2190952.19,502248938,7308418.45,205392.4,7223710.350000001,0.0,431047.25,108339,80486,0.0
2019-04-30,2019-04,HV0003,Uber,473611,2209688.23,538991190,7732799.9,224330.93,7613269.99,0.0,469698.25,109871,81209,0.0
2019-05-01,2019-05,HV0003,Uber,506953,2358019.01,579630798,8442300.17,243677.8,8303412.86,0.0,515325.75,114671,73653,0.0
2019-05-02,2019-05,HV0003,Uber,535511,2488476.8600000003,633937810,9484699.67,273907.16,9290423.38,0.0,552523.5,113378,58038,0.0
2019-05-03,2019-05,HV0003,Uber,593064,2711311.13,703973703,9959282.93,272160.63,9724904.47,0.0,600397.25,118161,91799,0.0
2019-05-04,2019-05,HV0003,Uber,649485,2940882.85,704528378,10310021.58,259701.99,10005569.57,0.0,681585.25,115613,94204,0.0
2019-05-05,2019-05,HV0003,Uber,610304,2818021.54,630241004,10172823.42,245975.98,9811259.67,0.0,613951.75,113775,92372,0.0
2019-05-06,2019-05,HV0003,Uber,456351,2232055.3000000003,534279367,7721409.91,213294.44,7649891.2,0.0,436331.75,107171,81107,0.0
2019-05-07,2019-05,HV0003,Uber,470662,2192981.41,539867250,8131748.92,235596.85,7936313.59,0.0,478181.0,107456,80437,0.0
2019-05-08,2019-05,HV0003,Uber,465643,2241613.22,553108481,8034077.569999999,263026.48,7889191.0,0.0,467630.5,104386,78128,0.0
2019-05-09,2019-05,HV0003,Uber,506473,2450121.84,614785484,9058133.88,297523.62,8759907.84,0.0,521996.25,105180,79594,0.0
2019-05-10,2019-05,HV0003,Uber,562166,2638362.69,671760441,9652622.15,294065.34,9373668.56,0.0,563317.75,110273,85984,0.0
2019-05-11,2019-05,HV0003,Uber,609459,2821877.49,675327278,9971251.16,275027.69,9726466.27,0.0,601847.5,109656,89027,0.0
2019-05-12,2019-05,HV0003,Uber,608880,2748594.96,619385330,9881065.12,276791.17,9512468.76,0.0,615061.5,107473,85593,0.0
2019-05-13,2019-05,HV0003,Uber,507392,2272695.06,597873222,8747056.15,280591.1,8631526.06,0.0,530509.75,114896,88783,0.0
2019-05-14,2019-05,HV0003,Uber,483639,2201467.0300000003,566381013,8655961.82,281854.03,8192377.4,0.0,524332.75,107214,81598,0.0
2019-05-15,2019-05,HV0003,Uber,471523,2299258.23,595196735,8943462.92,294142.2,8507971.290000001,0.0,496916.75,100990,76178,0.0
2019-05-16,2019-05,HV0003,Uber,496632,2474505.17,652896255,9960473.77,322704.74,9425425.92,0.0,522033.0,98190,74400,0.0
