weekday_num,weekday,hour,hvfhs_license_num,company,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,shared_requests,shared_matches,cbd_congestion_fees
0,Monday,0,HV0003,Uber,4241058,23176620.490000002,4051927566,90170691.69,2615884.14,74714082.38,621959.25,3306475.75,318059,190361,313902.0
0,Monday,1,HV0003,Uber,2598772,13934144.64,2394001727,52898999.13,1417803.33,43817910.71,296757.0,1960846.75,198577,106138,186363.0
0,Monday,2,HV0003,Uber,1741396,9382245.26,1585172197,35438111.17,882118.7,29069179.27,199645.75,1286103.5,133065,63062,124972.5
0,Monday,3,HV0003,Uber,1412345,8739269.91,1346447923,32628030.14,951161.73,25850917.61,435883.75,999742.0,102200,44245,111063.0
0,Monday,4,HV0003,Uber,1744241,12941518.63,1828910131,50794531.269999996,1972910.71,38846084.07,1005423.0,1294491.75,109494,51801,149494.5
0,Monday,5,HV0003,Uber,2605811,19230678.06,2898488718,74661696.48,3064410.37,57704313.910000004,1347704.5,2203864.75,142429,72869,233463.0
0,Monday,6,HV0003,Uber,4395215,27672369.11,5087424130,115878855.61,4334048.86,91775536.2,1316495.5,3993448.25,232902,134692,391911.0
0,Monday,7,HV0003,Uber,6780771,34368464.78,7993839248,168942132.12,5999236.8,135217510.91,1206759.25,5890023.5,310589,180690,547116.0
0,Monday,8,HV0003,Uber,8460331,38160437.52,9807849727,196133865.55,7262407.66,158058531.35,1184093.25,7778791.75,384407,223277,725061.0
0,Monday,9,HV0003,Uber,7374617,34264569.66,8358652575,163538252.52,6889884.98,131230973.74,1202603.0,7350603.0,341156,183154,691159.5
0,Monday,10,HV0003,Uber,6289644,30730328.13,7238397447,143371697.47,6576709.11,113915109.99,1215069.0,6356059.0,277690,136722,603315.0
0,Monday,11,HV0003,Uber,6031789,29718913.39,7019852489,139595038.75,6552140.02,110561938.14,1199356.0,6260735.0,265737,128255,594835.5
0,Monday,12,HV0003,Uber,6149353,30331925.74,7189651302,142929195.08,6649665.56,113466134.72,1263068.75,6351266.5,274551,134682,602317.5
0,Monday,13,HV0003,Uber,6443178,31892561.5,7673353703,151396253.67,6862682.08,120845223.95,1358819.75,6361933.0,304738,155839,614271.0
0,Monday,14,HV0003,Uber,7076652,34420579.77,8829839415,170284738.71,7489598.78,136094380.46,1512899.5,6638387.25,334997,175416,629722.5
0,Monday,15,HV0003,Uber,7344331,35256807.02,9609345339,180491145.2,7833808.66,145503442.96,1554317.25,6956834.5,353507,188481,655117.5
0,Monday,16,HV0003,Uber,7487105,34782541.39,9821713070,180138284.51,7781825.41,146715778.82,1445119.25,7139669.25,373382,206749,686223.0
0,Monday,17,HV0003,Uber,8255717,36302076.06,10181407048,190869358.22,8080709.2299999995,154652513.84,1274446.25,8329884.75,444869,265991,801378.0
0,Monday,18,HV0003,Uber,8387553,36464177.8,9259736075,182606575.59,7833629.22,146998201.16,1108283.25,9151635.25,464016,282486,866082.0
0,Monday,19,HV0003,Uber,7689583,35391843.58,7837653991,160972768.49,6838635.03,129287753.22,986341.75,8364577.25,439506,264216,809883.0
0,Monday,20,HV0003,Uber,7153740,36026968.65,7242981533,157187076.13,6878794.65,124642890.93,884250.0,7953648.75,409274,245962,838458.0
0,Monday,21,HV0003,Uber,6813371,35797752.58,6878913270,155351129.18,6869683.66,122231603.29,816215.5,7850524.25,394194,241086,844075.5
0,Monday,22,HV0003,Uber,6268825,33462301.86,6311528810,141677587.42,5771127.86,113304428.62,778183.5,6928064.0,404049,257677,715090.5
0,Monday,23,HV0003,Uber,5114957,27676362.1,5049400594,111522163.3,4095481.83,90967391.48,748717.5,5018692.5,373428,234365,517278.0
1,Tuesday,0,HV0003,Uber,3454348,18848397.38,3295170624,73351582.17,2589982.07,60016076.51,545779.25,3151423.0,274710,153583,334461.0
1,Tuesday,1,HV0003,Uber,2019054,10727545.07,1830823281,40525839.37,1326119.61,33101501.82,242926.75,1781389.25,164314,82560,192702.0
1,Tuesday,2,HV0003,Uber,1323951,7074519.08,1183554705,26147842.4,792098.06,21344251.6,169477.0,1115627.0,110360,48783,122589.0
1,Tuesday,3,HV0003,Uber,1094945,6720770.45,1028379145,24263036.09,800797.84,19418696.1,365602.5,822619.25,85287,33762,98277.0
1,Tuesday,4,HV0003,Uber,1474355,10661875.87,1513909419,39503308.38,1650584.6,30530368.95,852522.0,1151514.0,96606,41912,142420.5
1,Tuesday,5,HV0003,Uber,2448719,16937941.59,2596262690,64055966.03,2693559.75,49773395.38,1137624.5,2194656.75,136418,65770,240709.5
1,Tuesday,6,HV0003,Uber,4474611,26007033.7,4984954676,108720546.46000001,4141770.97,85924874.3,1098026.25,4271197.0,232375,130208,428589.0
1,Tuesday,7,HV0003,Uber,7304093,34250839.55,8511238195,172905495.67,6447329.74,136853681.64,1002879.75,6712430.75,312751,177961,641286.0
1,Tuesday,8,HV0003,Uber,9072332,38250888.75,10624002773,208883501.61,8058036.25,165117256.13,983316.5,8924331.5,385219,219936,863715.0
1,Tuesday,9,HV0003,Uber,7868978,34339428.25,9160060282,176212066.58,7463997.67,139915201.88,1017873.0,8292280.0,345517,184004,810292.5
1,Tuesday,10,HV0003,Uber,6564324,30341240.29,7761128620,150651182.34,6851621.85,118969152.4,1035481.75,6819495.75,280961,136447,661527.0
1,Tuesday,11,HV0003,Uber,6209945,29110505.62,7428178063,145062775.13,6789480.94,114025527.59,1020865.75,6614357.5,260021,121170,641157.0
1,Tuesday,12,HV0003,Uber,6311612,29778976.28,7537802253,147732948.78,6877853.68,116311772.56,1092546.0,6641477.25,272948,130251,627000.0
1,Tuesday,13,HV0003,Uber,6578616,31363570.74,7990738827,155767069.14000002,7105810.38,123289259.83,1197364.75,6617801.75,296324,145821,645495.0
1,Tuesday,14,HV0003,Uber,7290667,33998917.51,9337686755,176409961.23,7865374.65,140654210.91,1338332.5,6937588.5,324963,162506,667906.5
1,Tuesday,15,HV0003,Uber,7613087,34801761.47,10247939857,188624838.91,8276818.53,151219233.2,1367103.25,7321877.75,356141,186354,699177.0
1,Tuesday,16,HV0003,Uber,7808404,34624028.66,10545023777,191843938.25,8421440.57,154394980.45,1271189.0,7667058.0,369653,199805,749815.5
1,Tuesday,17,HV0003,Uber,8796100,36931038.6,11288761906,210035282.22,9079614.05,167977288.02,1101162.75,9240047.5,440861,259984,893613.0
1,Tuesday,18,HV0003,Uber,9150525,38201507.58,10554780759,208366807.88,9097226.45,165093321.77,975126.5,10421365.0,465422,281835,985083.0
1,Tuesday,19,HV0003,Uber,8563254,38708655.33,9065025120,186154525.51,8016227.33,147787240.07,867606.75,9704545.5,454680,274081,937750.5
1,Tuesday,20,HV0003,Uber,8049473,41524928.32,8529631603,190202321.47,8693482.34,147706236.69,788943.75,9300983.0,426710,259847,1009564.5
1,Tuesday,21,HV0003,Uber,7779036,42711804.0,8279010527,201832354.23,9478162.95,153178905.68,730292.75,9248643.0,421490,266082,1005217.5
1,Tuesday,22,HV0003,Uber,7299910,40163633.410000004,7707574214,187656217.82,8196577.75,145075474.41,680738.5,8482752.5,427255,279018,873205.5
1,Tuesday,23,HV0003,Uber,5911788,32049832.14,6034792931,135043573.76,5287233.91,108485789.82000001,639563.75,6283911.5,391683,249377,634554.0
2,Wednesday,0,HV0003,Uber,3955904,21071976.6,3832300992,84093310.49,3082780.47,68338836.71,406980.5,3939023.0,298221,172341,407700.0
