pickup_date,pickup_month,base,base_name,trips
2014-04-01,2014-04,B02512,Unter,1011
2014-04-01,2014-04,B02598,Hinter,3738
2014-04-01,2014-04,B02617,Weiter,3219
2014-04-01,2014-04,B02682,Schmecken,6255
2014-04-01,2014-04,B02764,Danach-NY,323
2014-04-02,2014-04,B02512,Unter,1336
2014-04-02,2014-04,B02598,Hinter,4526
2014-04-02,2014-04,B02617,Weiter,3752
2014-04-02,2014-04,B02682,Schmecken,7515
2014-04-02,2014-04,B02764,Danach-NY,345
2014-04-03,2014-04,B02512,Unter,1482
2014-04-03,2014-04,B02598,Hinter,5499
2014-04-03,2014-04,B02617,Weiter,4254
2014-04-03,2014-04,B02682,Schmecken,9061
2014-04-03,2014-04,B02764,Danach-NY,405
2014-04-04,2014-04,B02512,Unter,1827
2014-04-04,2014-04,B02598,Hinter,7151
2014-04-04,2014-04,B02617,Weiter,5387
2014-04-04,2014-04,B02682,Schmecken,11865
2014-04-04,2014-04,B02764,Danach-NY,484
2014-04-05,2014-04,B02512,Unter,1309
2014-04-05,2014-04,B02598,Hinter,5508
2014-04-05,2014-04,B02617,Weiter,3691
2014-04-05,2014-04,B02682,Schmecken,8640
2014-04-05,2014-04,B02764,Danach-NY,373
2014-04-06,2014-04,B02512,Unter,820
2014-04-06,2014-04,B02598,Hinter,3828
2014-04-06,2014-04,B02617,Weiter,2747
2014-04-06,2014-04,B02682,Schmecken,5840
2014-04-06,2014-04,B02764,Danach-NY,210
2014-04-07,2014-04,B02512,Unter,1376
2014-04-07,2014-04,B02598,Hinter,5336
2014-04-07,2014-04,B02617,Weiter,4009
2014-04-07,2014-04,B02682,Schmecken,8537
2014-04-07,2014-04,B02764,Danach-NY,292
2014-04-08,2014-04,B02512,Unter,1023
2014-04-08,2014-04,B02598,Hinter,4781
2014-04-08,2014-04,B02617,Weiter,3345
2014-04-08,2014-04,B02682,Schmecken,6763
2014-04-08,2014-04,B02764,Danach-NY,276
2014-04-09,2014-04,B02512,Unter,1167
2014-04-09,2014-04,B02598,Hinter,4812
2014-04-09,2014-04,B02617,Weiter,3439
2014-04-09,2014-04,B02682,Schmecken,7100
2014-04-09,2014-04,B02764,Danach-NY,325
2014-04-10,2014-04,B02512,Unter,1274
2014-04-10,2014-04,B02598,Hinter,6061
2014-04-10,2014-04,B02617,Weiter,3974
2014-04-10,2014-04,B02682,Schmecken,8360
2014-04-10,2014-04,B02764,Danach-NY,372
2014-04-11,2014-04,B02512,Unter,1362
2014-04-11,2014-04,B02598,Hinter,6213
2014-04-11,2014-04,B02617,Weiter,4075
2014-04-11,2014-04,B02682,Schmecken,8452
2014-04-11,2014-04,B02764,Danach-NY,318
2014-04-12,2014-04,B02512,Unter,1087
2014-04-12,2014-04,B02598,Hinter,5908
2014-04-12,2014-04,B02617,Weiter,3302
2014-04-12,2014-04,B02682,Schmecken,7505
2014-04-12,2014-04,B02764,Danach-NY,368
2014-04-13,2014-04,B02512,Unter,783
2014-04-13,2014-04,B02598,Hinter,3803
2014-04-13,2014-04,B02617,Weiter,2316
2014-04-13,2014-04,B02682,Schmecken,5000
2014-04-13,2014-04,B02764,Danach-NY,210
2014-04-14,2014-04,B02512,Unter,854
2014-04-14,2014-04,B02598,Hinter,3889
2014-04-14,2014-04,B02617,Weiter,2460
2014-04-14,2014-04,B02682,Schmecken,5228
2014-04-14,2014-04,B02764,Danach-NY,243
2014-04-15,2014-04,B02512,Unter,1391
2014-04-15,2014-04,B02598,Hinter,6327
2014-04-15,2014-04,B02617,Weiter,4135
2014-04-15,2014-04,B02682,Schmecken,8460
2014-04-15,2014-04,B02764,Danach-NY,328
2014-04-16,2014-04,B02512,Unter,1059
2014-04-16,2014-04,B02598,Hinter,5727
2014-04-16,2014-04,B02617,Weiter,3500
2014-04-16,2014-04,B02682,Schmecken,7139
2014-04-16,2014-04,B02764,Danach-NY,292
2014-04-17,2014-04,B02512,Unter,1343
2014-04-17,2014-04,B02598,Hinter,6948
2014-04-17,2014-04,B02617,Weiter,4013
2014-04-17,2014-04,B02682,Schmecken,8305
2014-04-17,2014-04,B02764,Danach-NY,364
2014-04-18,2014-04,B02512,Unter,953
2014-04-18,2014-04,B02598,Hinter,6154
2014-04-18,2014-04,B02617,Weiter,3328
2014-04-18,2014-04,B02682,Schmecken,7289
2014-04-18,2014-04,B02764,Danach-NY,350
2014-04-19,2014-04,B02512,Unter,851
2014-04-19,2014-04,B02598,Hinter,5082
2014-04-19,2014-04,B02617,Weiter,2645
2014-04-19,2014-04,B02682,Schmecken,5775
2014-04-19,2014-04,B02764,Danach-NY,249
2014-04-20,2014-04,B02512,Unter,615
2014-04-20,2014-04,B02598,Hinter,3674
2014-04-20,2014-04,B02617,Weiter,1985
2014-04-20,2014-04,B02682,Schmecken,4498
2014-04-20,2014-04,B02764,Danach-NY,245
2014-04-21,2014-04,B02512,Unter,744
2014-04-21,2014-04,B02598,Hinter,4592
2014-04-21,2014-04,B02617,Weiter,2354
2014-04-21,2014-04,B02682,Schmecken,5258
2014-04-21,2014-04,B02764,Danach-NY,214
2014-04-22,2014-04,B02512,Unter,959
2014-04-22,2014-04,B02598,Hinter,6015
2014-04-22,2014-04,B02617,Weiter,3115
2014-04-22,2014-04,B02682,Schmecken,6612
2014-04-22,2014-04,B02764,Danach-NY,274
2014-04-23,2014-04,B02512,Unter,1196
2014-04-23,2014-04,B02598,Hinter,7288
2014-04-23,2014-04,B02617,Weiter,3771
2014-04-23,2014-04,B02682,Schmecken,7740
2014-04-23,2014-04,B02764,Danach-NY,351
2014-04-24,2014-04,B02512,Unter,1394
2014-04-24,2014-04,B02598,Hinter,8232
2014-04-24,2014-04,B02617,Weiter,4375
2014-04-24,2014-04,B02682,Schmecken,8938
2014-04-24,2014-04,B02764,Danach-NY,413
2014-04-25,2014-04,B02512,Unter,1410
2014-04-25,2014-04,B02598,Hinter,9356
2014-04-25,2014-04,B02617,Weiter,4505
2014-04-25,2014-04,B02682,Schmecken,9462
2014-04-25,2014-04,B02764,Danach-NY,362
2014-04-26,2014-04,B02512,Unter,1418
2014-04-26,2014-04,B02598,Hinter,9468
2014-04-26,2014-04,B02617,Weiter,4184
2014-04-26,2014-04,B02682,Schmecken,9410
2014-04-26,2014-04,B02764,Danach-NY,445
2014-04-27,2014-04,B02512,Unter,848
2014-04-27,2014-04,B02598,Hinter,5595
2014-04-27,2014-04,B02617,Weiter,2660
2014-04-27,2014-04,B02682,Schmecken,5335
2014-04-27,2014-04,B02764,Danach-NY,239
2014-04-28,2014-04,B02512,Unter,971
2014-04-28,2014-04,B02598,Hinter,5753
2014-04-28,2014-04,B02617,Weiter,2714
2014-04-28,2014-04,B02682,Schmecken,5791
2014-04-28,2014-04,B02764,Danach-NY,246
2014-04-29,2014-04,B02512,Unter,1487
2014-04-29,2014-04,B02598,Hinter,8515
2014-04-29,2014-04,B02617,Weiter,4099
2014-04-29,2014-04,B02682,Schmecken,8348
2014-04-29,2014-04,B02764,Danach-NY,386
2014-04-30,2014-04,B02512,Unter,2186
2014-04-30,2014-04,B02598,Hinter,13484
2014-04-30,2014-04,B02617,Weiter,6648
2014-04-30,2014-04,B02682,Schmecken,13327
2014-04-30,2014-04,B02764,Danach-NY,606
2014-05-01,2014-05,B02512,Unter,1368
2014-05-01,2014-05,B02598,Hinter,8814
2014-05-01,2014-05,B02617,Weiter,4236
2014-05-01,2014-05,B02682,Schmecken,8582
2014-05-01,2014-05,B02764,Danach-NY,375
2014-05-02,2014-05,B02512,Unter,1467
2014-05-02,2014-05,B02598,Hinter,9394
2014-05-02,2014-05,B02617,Weiter,4289
2014-05-02,2014-05,B02682,Schmecken,8752
2014-05-02,2014-05,B02764,Danach-NY,333
2014-05-03,2014-05,B02512,Unter,1287
2014-05-03,2014-05,B02598,Hinter,8946
2014-05-03,2014-05,B02617,Weiter,3439
2014-05-03,2014-05,B02682,Schmecken,8240
2014-05-03,2014-05,B02764,Danach-NY,322
2014-05-04,2014-05,B02512,Unter,890
2014-05-04,2014-05,B02598,Hinter,5378
2014-05-04,2014-05,B02617,Weiter,2430
2014-05-04,2014-05,B02682,Schmecken,5038
2014-05-04,2014-05,B02764,Danach-NY,182
2014-05-05,2014-05,B02512,Unter,1173
2014-05-05,2014-05,B02598,Hinter,7035
2014-05-05,2014-05,B02617,Weiter,2992
2014-05-05,2014-05,B02682,Schmecken,6403
2014-05-05,2014-05,B02764,Danach-NY,256
2014-05-06,2014-05,B02512,Unter,1283
2014-05-06,2014-05,B02598,Hinter,7586
2014-05-06,2014-05,B02617,Weiter,3466
2014-05-06,2014-05,B02682,Schmecken,6660
2014-05-06,2014-05,B02764,Danach-NY,305
2014-05-07,2014-05,B02512,Unter,1221
2014-05-07,2014-05,B02598,Hinter,8672
2014-05-07,2014-05,B02617,Weiter,3920
2014-05-07,2014-05,B02682,Schmecken,7729
2014-05-07,2014-05,B02764,Danach-NY,349
2014-05-08,2014-05,B02512,Unter,1575
2014-05-08,2014-05,B02598,Hinter,10784
2014-05-08,2014-05,B02617,Weiter,4802
2014-05-08,2014-05,B02682,Schmecken,9918
2014-05-08,2014-05,B02764,Danach-NY,434
2014-05-09,2014-05,B02512,Unter,1554
2014-05-09,2014-05,B02598,Hinter,10469
2014-05-09,2014-05,B02617,Weiter,4591
2014-05-09,2014-05,B02682,Schmecken,9414
2014-05-09,2014-05,B02764,Danach-NY,357
2014-05-10,2014-05,B02512,Unter,1318
2014-05-10,2014-05,B02598,Hinter,9372
2014-05-10,2014-05,B02617,Weiter,3630
2014-05-10,2014-05,B02682,Schmecken,7910
2014-05-10,2014-05,B02764,Danach-NY,320
2014-05-11,2014-05,B02512,Unter,767
2014-05-11,2014-05,B02598,Hinter,6198
2014-05-11,2014-05,B02617,Weiter,2613
2014-05-11,2014-05,B02682,Schmecken,5117
2014-05-11,2014-05,B02764,Danach-NY,206
2014-05-12,2014-05,B02512,Unter,1023
2014-05-12,2014-05,B02598,Hinter,7115
2014-05-12,2014-05,B02617,Weiter,3021
2014-05-12,2014-05,B02682,Schmecken,6075
2014-05-12,2014-05,B02764,Danach-NY,236
2014-05-13,2014-05,B02512,Unter,1149
2014-05-13,2014-05,B02598,Hinter,7873
2014-05-13,2014-05,B02617,Weiter,3443
2014-05-13,2014-05,B02682,Schmecken,6719
2014-05-13,2014-05,B02764,Danach-NY,314
2014-05-14,2014-05,B02512,Unter,1203
2014-05-14,2014-05,B02598,Hinter,9002
2014-05-14,2014-05,B02617,Weiter,3995
2014-05-14,2014-05,B02682,Schmecken,7721
2014-05-14,2014-05,B02764,Danach-NY,297
2014-05-15,2014-05,B02512,Unter,1407
2014-05-15,2014-05,B02598,Hinter,10577
2014-05-15,2014-05,B02617,Weiter,4798
2014-05-15,2014-05,B02682,Schmecken,9159
2014-05-15,2014-05,B02764,Danach-NY,360
2014-05-16,2014-05,B02512,Unter,1750
2014-05-16,2014-05,B02598,Hinter,12991
2014-05-16,2014-05,B02617,Weiter,5982
2014-05-16,2014-05,B02682,Schmecken,11284
2014-05-16,2014-05,B02764,Danach-NY,486
2014-05-17,2014-05,B02512,Unter,1149
2014-05-17,2014-05,B02598,Hinter,9327
2014-05-17,2014-05,B02617,Weiter,3856
2014-05-17,2014-05,B02682,Schmecken,7635
2014-05-17,2014-05,B02764,Danach-NY,327
2014-05-18,2014-05,B02512,Unter,991
2014-05-18,2014-05,B02598,Hinter,6901
2014-05-18,2014-05,B02617,Weiter,2988
2014-05-18,2014-05,B02682,Schmecken,5445
2014-05-18,2014-05,B02764,Danach-NY,183
2014-05-19,2014-05,B02512,Unter,1089
2014-05-19,2014-05,B02598,Hinter,7300
2014-05-19,2014-05,B02617,Weiter,3502
2014-05-19,2014-05,B02682,Schmecken,6090
2014-05-19,2014-05,B02764,Danach-NY,334
2014-05-20,2014-05,B02512,Unter,1293
2014-05-20,2014-05,B02598,Hinter,8291
2014-05-20,2014-05,B02617,Weiter,3856
2014-05-20,2014-05,B02682,Schmecken,7119
2014-05-20,2014-05,B02764,Danach-NY,301
2014-05-21,2014-05,B02512,Unter,1377
2014-05-21,2014-05,B02598,Hinter,9241
2014-05-21,2014-05,B02617,Weiter,4549
2014-05-21,2014-05,B02682,Schmecken,7963
2014-05-21,2014-05,B02764,Danach-NY,378
2014-05-22,2014-05,B02512,Unter,1480
2014-05-22,2014-05,B02598,Hinter,10479
2014-05-22,2014-05,B02617,Weiter,5440
2014-05-22,2014-05,B02682,Schmecken,9029
2014-05-22,2014-05,B02764,Danach-NY,374
2014-05-23,2014-05,B02512,Unter,1349
2014-05-23,2014-05,B02598,Hinter,10629
2014-05-23,2014-05,B02617,Weiter,5366
2014-05-23,2014-05,B02682,Schmecken,8754
2014-05-23,2014-05,B02764,Danach-NY,367
2014-05-24,2014-05,B02512,Unter,705
2014-05-24,2014-05,B02598,Hinter,5910
2014-05-24,2014-05,B02617,Weiter,2959
2014-05-24,2014-05,B02682,Schmecken,4864
2014-05-24,2014-05,B02764,Danach-NY,213
2014-05-25,2014-05,B02512,Unter,544
2014-05-25,2014-05,B02598,Hinter,4306
2014-05-25,2014-05,B02617,Weiter,2312
2014-05-25,2014-05,B02682,Schmecken,3505
2014-05-25,2014-05,B02764,Danach-NY,174
2014-05-26,2014-05,B02512,Unter,471
2014-05-26,2014-05,B02598,Hinter,4284
2014-05-26,2014-05,B02617,Weiter,2196
2014-05-26,2014-05,B02682,Schmecken,3074
2014-05-26,2014-05,B02764,Danach-NY,177
2014-05-27,2014-05,B02512,Unter,936
2014-05-27,2014-05,B02598,Hinter,6801
2014-05-27,2014-05,B02617,Weiter,3496
2014-05-27,2014-05,B02682,Schmecken,5532
2014-05-27,2014-05,B02764,Danach-NY,239
2014-05-28,2014-05,B02512,Unter,1266
2014-05-28,2014-05,B02598,Hinter,8889
2014-05-28,2014-05,B02617,Weiter,4842
2014-05-28,2014-05,B02682,Schmecken,6891
2014-05-28,2014-05,B02764,Danach-NY,352
2014-05-29,2014-05,B02512,Unter,1342
2014-05-29,2014-05,B02598,Hinter,9719
2014-05-29,2014-05,B02617,Weiter,5586
2014-05-29,2014-05,B02682,Schmecken,7942
2014-05-29,2014-05,B02764,Danach-NY,341
2014-05-30,2014-05,B02512,Unter,1293
2014-05-30,2014-05,B02598,Hinter,9642
2014-05-30,2014-05,B02617,Weiter,5447
2014-05-30,2014-05,B02682,Schmecken,7725
2014-05-30,2014-05,B02764,Danach-NY,306
2014-05-31,2014-05,B02512,Unter,1045
2014-05-31,2014-05,B02598,Hinter,8624
2014-05-31,2014-05,B02617,Weiter,4692
2014-05-31,2014-05,B02682,Schmecken,6594
2014-05-31,2014-05,B02764,Danach-NY,306
