pickup_date,pickup_month,base,base_name,trips,year,month,month_name,weekday,weekday_num,week_start,is_weekend,is_month_start,is_month_end,holiday_name,is_federal_holiday,nyc_event,has_nyc_event,weather_code,temperature_2m_max,temperature_2m_min,temperature_avg_f,apparent_temperature_max,apparent_temperature_min,apparent_temperature_avg_f,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,has_rain,has_snow,has_precipitation
2014-04-01,2014-04,B02512,Unter,1011,2014,4,April,Tuesday,1,2014-03-31,False,True,False,,False,,False,3,56.5,30.1,43.3,54.4,23.4,38.9,0.0,0.0,0.0,0.0,8.5,False,False,False
2014-04-01,2014-04,B02598,Hinter,3738,2014,4,April,Tuesday,1,2014-03-31,False,True,False,,False,,False,3,56.5,30.1,43.3,54.4,23.4,38.9,0.0,0.0,0.0,0.0,8.5,False,False,False
2014-04-01,2014-04,B02617,Weiter,3219,2014,4,April,Tuesday,1,2014-03-31,False,True,False,,False,,False,3,56.5,30.1,43.3,54.4,23.4,38.9,0.0,0.0,0.0,0.0,8.5,False,False,False
2014-04-01,2014-04,B02682,Schmecken,6255,2014,4,April,Tuesday,1,2014-03-31,False,True,False,,False,,False,3,56.5,30.1,43.3,54.4,23.4,38.9,0.0,0.0,0.0,0.0,8.5,False,False,False
2014-04-01,2014-04,B02764,Danach-NY,323,2014,4,April,Tuesday,1,2014-03-31,False,True,False,,False,,False,3,56.5,30.1,43.3,54.4,23.4,38.9,0.0,0.0,0.0,0.0,8.5,False,False,False
2014-04-02,2014-04,B02512,Unter,1336,2014,4,April,Wednesday,2,2014-03-31,False,False,False,,False,,False,53,53.4,35.9,44.65,50.5,30.4,40.45,0.071,0.071,0.0,3.0,6.3,True,False,True
2014-04-02,2014-04,B02598,Hinter,4526,2014,4,April,Wednesday,2,2014-03-31,False,False,False,,False,,False,53,53.4,35.9,44.65,50.5,30.4,40.45,0.071,0.071,0.0,3.0,6.3,True,False,True
2014-04-02,2014-04,B02617,Weiter,3752,2014,4,April,Wednesday,2,2014-03-31,False,False,False,,False,,False,53,53.4,35.9,44.65,50.5,30.4,40.45,0.071,0.071,0.0,3.0,6.3,True,False,True
2014-04-02,2014-04,B02682,Schmecken,7515,2014,4,April,Wednesday,2,2014-03-31,False,False,False,,False,,False,53,53.4,35.9,44.65,50.5,30.4,40.45,0.071,0.071,0.0,3.0,6.3,True,False,True
2014-04-02,2014-04,B02764,Danach-NY,345,2014,4,April,Wednesday,2,2014-03-31,False,False,False,,False,,False,53,53.4,35.9,44.65,50.5,30.4,40.45,0.071,0.071,0.0,3.0,6.3,True,False,True
2014-04-03,2014-04,B02512,Unter,1482,2014,4,April,Thursday,3,2014-03-31,False,False,False,,False,,False,53,60.3,37.0,48.65,57.8,30.8,44.3,0.02,0.02,0.0,1.0,6.7,True,False,True
2014-04-03,2014-04,B02598,Hinter,5499,2014,4,April,Thursday,3,2014-03-31,False,False,False,,False,,False,53,60.3,37.0,48.65,57.8,30.8,44.3,0.02,0.02,0.0,1.0,6.7,True,False,True
2014-04-03,2014-04,B02617,Weiter,4254,2014,4,April,Thursday,3,2014-03-31,False,False,False,,False,,False,53,60.3,37.0,48.65,57.8,30.8,44.3,0.02,0.02,0.0,1.0,6.7,True,False,True
2014-04-03,2014-04,B02682,Schmecken,9061,2014,4,April,Thursday,3,2014-03-31,False,False,False,,False,,False,53,60.3,37.0,48.65,57.8,30.8,44.3,0.02,0.02,0.0,1.0,6.7,True,False,True
2014-04-03,2014-04,B02764,Danach-NY,405,2014,4,April,Thursday,3,2014-03-31,False,False,False,,False,,False,53,60.3,37.0,48.65,57.8,30.8,44.3,0.02,0.02,0.0,1.0,6.7,True,False,True
