pickup_date,pickup_month,hour,base,base_name,trips
2014-04-01,2014-04,0,B02512,Unter,9
2014-04-01,2014-04,0,B02598,Hinter,35
2014-04-01,2014-04,0,B02617,Weiter,29
2014-04-01,2014-04,0,B02682,Schmecken,60
2014-04-01,2014-04,0,B02764,Danach-NY,5
2014-04-01,2014-04,1,B02512,Unter,4
2014-04-01,2014-04,1,B02598,Hinter,18
2014-04-01,2014-04,1,B02617,Weiter,18
2014-04-01,2014-04,1,B02682,Schmecken,22
2014-04-01,2014-04,1,B02764,Danach-NY,4
2014-04-01,2014-04,2,B02512,Unter,4
2014-04-01,2014-04,2,B02598,Hinter,15
2014-04-01,2014-04,2,B02617,Weiter,9
2014-04-01,2014-04,2,B02682,Schmecken,24
2014-04-01,2014-04,2,B02764,Danach-NY,1
2014-04-01,2014-04,3,B02512,Unter,4
2014-04-01,2014-04,3,B02598,Hinter,24
2014-04-01,2014-04,3,B02617,Weiter,18
2014-04-01,2014-04,3,B02682,Schmecken,46
2014-04-01,2014-04,3,B02764,Danach-NY,1
2014-04-01,2014-04,4,B02512,Unter,9
2014-04-01,2014-04,4,B02598,Hinter,45
2014-04-01,2014-04,4,B02617,Weiter,33
2014-04-01,2014-04,4,B02682,Schmecken,73
2014-04-01,2014-04,4,B02764,Danach-NY,6
2014-04-01,2014-04,5,B02512,Unter,24
2014-04-01,2014-04,5,B02598,Hinter,87
2014-04-01,2014-04,5,B02617,Weiter,67
2014-04-01,2014-04,5,B02682,Schmecken,146
2014-04-01,2014-04,5,B02764,Danach-NY,9
2014-04-01,2014-04,6,B02512,Unter,45
2014-04-01,2014-04,6,B02598,Hinter,174
2014-04-01,2014-04,6,B02617,Weiter,183
2014-04-01,2014-04,6,B02682,Schmecken,306
2014-04-01,2014-04,6,B02764,Danach-NY,14
2014-04-01,2014-04,7,B02512,Unter,63
2014-04-01,2014-04,7,B02598,Hinter,231
2014-04-01,2014-04,7,B02617,Weiter,241
2014-04-01,2014-04,7,B02682,Schmecken,446
2014-04-01,2014-04,7,B02764,Danach-NY,20
2014-04-01,2014-04,8,B02512,Unter,50
2014-04-01,2014-04,8,B02598,Hinter,174
2014-04-01,2014-04,8,B02617,Weiter,202
2014-04-01,2014-04,8,B02682,Schmecken,341
2014-04-01,2014-04,8,B02764,Danach-NY,13
2014-04-01,2014-04,9,B02512,Unter,35
2014-04-01,2014-04,9,B02598,Hinter,133
2014-04-01,2014-04,9,B02617,Weiter,114
2014-04-01,2014-04,9,B02682,Schmecken,239
2014-04-01,2014-04,9,B02764,Danach-NY,11
2014-04-01,2014-04,10,B02512,Unter,42
2014-04-01,2014-04,10,B02598,Hinter,120
2014-04-01,2014-04,10,B02617,Weiter,104
2014-04-01,2014-04,10,B02682,Schmecken,202
2014-04-01,2014-04,10,B02764,Danach-NY,9
2014-04-01,2014-04,11,B02512,Unter,55
2014-04-01,2014-04,11,B02598,Hinter,155
2014-04-01,2014-04,11,B02617,Weiter,115
2014-04-01,2014-04,11,B02682,Schmecken,208
2014-04-01,2014-04,11,B02764,Danach-NY,14
2014-04-01,2014-04,12,B02512,Unter,49
2014-04-01,2014-04,12,B02598,Hinter,122
2014-04-01,2014-04,12,B02617,Weiter,95
2014-04-01,2014-04,12,B02682,Schmecken,190
2014-04-01,2014-04,12,B02764,Danach-NY,13
2014-04-01,2014-04,13,B02512,Unter,53
2014-04-01,2014-04,13,B02598,Hinter,152
2014-04-01,2014-04,13,B02617,Weiter,118
2014-04-01,2014-04,13,B02682,Schmecken,257
2014-04-01,2014-04,13,B02764,Danach-NY,11
2014-04-01,2014-04,14,B02512,Unter,51
2014-04-01,2014-04,14,B02598,Hinter,192
2014-04-01,2014-04,14,B02617,Weiter,174
2014-04-01,2014-04,14,B02682,Schmecken,299
2014-04-01,2014-04,14,B02764,Danach-NY,20
2014-04-01,2014-04,15,B02512,Unter,61
2014-04-01,2014-04,15,B02598,Hinter,238
2014-04-01,2014-04,15,B02617,Weiter,220
2014-04-01,2014-04,15,B02682,Schmecken,426
2014-04-01,2014-04,15,B02764,Danach-NY,22
2014-04-01,2014-04,16,B02512,Unter,76
2014-04-01,2014-04,16,B02598,Hinter,296
2014-04-01,2014-04,16,B02617,Weiter,238
2014-04-01,2014-04,16,B02682,Schmecken,515
2014-04-01,2014-04,16,B02764,Danach-NY,27
2014-04-01,2014-04,17,B02512,Unter,83
2014-04-01,2014-04,17,B02598,Hinter,336
2014-04-01,2014-04,17,B02617,Weiter,297
2014-04-01,2014-04,17,B02682,Schmecken,515
2014-04-01,2014-04,17,B02764,Danach-NY,31
2014-04-01,2014-04,18,B02512,Unter,67
2014-04-01,2014-04,18,B02598,Hinter,314
2014-04-01,2014-04,18,B02617,Weiter,238
2014-04-01,2014-04,18,B02682,Schmecken,484
2014-04-01,2014-04,18,B02764,Danach-NY,19
2014-04-01,2014-04,19,B02512,Unter,72
2014-04-01,2014-04,19,B02598,Hinter,270
2014-04-01,2014-04,19,B02617,Weiter,202
2014-04-01,2014-04,19,B02682,Schmecken,451
2014-04-01,2014-04,19,B02764,Danach-NY,23
2014-04-01,2014-04,20,B02512,Unter,50
2014-04-01,2014-04,20,B02598,Hinter,168
2014-04-01,2014-04,20,B02617,Weiter,123
2014-04-01,2014-04,20,B02682,Schmecken,242
2014-04-01,2014-04,20,B02764,Danach-NY,14
2014-04-01,2014-04,21,B02512,Unter,56
2014-04-01,2014-04,21,B02598,Hinter,226
2014-04-01,2014-04,21,B02617,Weiter,193
2014-04-01,2014-04,21,B02682,Schmecken,383
2014-04-01,2014-04,21,B02764,Danach-NY,20
2014-04-01,2014-04,22,B02512,Unter,34
2014-04-01,2014-04,22,B02598,Hinter,142
2014-04-01,2014-04,22,B02617,Weiter,115
2014-04-01,2014-04,22,B02682,Schmecken,229
2014-04-01,2014-04,22,B02764,Danach-NY,9
2014-04-01,2014-04,23,B02512,Unter,15
2014-04-01,2014-04,23,B02598,Hinter,71
2014-04-01,2014-04,23,B02617,Weiter,73
2014-04-01,2014-04,23,B02682,Schmecken,151
2014-04-01,2014-04,23,B02764,Danach-NY,7
2014-04-02,2014-04,0,B02512,Unter,9
2014-04-02,2014-04,0,B02598,Hinter,35
2014-04-02,2014-04,0,B02617,Weiter,34
2014-04-02,2014-04,0,B02682,Schmecken,80
2014-04-02,2014-04,0,B02764,Danach-NY,3
2014-04-02,2014-04,1,B02512,Unter,4
2014-04-02,2014-04,1,B02598,Hinter,25
2014-04-02,2014-04,1,B02617,Weiter,19
2014-04-02,2014-04,1,B02682,Schmecken,31
2014-04-02,2014-04,1,B02764,Danach-NY,3
2014-04-02,2014-04,2,B02512,Unter,3
2014-04-02,2014-04,2,B02598,Hinter,16
2014-04-02,2014-04,2,B02617,Weiter,14
2014-04-02,2014-04,2,B02682,Schmecken,25
2014-04-02,2014-04,2,B02764,Danach-NY,1
2014-04-02,2014-04,3,B02512,Unter,5
2014-04-02,2014-04,3,B02598,Hinter,17
2014-04-02,2014-04,3,B02617,Weiter,23
2014-04-02,2014-04,3,B02682,Schmecken,33
2014-04-02,2014-04,3,B02764,Danach-NY,2
2014-04-02,2014-04,4,B02512,Unter,10
2014-04-02,2014-04,4,B02598,Hinter,64
2014-04-02,2014-04,4,B02617,Weiter,38
2014-04-02,2014-04,4,B02682,Schmecken,80
2014-04-02,2014-04,4,B02764,Danach-NY,4
2014-04-02,2014-04,5,B02512,Unter,22
2014-04-02,2014-04,5,B02598,Hinter,90
2014-04-02,2014-04,5,B02617,Weiter,70
2014-04-02,2014-04,5,B02682,Schmecken,157
2014-04-02,2014-04,5,B02764,Danach-NY,5
2014-04-02,2014-04,6,B02512,Unter,65
2014-04-02,2014-04,6,B02598,Hinter,203
2014-04-02,2014-04,6,B02617,Weiter,173
2014-04-02,2014-04,6,B02682,Schmecken,334
2014-04-02,2014-04,6,B02764,Danach-NY,10
2014-04-02,2014-04,7,B02512,Unter,77
2014-04-02,2014-04,7,B02598,Hinter,282
2014-04-02,2014-04,7,B02617,Weiter,251
2014-04-02,2014-04,7,B02682,Schmecken,468
2014-04-02,2014-04,7,B02764,Danach-NY,21
2014-04-02,2014-04,8,B02512,Unter,70
2014-04-02,2014-04,8,B02598,Hinter,240
2014-04-02,2014-04,8,B02617,Weiter,200
2014-04-02,2014-04,8,B02682,Schmecken,401
2014-04-02,2014-04,8,B02764,Danach-NY,16
2014-04-02,2014-04,9,B02512,Unter,49
2014-04-02,2014-04,9,B02598,Hinter,185
2014-04-02,2014-04,9,B02617,Weiter,141
2014-04-02,2014-04,9,B02682,Schmecken,269
2014-04-02,2014-04,9,B02764,Danach-NY,12
2014-04-02,2014-04,10,B02512,Unter,59
2014-04-02,2014-04,10,B02598,Hinter,163
2014-04-02,2014-04,10,B02617,Weiter,145
2014-04-02,2014-04,10,B02682,Schmecken,274
2014-04-02,2014-04,10,B02764,Danach-NY,17
2014-04-02,2014-04,11,B02512,Unter,52
2014-04-02,2014-04,11,B02598,Hinter,177
2014-04-02,2014-04,11,B02617,Weiter,145
2014-04-02,2014-04,11,B02682,Schmecken,324
2014-04-02,2014-04,11,B02764,Danach-NY,8
2014-04-02,2014-04,12,B02512,Unter,48
2014-04-02,2014-04,12,B02598,Hinter,170
2014-04-02,2014-04,12,B02617,Weiter,128
2014-04-02,2014-04,12,B02682,Schmecken,273
2014-04-02,2014-04,12,B02764,Danach-NY,13
2014-04-02,2014-04,13,B02512,Unter,54
2014-04-02,2014-04,13,B02598,Hinter,174
2014-04-02,2014-04,13,B02617,Weiter,156
2014-04-02,2014-04,13,B02682,Schmecken,306
2014-04-02,2014-04,13,B02764,Danach-NY,19
2014-04-02,2014-04,14,B02512,Unter,86
2014-04-02,2014-04,14,B02598,Hinter,216
2014-04-02,2014-04,14,B02617,Weiter,184
2014-04-02,2014-04,14,B02682,Schmecken,362
2014-04-02,2014-04,14,B02764,Danach-NY,20
2014-04-02,2014-04,15,B02512,Unter,102
2014-04-02,2014-04,15,B02598,Hinter,278
2014-04-02,2014-04,15,B02617,Weiter,234
2014-04-02,2014-04,15,B02682,Schmecken,497
2014-04-02,2014-04,15,B02764,Danach-NY,27
2014-04-02,2014-04,16,B02512,Unter,110
2014-04-02,2014-04,16,B02598,Hinter,325
2014-04-02,2014-04,16,B02617,Weiter,289
2014-04-02,2014-04,16,B02682,Schmecken,568
2014-04-02,2014-04,16,B02764,Danach-NY,21
2014-04-02,2014-04,17,B02512,Unter,128
2014-04-02,2014-04,17,B02598,Hinter,428
2014-04-02,2014-04,17,B02617,Weiter,350
2014-04-02,2014-04,17,B02682,Schmecken,663
2014-04-02,2014-04,17,B02764,Danach-NY,31
2014-04-02,2014-04,18,B02512,Unter,97
2014-04-02,2014-04,18,B02598,Hinter,324
