weekday_num,weekday,hour,base,base_name,trips
0,Monday,0,B02512,Unter,223
0,Monday,0,B02598,Hinter,1920
0,Monday,0,B02617,Weiter,2232
0,Monday,0,B02682,Schmecken,1670
0,Monday,0,B02764,Danach-NY,391
0,Monday,1,B02512,Unter,117
0,Monday,1,B02598,Hinter,1078
0,Monday,1,B02617,Weiter,1348
0,Monday,1,B02682,Schmecken,938
0,Monday,1,B02764,Danach-NY,256
0,Monday,2,B02512,Unter,127
0,Monday,2,B02598,Hinter,889
0,Monday,2,B02617,Weiter,991
0,Monday,2,B02682,Schmecken,715
0,Monday,2,B02764,Danach-NY,216
0,Monday,3,B02512,Unter,256
0,Monday,3,B02598,Hinter,1972
0,Monday,3,B02617,Weiter,1963
0,Monday,3,B02682,Schmecken,1699
0,Monday,3,B02764,Danach-NY,342
0,Monday,4,B02512,Unter,360
0,Monday,4,B02598,Hinter,3030
0,Monday,4,B02617,Weiter,3066
0,Monday,4,B02682,Schmecken,2669
0,Monday,4,B02764,Danach-NY,515
0,Monday,5,B02512,Unter,592
0,Monday,5,B02598,Hinter,4396
0,Monday,5,B02617,Weiter,4918
0,Monday,5,B02682,Schmecken,4326
0,Monday,5,B02764,Danach-NY,800
0,Monday,6,B02512,Unter,1095
0,Monday,6,B02598,Hinter,7002
0,Monday,6,B02617,Weiter,7467
0,Monday,6,B02682,Schmecken,6897
0,Monday,6,B02764,Danach-NY,1285
0,Monday,7,B02512,Unter,1446
0,Monday,7,B02598,Hinter,9348
0,Monday,7,B02617,Weiter,9812
0,Monday,7,B02682,Schmecken,9025
0,Monday,7,B02764,Danach-NY,1528
0,Monday,8,B02512,Unter,1251
0,Monday,8,B02598,Hinter,8759
0,Monday,8,B02617,Weiter,9328
0,Monday,8,B02682,Schmecken,8262
0,Monday,8,B02764,Danach-NY,1665
0,Monday,9,B02512,Unter,1006
0,Monday,9,B02598,Hinter,6666
0,Monday,9,B02617,Weiter,7092
0,Monday,9,B02682,Schmecken,5973
0,Monday,9,B02764,Danach-NY,1460
0,Monday,10,B02512,Unter,1048
0,Monday,10,B02598,Hinter,6029
0,Monday,10,B02617,Weiter,6618
0,Monday,10,B02682,Schmecken,5324
0,Monday,10,B02764,Danach-NY,1269
0,Monday,11,B02512,Unter,1033
0,Monday,11,B02598,Hinter,6026
0,Monday,11,B02617,Weiter,6711
0,Monday,11,B02682,Schmecken,5206
0,Monday,11,B02764,Danach-NY,1357
0,Monday,12,B02512,Unter,1066
0,Monday,12,B02598,Hinter,6032
0,Monday,12,B02617,Weiter,6746
0,Monday,12,B02682,Schmecken,5249
0,Monday,12,B02764,Danach-NY,1395
0,Monday,13,B02512,Unter,1225
0,Monday,13,B02598,Hinter,7044
0,Monday,13,B02617,Weiter,7675
0,Monday,13,B02682,Schmecken,5917
0,Monday,13,B02764,Danach-NY,1524
0,Monday,14,B02512,Unter,1376
0,Monday,14,B02598,Hinter,8602
0,Monday,14,B02617,Weiter,9090
0,Monday,14,B02682,Schmecken,7299
0,Monday,14,B02764,Danach-NY,1790
0,Monday,15,B02512,Unter,1625
0,Monday,15,B02598,Hinter,10074
0,Monday,15,B02617,Weiter,10477
0,Monday,15,B02682,Schmecken,8437
0,Monday,15,B02764,Danach-NY,2131
0,Monday,16,B02512,Unter,1912
0,Monday,16,B02598,Hinter,11870
0,Monday,16,B02617,Weiter,12480
0,Monday,16,B02682,Schmecken,10190
0,Monday,16,B02764,Danach-NY,2318
0,Monday,17,B02512,Unter,2077
0,Monday,17,B02598,Hinter,12859
0,Monday,17,B02617,Weiter,13596
0,Monday,17,B02682,Schmecken,11036
0,Monday,17,B02764,Danach-NY,2455
0,Monday,18,B02512,Unter,1760
0,Monday,18,B02598,Hinter,11032
0,Monday,18,B02617,Weiter,12305
0,Monday,18,B02682,Schmecken,9486
0,Monday,18,B02764,Danach-NY,2417
0,Monday,19,B02512,Unter,1711
0,Monday,19,B02598,Hinter,10277
0,Monday,19,B02617,Weiter,11317
0,Monday,19,B02682,Schmecken,8814
