pickup_date,pickup_month,affiliated_base,trips
2015-01-01,2015-01,B00013,232
2015-01-01,2015-01,B00014,240
2015-01-01,2015-01,B00035,9
2015-01-01,2015-01,B00053,279
2015-01-01,2015-01,B00083,7
2015-01-01,2015-01,B00111,462
2015-01-01,2015-01,B00208,4
2015-01-01,2015-01,B00227,193
2015-01-01,2015-01,B00235,8
2015-01-01,2015-01,B00236,7
2015-01-01,2015-01,B00254,136
2015-01-01,2015-01,B00271,308
2015-01-01,2015-01,B00272,434
2015-01-01,2015-01,B00277,123
2015-01-01,2015-01,B00280,147
2015-01-01,2015-01,B00296,71
2015-01-01,2015-01,B00381,72
2015-01-01,2015-01,B00411,18
2015-01-01,2015-01,B00412,136
2015-01-01,2015-01,B00446,107
2015-01-01,2015-01,B00448,323
2015-01-01,2015-01,B00477,276
2015-01-01,2015-01,B00608,99
2015-01-01,2015-01,B00623,3
2015-01-01,2015-01,B00628,193
2015-01-01,2015-01,B00789,372
2015-01-01,2015-01,B00837,87
2015-01-01,2015-01,B00888,88
2015-01-01,2015-01,B01087,434
2015-01-01,2015-01,B01183,12
2015-01-01,2015-01,B01197,103
2015-01-01,2015-01,B01309,10
2015-01-01,2015-01,B01367,73
2015-01-01,2015-01,B01779,35
2015-01-01,2015-01,B01803,28
2015-01-01,2015-01,B01854,9
2015-01-01,2015-01,B01871,2
2015-01-01,2015-01,B01875,72
2015-01-01,2015-01,B01876,2
2015-01-01,2015-01,B01877,139
2015-01-01,2015-01,B01899,54
2015-01-01,2015-01,B01907,22
2015-01-01,2015-01,B01913,2
2015-01-01,2015-01,B01938,10
2015-01-01,2015-01,B01949,106
2015-01-01,2015-01,B01976,35
2015-01-01,2015-01,B01985,39
2015-01-01,2015-01,B01989,5
2015-01-01,2015-01,B01998,336
2015-01-01,2015-01,B02003,114
2015-01-01,2015-01,B02005,7
2015-01-01,2015-01,B02016,34
2015-01-01,2015-01,B02022,9
2015-01-01,2015-01,B02067,93
2015-01-01,2015-01,B02073,8
2015-01-01,2015-01,B02096,33
2015-01-01,2015-01,B02101,100
2015-01-01,2015-01,B02110,37
2015-01-01,2015-01,B02127,1
2015-01-01,2015-01,B02133,25
2015-01-01,2015-01,B02147,4
2015-01-01,2015-01,B02148,14
2015-01-01,2015-01,B02160,17
2015-01-01,2015-01,B02191,2
2015-01-01,2015-01,B02202,35
2015-01-01,2015-01,B02207,192
2015-01-01,2015-01,B02216,141
2015-01-01,2015-01,B02217,14
2015-01-01,2015-01,B02222,3
2015-01-01,2015-01,B02225,11
2015-01-01,2015-01,B02240,6
2015-01-01,2015-01,B02241,7
2015-01-01,2015-01,B02243,1
2015-01-01,2015-01,B02252,3
2015-01-01,2015-01,B02253,4
2015-01-01,2015-01,B02256,7
2015-01-01,2015-01,B02273,20
2015-01-01,2015-01,B02277,3
2015-01-01,2015-01,B02280,4
2015-01-01,2015-01,B02285,24
2015-01-01,2015-01,B02306,3
2015-01-01,2015-01,B02330,12
2015-01-01,2015-01,B02331,7
2015-01-01,2015-01,B02334,7
2015-01-01,2015-01,B02342,19
2015-01-01,2015-01,B02345,95
2015-01-01,2015-01,B02356,5
2015-01-01,2015-01,B02376,4
2015-01-01,2015-01,B02382,30
2015-01-01,2015-01,B02408,17
2015-01-01,2015-01,B02410,5
2015-01-01,2015-01,B02418,7
2015-01-01,2015-01,B02429,13
2015-01-01,2015-01,B02440,1
2015-01-01,2015-01,B02453,64
2015-01-01,2015-01,B02459,18
2015-01-01,2015-01,B02460,4
2015-01-01,2015-01,B02468,23
2015-01-01,2015-01,B02469,15
2015-01-01,2015-01,B02472,1
2015-01-01,2015-01,B02480,7
2015-01-01,2015-01,B02492,12
2015-01-01,2015-01,B02503,5
2015-01-01,2015-01,B02507,11
2015-01-01,2015-01,B02510,25
2015-01-01,2015-01,B02512,969
2015-01-01,2015-01,B02513,4
2015-01-01,2015-01,B02514,12
2015-01-01,2015-01,B02532,20
2015-01-01,2015-01,B02533,7
2015-01-01,2015-01,B02534,9
2015-01-01,2015-01,B02587,25
2015-01-01,2015-01,B02588,8
2015-01-01,2015-01,B02598,6103
2015-01-01,2015-01,B02608,5
2015-01-01,2015-01,B02609,28
2015-01-01,2015-01,B02617,9424
2015-01-01,2015-01,B02630,3
2015-01-01,2015-01,B02633,11
2015-01-01,2015-01,B02638,21
2015-01-01,2015-01,B02639,1
2015-01-01,2015-01,B02644,83
2015-01-01,2015-01,B02646,39
2015-01-01,2015-01,B02651,46
2015-01-01,2015-01,B02668,1
2015-01-01,2015-01,B02670,3
2015-01-01,2015-01,B02682,5732
2015-01-01,2015-01,B02683,17
2015-01-01,2015-01,B02686,5
2015-01-01,2015-01,B02689,23
2015-01-01,2015-01,B02699,3
2015-01-01,2015-01,B02715,159
2015-01-01,2015-01,B02723,4
2015-01-01,2015-01,B02724,19
2015-01-01,2015-01,B02725,2
2015-01-01,2015-01,B02729,660
2015-01-01,2015-01,B02732,8
2015-01-01,2015-01,B02737,7
2015-01-01,2015-01,B02747,2
2015-01-01,2015-01,B02749,32
2015-01-01,2015-01,B02761,6
2015-01-01,2015-01,B02763,52
2015-01-01,2015-01,B02764,23125
2015-01-01,2015-01,B02765,305
2015-01-01,2015-01,B02767,17
2015-01-01,2015-01,B02769,38
2015-01-01,2015-01,B02770,5
2015-01-01,2015-01,B02771,4
2015-01-01,2015-01,B02772,12
2015-01-01,2015-01,B02774,423
2015-01-01,2015-01,B02783,6
2015-01-01,2015-01,B02784,16
2015-01-01,2015-01,B02787,22
2015-01-01,2015-01,B02788,155
2015-01-01,2015-01,B02789,114
2015-01-01,2015-01,B02795,21
2015-01-01,2015-01,B02800,26
2015-01-01,2015-01,B02806,42
2015-01-01,2015-01,B02809,21
2015-01-01,2015-01,B02810,14
2015-01-01,2015-01,B02815,19
2015-01-01,2015-01,B02818,86
2015-01-01,2015-01,B02822,14
2015-01-01,2015-01,,2662
2015-01-02,2015-01,B00013,80
2015-01-02,2015-01,B00014,160
2015-01-02,2015-01,B00035,4
2015-01-02,2015-01,B00053,184
2015-01-02,2015-01,B00083,11
2015-01-02,2015-01,B00111,302
2015-01-02,2015-01,B00202,2
2015-01-02,2015-01,B00227,114
2015-01-02,2015-01,B00235,4
2015-01-02,2015-01,B00254,75
2015-01-02,2015-01,B00271,209
2015-01-02,2015-01,B00272,295
2015-01-02,2015-01,B00277,79
2015-01-02,2015-01,B00280,100
2015-01-02,2015-01,B00296,54
2015-01-02,2015-01,B00381,59
2015-01-02,2015-01,B00411,10
2015-01-02,2015-01,B00412,48
2015-01-02,2015-01,B00446,36
2015-01-02,2015-01,B00448,225
2015-01-02,2015-01,B00477,121
2015-01-02,2015-01,B00608,28
2015-01-02,2015-01,B00628,120
2015-01-02,2015-01,B00789,231
2015-01-02,2015-01,B00837,24
2015-01-02,2015-01,B00888,22
2015-01-02,2015-01,B01087,168
2015-01-02,2015-01,B01183,6
2015-01-02,2015-01,B01197,54
2015-01-02,2015-01,B01309,3
2015-01-02,2015-01,B01367,51
2015-01-02,2015-01,B01779,13
2015-01-02,2015-01,B01803,2
2015-01-02,2015-01,B01861,9
2015-01-02,2015-01,B01871,4
2015-01-02,2015-01,B01875,41
2015-01-02,2015-01,B01876,2
2015-01-02,2015-01,B01877,66
2015-01-02,2015-01,B01899,66
2015-01-02,2015-01,B01907,5
2015-01-02,2015-01,B01913,3
2015-01-02,2015-01,B01938,6
2015-01-02,2015-01,B01949,97
2015-01-02,2015-01,B01976,25
2015-01-02,2015-01,B01985,26
2015-01-02,2015-01,B01990,9
2015-01-02,2015-01,B01998,203
2015-01-02,2015-01,B02003,45
2015-01-02,2015-01,B02005,9
2015-01-02,2015-01,B02016,25
2015-01-02,2015-01,B02022,11
2015-01-02,2015-01,B02067,71
2015-01-02,2015-01,B02073,10
2015-01-02,2015-01,B02096,31
2015-01-02,2015-01,B02101,79
2015-01-02,2015-01,B02110,5
2015-01-02,2015-01,B02133,12
2015-01-02,2015-01,B02147,6
2015-01-02,2015-01,B02148,1
2015-01-02,2015-01,B02160,9
2015-01-02,2015-01,B02202,22
2015-01-02,2015-01,B02207,111
2015-01-02,2015-01,B02216,96
2015-01-02,2015-01,B02217,4
2015-01-02,2015-01,B02225,8
2015-01-02,2015-01,B02241,8
2015-01-02,2015-01,B02243,1
2015-01-02,2015-01,B02252,7
2015-01-02,2015-01,B02253,24
2015-01-02,2015-01,B02273,15
2015-01-02,2015-01,B02277,13
2015-01-02,2015-01,B02280,6
2015-01-02,2015-01,B02285,14
2015-01-02,2015-01,B02306,3
2015-01-02,2015-01,B02330,8
2015-01-02,2015-01,B02331,2
2015-01-02,2015-01,B02334,10
2015-01-02,2015-01,B02339,1
2015-01-02,2015-01,B02342,8
2015-01-02,2015-01,B02345,32
2015-01-02,2015-01,B02352,5
2015-01-02,2015-01,B02376,2
2015-01-02,2015-01,B02382,8
2015-01-02,2015-01,B02401,60
