pickup_date,pickup_month,borough,trips
2015-01-01,2015-01,Bronx,1152
2015-01-01,2015-01,Brooklyn,13261
2015-01-01,2015-01,EWR,1
2015-01-01,2015-01,Manhattan,38144
2015-01-01,2015-01,Queens,5395
2015-01-01,2015-01,Staten Island,54
2015-01-01,2015-01,Unknown,38
2015-01-02,2015-01,Bronx,562
2015-01-02,2015-01,Brooklyn,7437
2015-01-02,2015-01,Manhattan,27867
2015-01-02,2015-01,Queens,4377
2015-01-02,2015-01,Staten Island,23
2015-01-02,2015-01,Unknown,21
2015-01-03,2015-01,Bronx,706
2015-01-03,2015-01,Brooklyn,11078
2015-01-03,2015-01,Manhattan,42167
2015-01-03,2015-01,Queens,5838
2015-01-03,2015-01,Staten Island,22
2015-01-03,2015-01,Unknown,33
2015-01-04,2015-01,Bronx,579
2015-01-04,2015-01,Brooklyn,8473
2015-01-04,2015-01,Manhattan,26306
2015-01-04,2015-01,Queens,6551
2015-01-04,2015-01,Staten Island,16
2015-01-04,2015-01,Unknown,18
2015-01-05,2015-01,Bronx,489
2015-01-05,2015-01,Brooklyn,6543
2015-01-05,2015-01,EWR,1
2015-01-05,2015-01,Manhattan,31036
2015-01-05,2015-01,Queens,5571
2015-01-05,2015-01,Staten Island,19
2015-01-05,2015-01,Unknown,19
2015-01-06,2015-01,Bronx,597
2015-01-06,2015-01,Brooklyn,7085
2015-01-06,2015-01,Manhattan,41485
2015-01-06,2015-01,Queens,4341
2015-01-06,2015-01,Staten Island,13
2015-01-06,2015-01,Unknown,18
2015-01-07,2015-01,Bronx,604
2015-01-07,2015-01,Brooklyn,8851
2015-01-07,2015-01,Manhattan,49607
2015-01-07,2015-01,Queens,4273
2015-01-07,2015-01,Staten Island,22
2015-01-07,2015-01,Unknown,18
2015-01-08,2015-01,Bronx,701
2015-01-08,2015-01,Brooklyn,9348
2015-01-08,2015-01,EWR,1
2015-01-08,2015-01,Manhattan,57947
2015-01-08,2015-01,Queens,4980
2015-01-08,2015-01,Staten Island,17
2015-01-08,2015-01,Unknown,22
2015-01-09,2015-01,Bronx,766
2015-01-09,2015-01,Brooklyn,10048
2015-01-09,2015-01,Manhattan,55779
2015-01-09,2015-01,Queens,5468
2015-01-09,2015-01,Staten Island,37
2015-01-09,2015-01,Unknown,26
2015-01-10,2015-01,Bronx,801
2015-01-10,2015-01,Brooklyn,14464
2015-01-10,2015-01,EWR,1
2015-01-10,2015-01,Manhattan,59628
2015-01-10,2015-01,Queens,5706
2015-01-10,2015-01,Staten Island,25
2015-01-10,2015-01,Unknown,31
2015-01-11,2015-01,Bronx,687
2015-01-11,2015-01,Brooklyn,11503
2015-01-11,2015-01,Manhattan,40814
2015-01-11,2015-01,Queens,5701
2015-01-11,2015-01,Staten Island,18
2015-01-11,2015-01,Unknown,28
2015-01-12,2015-01,Bronx,639
2015-01-12,2015-01,Brooklyn,7418
2015-01-12,2015-01,EWR,1
2015-01-12,2015-01,Manhattan,46081
2015-01-12,2015-01,Queens,4807
2015-01-12,2015-01,Staten Island,21
2015-01-12,2015-01,Unknown,24
2015-01-13,2015-01,Bronx,639
2015-01-13,2015-01,Brooklyn,7919
2015-01-13,2015-01,EWR,1
2015-01-13,2015-01,Manhattan,52056
2015-01-13,2015-01,Queens,4105
2015-01-13,2015-01,Staten Island,23
2015-01-13,2015-01,Unknown,22
2015-01-14,2015-01,Bronx,675
2015-01-14,2015-01,Brooklyn,8379
2015-01-14,2015-01,Manhattan,51568
2015-01-14,2015-01,Queens,4063
2015-01-14,2015-01,Staten Island,25
2015-01-14,2015-01,Unknown,15
2015-01-15,2015-01,Bronx,723
2015-01-15,2015-01,Brooklyn,9006
2015-01-15,2015-01,Manhattan,53495
2015-01-15,2015-01,Queens,4942
2015-01-15,2015-01,Staten Island,25
2015-01-15,2015-01,Unknown,20
2015-01-16,2015-01,Bronx,868
2015-01-16,2015-01,Brooklyn,10717
2015-01-16,2015-01,EWR,2
2015-01-16,2015-01,Manhattan,56986
2015-01-16,2015-01,Queens,5556
2015-01-16,2015-01,Staten Island,33
2015-01-16,2015-01,Unknown,31
2015-01-17,2015-01,Bronx,996
2015-01-17,2015-01,Brooklyn,15295
2015-01-17,2015-01,Manhattan,53315
2015-01-17,2015-01,Queens,5698
2015-01-17,2015-01,Staten Island,34
2015-01-17,2015-01,Unknown,26
2015-01-18,2015-01,Bronx,1014
2015-01-18,2015-01,Brooklyn,14040
2015-01-18,2015-01,Manhattan,53396
2015-01-18,2015-01,Queens,6012
2015-01-18,2015-01,Staten Island,31
2015-01-18,2015-01,Unknown,30
2015-01-19,2015-01,Bronx,616
2015-01-19,2015-01,Brooklyn,8250
2015-01-19,2015-01,Manhattan,32020
2015-01-19,2015-01,Queens,6095
2015-01-19,2015-01,Staten Island,21
2015-01-19,2015-01,Unknown,23
2015-01-20,2015-01,Bronx,622
2015-01-20,2015-01,Brooklyn,7428
2015-01-20,2015-01,EWR,1
2015-01-20,2015-01,Manhattan,42677
2015-01-20,2015-01,Queens,5098
2015-01-20,2015-01,Staten Island,26
2015-01-20,2015-01,Unknown,15
2015-01-21,2015-01,Bronx,637
2015-01-21,2015-01,Brooklyn,8140
2015-01-21,2015-01,Manhattan,47376
2015-01-21,2015-01,Queens,4167
2015-01-21,2015-01,Staten Island,36
2015-01-21,2015-01,Unknown,27
2015-01-22,2015-01,Bronx,680
2015-01-22,2015-01,Brooklyn,8616
2015-01-22,2015-01,EWR,1
2015-01-22,2015-01,Manhattan,52643
2015-01-22,2015-01,Queens,4843
2015-01-22,2015-01,Staten Island,20
2015-01-22,2015-01,Unknown,16
2015-01-23,2015-01,Bronx,788
2015-01-23,2015-01,Brooklyn,10542
2015-01-23,2015-01,Manhattan,56580
2015-01-23,2015-01,Queens,5391
2015-01-23,2015-01,Staten Island,35
2015-01-23,2015-01,Unknown,27
2015-01-24,2015-01,Bronx,875
2015-01-24,2015-01,Brooklyn,15255
2015-01-24,2015-01,Manhattan,60526
2015-01-24,2015-01,Queens,5860
2015-01-24,2015-01,Staten Island,45
2015-01-24,2015-01,Unknown,27
2015-01-25,2015-01,Bronx,761
2015-01-25,2015-01,Brooklyn,12290
2015-01-25,2015-01,Manhattan,40053
2015-01-25,2015-01,Queens,6220
