pickup_date,pickup_month,dispatching_base,trips
2015-01-01,2015-01,B02512,1275
2015-01-01,2015-01,B02598,7029
2015-01-01,2015-01,B02617,9845
2015-01-01,2015-01,B02682,7715
2015-01-01,2015-01,B02764,30347
2015-01-01,2015-01,B02765,1834
2015-01-02,2015-01,B02512,933
2015-01-02,2015-01,B02598,4825
2015-01-02,2015-01,B02617,7332
2015-01-02,2015-01,B02682,5540
2015-01-02,2015-01,B02764,20617
2015-01-02,2015-01,B02765,1040
2015-01-03,2015-01,B02512,1157
2015-01-03,2015-01,B02598,7437
2015-01-03,2015-01,B02617,11001
2015-01-03,2015-01,B02682,8090
2015-01-03,2015-01,B02764,30598
2015-01-03,2015-01,B02765,1561
2015-01-04,2015-01,B02512,848
2015-01-04,2015-01,B02598,5295
2015-01-04,2015-01,B02617,8017
2015-01-04,2015-01,B02682,5655
2015-01-04,2015-01,B02764,21110
2015-01-04,2015-01,B02765,1018
2015-01-05,2015-01,B02512,1063
2015-01-05,2015-01,B02598,5801
2015-01-05,2015-01,B02617,8075
2015-01-05,2015-01,B02682,6102
2015-01-05,2015-01,B02764,21506
2015-01-05,2015-01,B02765,1131
2015-01-06,2015-01,B02512,1399
2015-01-06,2015-01,B02598,6797
2015-01-06,2015-01,B02617,10383
2015-01-06,2015-01,B02682,7609
2015-01-06,2015-01,B02764,25974
2015-01-06,2015-01,B02765,1377
2015-01-07,2015-01,B02512,1532
2015-01-07,2015-01,B02598,8334
2015-01-07,2015-01,B02617,11794
2015-01-07,2015-01,B02682,9225
2015-01-07,2015-01,B02764,30748
2015-01-07,2015-01,B02765,1742
2015-01-08,2015-01,B02512,1907
2015-01-08,2015-01,B02598,10155
2015-01-08,2015-01,B02617,13853
2015-01-08,2015-01,B02682,10532
2015-01-08,2015-01,B02764,34615
2015-01-08,2015-01,B02765,1954
2015-01-09,2015-01,B02512,1713
2015-01-09,2015-01,B02598,9584
2015-01-09,2015-01,B02617,13532
2015-01-09,2015-01,B02682,10622
2015-01-09,2015-01,B02764,34577
2015-01-09,2015-01,B02765,2096
2015-01-10,2015-01,B02512,1810
2015-01-10,2015-01,B02598,10383
2015-01-10,2015-01,B02617,14242
2015-01-10,2015-01,B02682,11786
2015-01-10,2015-01,B02764,40187
2015-01-10,2015-01,B02765,2248
2015-01-11,2015-01,B02512,1255
2015-01-11,2015-01,B02598,7374
2015-01-11,2015-01,B02617,11254
2015-01-11,2015-01,B02682,8611
2015-01-11,2015-01,B02764,28581
2015-01-11,2015-01,B02765,1676
2015-01-12,2015-01,B02512,1530
2015-01-12,2015-01,B02598,7885
2015-01-12,2015-01,B02617,10919
2015-01-12,2015-01,B02682,9232
2015-01-12,2015-01,B02764,27665
2015-01-12,2015-01,B02765,1760
2015-01-13,2015-01,B02512,1800
2015-01-13,2015-01,B02598,8611
2015-01-13,2015-01,B02617,12049
2015-01-13,2015-01,B02682,9775
2015-01-13,2015-01,B02764,30788
2015-01-13,2015-01,B02765,1742
2015-01-14,2015-01,B02512,1720
2015-01-14,2015-01,B02598,8809
2015-01-14,2015-01,B02617,12202
2015-01-14,2015-01,B02682,9899
2015-01-14,2015-01,B02764,30473
2015-01-14,2015-01,B02765,1622
2015-01-15,2015-01,B02512,1753
2015-01-15,2015-01,B02598,9129
2015-01-15,2015-01,B02617,12888
2015-01-15,2015-01,B02682,10484
2015-01-15,2015-01,B02764,32136
2015-01-15,2015-01,B02765,1821
2015-01-16,2015-01,B02512,1630
2015-01-16,2015-01,B02598,9839
2015-01-16,2015-01,B02617,13283
2015-01-16,2015-01,B02682,11385
2015-01-16,2015-01,B02764,35910
2015-01-16,2015-01,B02765,2146
2015-01-17,2015-01,B02512,1382
2015-01-17,2015-01,B02598,9587
2015-01-17,2015-01,B02617,13102
2015-01-17,2015-01,B02682,11414
2015-01-17,2015-01,B02764,37689
2015-01-17,2015-01,B02765,2190
2015-01-18,2015-01,B02512,1677
2015-01-18,2015-01,B02598,9552
2015-01-18,2015-01,B02617,13301
