pickup_date,pickup_month,dispatching_base,base_name,active_vehicles,trips
2015-01-01,2015-01,B02512,Unter,190,1132
2015-01-01,2015-01,B02598,Hinter,870,6903
2015-01-01,2015-01,B02617,Weiter,1228,9537
2015-01-01,2015-01,B02682,Schmecken,945,7679
2015-01-01,2015-01,B02764,Danach-NY,3427,29421
2015-01-01,2015-01,B02765,Grun,225,1765
2015-01-02,2015-01,B02512,Unter,175,875
2015-01-02,2015-01,B02598,Hinter,785,4768
2015-01-02,2015-01,B02617,Weiter,1137,7065
2015-01-02,2015-01,B02682,Schmecken,890,5506
2015-01-02,2015-01,B02764,Danach-NY,3147,19974
2015-01-02,2015-01,B02765,Grun,196,1001
2015-01-03,2015-01,B02512,Unter,173,1088
2015-01-03,2015-01,B02598,Hinter,818,7432
2015-01-03,2015-01,B02617,Weiter,1188,10664
2015-01-03,2015-01,B02682,Schmecken,915,8010
2015-01-03,2015-01,B02764,Danach-NY,3215,29729
2015-01-03,2015-01,B02765,Grun,201,1526
2015-01-04,2015-01,B02512,Unter,147,791
2015-01-04,2015-01,B02598,Hinter,746,5223
2015-01-04,2015-01,B02617,Weiter,1088,7729
2015-01-04,2015-01,B02682,Schmecken,812,5621
2015-01-04,2015-01,B02764,Danach-NY,2862,20441
2015-01-04,2015-01,B02765,Grun,183,993
2015-01-05,2015-01,B02512,Unter,194,984
2015-01-05,2015-01,B02598,Hinter,907,5798
2015-01-05,2015-01,B02617,Weiter,1218,7899
2015-01-05,2015-01,B02682,Schmecken,951,6012
2015-01-05,2015-01,B02764,Danach-NY,3387,20926
2015-01-05,2015-01,B02765,Grun,227,1133
2015-01-06,2015-01,B02512,Unter,218,1314
2015-01-06,2015-01,B02598,Hinter,933,6816
2015-01-06,2015-01,B02617,Weiter,1336,10128
2015-01-06,2015-01,B02682,Schmecken,1022,7491
2015-01-06,2015-01,B02764,Danach-NY,3473,25301
2015-01-06,2015-01,B02765,Grun,234,1376
2015-01-07,2015-01,B02512,Unter,217,1446
2015-01-07,2015-01,B02598,Hinter,974,8397
2015-01-07,2015-01,B02617,Weiter,1363,11528
2015-01-07,2015-01,B02682,Schmecken,1039,9078
2015-01-07,2015-01,B02764,Danach-NY,3603,29949
2015-01-07,2015-01,B02765,Grun,248,1704
2015-01-08,2015-01,B02512,Unter,238,1772
2015-01-08,2015-01,B02598,Hinter,1070,10050
2015-01-08,2015-01,B02617,Weiter,1463,13462
2015-01-08,2015-01,B02682,Schmecken,1135,10416
2015-01-08,2015-01,B02764,Danach-NY,3831,33802
2015-01-08,2015-01,B02765,Grun,262,1911
2015-01-09,2015-01,B02512,Unter,224,1560
2015-01-09,2015-01,B02598,Hinter,1070,9538
2015-01-09,2015-01,B02617,Weiter,1455,13165
2015-01-09,2015-01,B02682,Schmecken,1140,10477
2015-01-09,2015-01,B02764,Danach-NY,3820,33517
2015-01-09,2015-01,B02765,Grun,280,2039
2015-01-10,2015-01,B02512,Unter,206,1646
2015-01-10,2015-01,B02598,Hinter,949,10287
2015-01-10,2015-01,B02617,Weiter,1331,13856
2015-01-10,2015-01,B02682,Schmecken,1057,11629
2015-01-10,2015-01,B02764,Danach-NY,3558,38864
2015-01-10,2015-01,B02765,Grun,245,2202
2015-01-11,2015-01,B02512,Unter,162,1104
2015-01-11,2015-01,B02598,Hinter,832,7176
2015-01-11,2015-01,B02617,Weiter,1228,10932
2015-01-11,2015-01,B02682,Schmecken,943,8461
2015-01-11,2015-01,B02764,Danach-NY,3186,27681
2015-01-11,2015-01,B02765,Grun,220,1672
2015-01-12,2015-01,B02512,Unter,217,1399
2015-01-12,2015-01,B02598,Hinter,964,7915
2015-01-12,2015-01,B02617,Weiter,1323,10662
2015-01-12,2015-01,B02682,Schmecken,1082,9107
2015-01-12,2015-01,B02764,Danach-NY,3499,26852
2015-01-12,2015-01,B02765,Grun,279,1711
2015-01-13,2015-01,B02512,Unter,234,1652
2015-01-13,2015-01,B02598,Hinter,975,8713
2015-01-13,2015-01,B02617,Weiter,1342,11825
2015-01-13,2015-01,B02682,Schmecken,1092,9629
2015-01-13,2015-01,B02764,Danach-NY,3658,29983
2015-01-13,2015-01,B02765,Grun,258,1697
2015-01-14,2015-01,B02512,Unter,233,1582
2015-01-14,2015-01,B02598,Hinter,1030,8870
2015-01-14,2015-01,B02617,Weiter,1405,11965
2015-01-14,2015-01,B02682,Schmecken,1174,9762
2015-01-14,2015-01,B02764,Danach-NY,3736,29550
2015-01-14,2015-01,B02765,Grun,271,1600
2015-01-15,2015-01,B02512,Unter,237,1636
2015-01-15,2015-01,B02598,Hinter,1068,9152
2015-01-15,2015-01,B02617,Weiter,1457,12539
2015-01-15,2015-01,B02682,Schmecken,1208,10391
2015-01-15,2015-01,B02764,Danach-NY,3840,31214
2015-01-15,2015-01,B02765,Grun,270,1797
2015-01-16,2015-01,B02512,Unter,234,1481
2015-01-16,2015-01,B02598,Hinter,1079,9838
2015-01-16,2015-01,B02617,Weiter,1445,12977
2015-01-16,2015-01,B02682,Schmecken,1250,11280
2015-01-16,2015-01,B02764,Danach-NY,3975,34822
2015-01-16,2015-01,B02765,Grun,290,2082
2015-01-17,2015-01,B02512,Unter,201,1281
2015-01-17,2015-01,B02598,Hinter,974,9546
2015-01-17,2015-01,B02617,Weiter,1306,12676
2015-01-17,2015-01,B02682,Schmecken,1137,11382
2015-01-17,2015-01,B02764,Danach-NY,3657,36318
2015-01-17,2015-01,B02765,Grun,252,2160
2015-01-18,2015-01,B02512,Unter,177,1521
2015-01-18,2015-01,B02598,Hinter,869,9443
2015-01-18,2015-01,B02617,Weiter,1223,12879
2015-01-18,2015-01,B02682,Schmecken,1056,11161
2015-01-18,2015-01,B02764,Danach-NY,3290,35182
2015-01-18,2015-01,B02765,Grun,248,2287
2015-01-19,2015-01,B02512,Unter,168,1025
2015-01-19,2015-01,B02598,Hinter,706,5609
2015-01-19,2015-01,B02617,Weiter,992,7775
2015-01-19,2015-01,B02682,Schmecken,883,7028
2015-01-19,2015-01,B02764,Danach-NY,2958,22750
2015-01-19,2015-01,B02765,Grun,238,1568
2015-01-20,2015-01,B02512,Unter,221,1310
2015-01-20,2015-01,B02598,Hinter,944,7206
2015-01-20,2015-01,B02617,Weiter,1350,10015
2015-01-20,2015-01,B02682,Schmecken,1151,8496
2015-01-20,2015-01,B02764,Danach-NY,3654,26137
2015-01-20,2015-01,B02765,Grun,272,1608
2015-01-21,2015-01,B02512,Unter,242,1519
2015-01-21,2015-01,B02598,Hinter,1035,8041
2015-01-21,2015-01,B02617,Weiter,1429,10997
2015-01-21,2015-01,B02682,Schmecken,1228,9472
2015-01-21,2015-01,B02764,Danach-NY,3718,27344
2015-01-21,2015-01,B02765,Grun,296,1774
2015-01-22,2015-01,B02512,Unter,246,1551
2015-01-22,2015-01,B02598,Hinter,1071,9080
2015-01-22,2015-01,B02617,Weiter,1471,12143
2015-01-22,2015-01,B02682,Schmecken,1295,10699
2015-01-22,2015-01,B02764,Danach-NY,3889,30091
2015-01-22,2015-01,B02765,Grun,295,2038
2015-01-23,2015-01,B02512,Unter,246,1670
2015-01-23,2015-01,B02598,Hinter,1093,9343
2015-01-23,2015-01,B02617,Weiter,1482,13121
2015-01-23,2015-01,B02682,Schmecken,1330,11767
2015-01-23,2015-01,B02764,Danach-NY,4040,33756
2015-01-23,2015-01,B02765,Grun,299,2162
2015-01-24,2015-01,B02512,Unter,211,1608
2015-01-24,2015-01,B02598,Hinter,945,10040
2015-01-24,2015-01,B02617,Weiter,1367,14143
2015-01-24,2015-01,B02682,Schmecken,1223,13355
