pickup_date,pickup_month,trips,borough,company,source,source_priority,granularity,year,hvfhs_license_num,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,shared_requests,shared_matches,cbd_congestion_fees
2014-04-01,2014-04,14546,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-04-02,2014-04,17474,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-04-03,2014-04,20701,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-04-04,2014-04,26714,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-04-05,2014-04,19521,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-04-06,2014-04,13445,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-04-07,2014-04,19550,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-04-08,2014-04,16188,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-04-09,2014-04,16843,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-04-10,2014-04,20041,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-04-11,2014-04,20420,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-04-12,2014-04,18170,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-04-13,2014-04,12112,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-04-14,2014-04,12674,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-04-15,2014-04,20641,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-04-16,2014-04,17717,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-04-17,2014-04,20973,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-04-18,2014-04,18074,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-04-19,2014-04,14602,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-04-20,2014-04,11017,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-04-21,2014-04,13162,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-04-22,2014-04,16975,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-04-23,2014-04,20346,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-04-24,2014-04,23352,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-04-25,2014-04,25095,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-04-26,2014-04,24925,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-04-27,2014-04,14677,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-04-28,2014-04,15475,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-04-29,2014-04,22835,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-04-30,2014-04,36251,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-05-01,2014-05,23375,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-05-02,2014-05,24235,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-05-03,2014-05,22234,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-05-04,2014-05,13918,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-05-05,2014-05,17859,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-05-06,2014-05,19300,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-05-07,2014-05,21891,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-05-08,2014-05,27513,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-05-09,2014-05,26385,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-05-10,2014-05,22550,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-05-11,2014-05,14901,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-05-12,2014-05,17470,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-05-13,2014-05,19498,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-05-14,2014-05,22218,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-05-15,2014-05,26301,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-05-16,2014-05,32493,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-05-17,2014-05,22294,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-05-18,2014-05,16508,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-05-19,2014-05,18315,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-05-20,2014-05,20860,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-05-21,2014-05,23508,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-05-22,2014-05,26802,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-05-23,2014-05,26465,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-05-24,2014-05,14651,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-05-25,2014-05,10841,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-05-26,2014-05,10202,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-05-27,2014-05,17004,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-05-28,2014-05,22240,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-05-29,2014-05,24930,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-05-30,2014-05,24413,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-05-31,2014-05,21261,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-06-01,2014-06,15967,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-06-02,2014-06,17503,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-06-03,2014-06,22674,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-06-04,2014-06,22831,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-06-05,2014-06,28371,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-06-06,2014-06,24683,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-06-07,2014-06,20889,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-06-08,2014-06,15749,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-06-09,2014-06,23244,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-06-10,2014-06,22874,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-06-11,2014-06,25716,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-06-12,2014-06,29844,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-06-13,2014-06,31207,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-06-14,2014-06,19327,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-06-15,2014-06,14511,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-06-16,2014-06,17778,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-06-17,2014-06,21807,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-06-18,2014-06,24647,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-06-19,2014-06,28594,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-06-20,2014-06,24271,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-06-21,2014-06,19940,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-06-22,2014-06,16322,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-06-23,2014-06,17735,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-06-24,2014-06,20779,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-06-25,2014-06,26460,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-06-26,2014-06,28516,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-06-27,2014-06,24895,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-06-28,2014-06,21208,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-06-29,2014-06,17107,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-06-30,2014-06,18395,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-07-01,2014-07,21228,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-07-02,2014-07,26480,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-07-03,2014-07,21597,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-07-04,2014-07,14148,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-07-05,2014-07,10890,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-07-06,2014-07,11443,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-07-07,2014-07,18280,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-07-08,2014-07,25763,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-07-09,2014-07,27817,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-07-10,2014-07,30541,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-07-11,2014-07,28752,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-07-12,2014-07,25936,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-07-13,2014-07,21082,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-07-14,2014-07,27350,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-07-15,2014-07,33845,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-07-16,2014-07,28607,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-07-17,2014-07,30710,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-07-18,2014-07,29860,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-07-19,2014-07,25726,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-07-20,2014-07,21212,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-07-21,2014-07,23578,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-07-22,2014-07,29029,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-07-23,2014-07,34073,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-07-24,2014-07,32050,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-07-25,2014-07,29975,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-07-26,2014-07,27708,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-07-27,2014-07,22590,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-07-28,2014-07,23981,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-07-29,2014-07,27589,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-07-30,2014-07,30740,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-07-31,2014-07,33541,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-08-01,2014-08,32353,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-08-02,2014-08,28678,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-08-03,2014-08,23146,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-08-04,2014-08,24952,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-08-05,2014-08,28094,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-08-06,2014-08,30495,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-08-07,2014-08,32759,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-08-08,2014-08,30411,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-08-09,2014-08,26286,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-08-10,2014-08,20584,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-08-11,2014-08,22632,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-08-12,2014-08,29646,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-08-13,2014-08,29788,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-08-14,2014-08,30457,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-08-15,2014-08,28974,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-08-16,2014-08,26234,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-08-17,2014-08,21209,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-08-18,2014-08,21956,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-08-19,2014-08,24834,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-08-20,2014-08,27955,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-08-21,2014-08,32304,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-08-22,2014-08,29512,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-08-23,2014-08,27097,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-08-24,2014-08,22036,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-08-25,2014-08,22093,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-08-26,2014-08,24550,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-08-27,2014-08,27018,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-08-28,2014-08,28597,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-08-29,2014-08,27424,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-08-30,2014-08,23930,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-08-31,2014-08,23271,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-09-01,2014-09,19961,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
2014-09-02,2014-09,28831,Unknown,Uber,five_thirty_eight_2014_gps,10,daily_borough,2014,,,,,,,,,,,
