pickup_date,pickup_month,trips,company,source,source_priority,granularity,year,hvfhs_license_num,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,shared_requests,shared_matches,cbd_congestion_fees
2014-04-01,2014-04,14546,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-04-02,2014-04,17474,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-04-03,2014-04,20701,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-04-04,2014-04,26714,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-04-05,2014-04,19521,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-04-06,2014-04,13445,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-04-07,2014-04,19550,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-04-08,2014-04,16188,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-04-09,2014-04,16843,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-04-10,2014-04,20041,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-04-11,2014-04,20420,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-04-12,2014-04,18170,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-04-13,2014-04,12112,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-04-14,2014-04,12674,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-04-15,2014-04,20641,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-04-16,2014-04,17717,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-04-17,2014-04,20973,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-04-18,2014-04,18074,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-04-19,2014-04,14602,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-04-20,2014-04,11017,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-04-21,2014-04,13162,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-04-22,2014-04,16975,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-04-23,2014-04,20346,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-04-24,2014-04,23352,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-04-25,2014-04,25095,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-04-26,2014-04,24925,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-04-27,2014-04,14677,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-04-28,2014-04,15475,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-04-29,2014-04,22835,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-04-30,2014-04,36251,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-05-01,2014-05,23375,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-05-02,2014-05,24235,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-05-03,2014-05,22234,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-05-04,2014-05,13918,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-05-05,2014-05,17859,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-05-06,2014-05,19300,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-05-07,2014-05,21891,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-05-08,2014-05,27513,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-05-09,2014-05,26385,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-05-10,2014-05,22550,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-05-11,2014-05,14901,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-05-12,2014-05,17470,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-05-13,2014-05,19498,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-05-14,2014-05,22218,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-05-15,2014-05,26301,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-05-16,2014-05,32493,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-05-17,2014-05,22294,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-05-18,2014-05,16508,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-05-19,2014-05,18315,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-05-20,2014-05,20860,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-05-21,2014-05,23508,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-05-22,2014-05,26802,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-05-23,2014-05,26465,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-05-24,2014-05,14651,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-05-25,2014-05,10841,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-05-26,2014-05,10202,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-05-27,2014-05,17004,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-05-28,2014-05,22240,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-05-29,2014-05,24930,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-05-30,2014-05,24413,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-05-31,2014-05,21261,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-06-01,2014-06,15967,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-06-02,2014-06,17503,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-06-03,2014-06,22674,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-06-04,2014-06,22831,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-06-05,2014-06,28371,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-06-06,2014-06,24683,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
2014-06-07,2014-06,20889,Uber,five_thirty_eight_2014_gps,10,daily,2014,,,,,,,,,,,
