pickup_date,pickup_month,company,borough,trips
2016-07-01,2016-07,Uber,Bronx,4085
2016-07-01,2016-07,Uber,Brooklyn,29143
2016-07-01,2016-07,Uber,Manhattan,73367
2016-07-01,2016-07,Uber,Queens,17149
2016-07-01,2016-07,Uber,Staten Island,519
2016-07-01,2016-07,Uber,Unknown,174
2016-07-02,2016-07,Uber,Bronx,3997
2016-07-02,2016-07,Uber,Brooklyn,30744
2016-07-02,2016-07,Uber,Manhattan,56693
2016-07-02,2016-07,Uber,Queens,18353
2016-07-02,2016-07,Uber,Staten Island,628
2016-07-02,2016-07,Uber,Unknown,183
2016-07-03,2016-07,Uber,Bronx,4275
2016-07-03,2016-07,Uber,Brooklyn,31538
2016-07-03,2016-07,Uber,Manhattan,53378
2016-07-03,2016-07,Uber,Queens,16494
2016-07-03,2016-07,Uber,Staten Island,519
2016-07-03,2016-07,Uber,Unknown,184
2016-07-04,2016-07,Uber,Bronx,3186
2016-07-04,2016-07,Uber,Brooklyn,27728
2016-07-04,2016-07,Uber,Manhattan,44886
2016-07-04,2016-07,Uber,Queens,14776
2016-07-04,2016-07,Uber,Staten Island,462
2016-07-04,2016-07,Uber,Unknown,137
2016-07-05,2016-07,Uber,Bronx,3223
2016-07-05,2016-07,Uber,Brooklyn,21433
2016-07-05,2016-07,Uber,Manhattan,54421
2016-07-05,2016-07,Uber,Queens,15679
2016-07-05,2016-07,Uber,Staten Island,425
2016-07-05,2016-07,Uber,Unknown,115
2016-07-06,2016-07,Uber,Bronx,2825
2016-07-06,2016-07,Uber,Brooklyn,19296
2016-07-06,2016-07,Uber,Manhattan,63206
2016-07-06,2016-07,Uber,Queens,13415
2016-07-06,2016-07,Uber,Staten Island,345
2016-07-06,2016-07,Uber,Unknown,122
2016-07-07,2016-07,Uber,Bronx,3030
2016-07-07,2016-07,Uber,Brooklyn,22376
2016-07-07,2016-07,Uber,Manhattan,77248
2016-07-07,2016-07,Uber,Queens,13779
2016-07-07,2016-07,Uber,Staten Island,412
2016-07-07,2016-07,Uber,Unknown,124
2016-07-08,2016-07,Uber,Bronx,3546
2016-07-08,2016-07,Uber,Brooklyn,26607
2016-07-08,2016-07,Uber,Manhattan,81788
2016-07-08,2016-07,Uber,Queens,15668
2016-07-08,2016-07,Uber,Staten Island,515
2016-07-08,2016-07,Uber,Unknown,150
2016-07-09,2016-07,Uber,Bronx,4082
2016-07-09,2016-07,Uber,Brooklyn,35737
2016-07-09,2016-07,Uber,Manhattan,81647
2016-07-09,2016-07,Uber,Queens,17022
2016-07-09,2016-07,Uber,Staten Island,600
2016-07-09,2016-07,Uber,Unknown,194
2016-07-10,2016-07,Uber,Bronx,3975
2016-07-10,2016-07,Uber,Brooklyn,32010
2016-07-10,2016-07,Uber,Manhattan,67446
2016-07-10,2016-07,Uber,Queens,17885
2016-07-10,2016-07,Uber,Staten Island,468
2016-07-10,2016-07,Uber,Unknown,173
2016-07-11,2016-07,Uber,Bronx,2794
2016-07-11,2016-07,Uber,Brooklyn,19472
2016-07-11,2016-07,Uber,Manhattan,62943
2016-07-11,2016-07,Uber,Queens,14622
2016-07-11,2016-07,Uber,Staten Island,372
2016-07-11,2016-07,Uber,Unknown,114
2016-07-12,2016-07,Uber,Bronx,2815
2016-07-12,2016-07,Uber,Brooklyn,20338
2016-07-12,2016-07,Uber,Manhattan,72809
2016-07-12,2016-07,Uber,Queens,13070
2016-07-12,2016-07,Uber,Staten Island,413
2016-07-12,2016-07,Uber,Unknown,137
2016-07-13,2016-07,Uber,Bronx,3288
2016-07-13,2016-07,Uber,Brooklyn,23145
2016-07-13,2016-07,Uber,Manhattan,86886
2016-07-13,2016-07,Uber,Queens,14131
2016-07-13,2016-07,Uber,Staten Island,417
2016-07-13,2016-07,Uber,Unknown,131
2016-07-14,2016-07,Uber,Bronx,3264
2016-07-14,2016-07,Uber,Brooklyn,24804
2016-07-14,2016-07,Uber,Manhattan,89208
2016-07-14,2016-07,Uber,Queens,16189
2016-07-14,2016-07,Uber,Staten Island,480
2016-07-14,2016-07,Uber,Unknown,140
2016-07-15,2016-07,Uber,Bronx,4176
2016-07-15,2016-07,Uber,Brooklyn,28628
2016-07-15,2016-07,Uber,Manhattan,89225
2016-07-15,2016-07,Uber,Queens,18221
2016-07-15,2016-07,Uber,Staten Island,561
2016-07-15,2016-07,Uber,Unknown,177
2016-07-16,2016-07,Uber,Bronx,4658
2016-07-16,2016-07,Uber,Brooklyn,39646
2016-07-16,2016-07,Uber,Manhattan,87424
2016-07-16,2016-07,Uber,Queens,18599
2016-07-16,2016-07,Uber,Staten Island,688
2016-07-16,2016-07,Uber,Unknown,220
2016-07-17,2016-07,Uber,Bronx,4386
2016-07-17,2016-07,Uber,Brooklyn,34237
2016-07-17,2016-07,Uber,Manhattan,74964
2016-07-17,2016-07,Uber,Queens,19036
2016-07-17,2016-07,Uber,Staten Island,537
2016-07-17,2016-07,Uber,Unknown,165
2016-07-18,2016-07,Uber,Bronx,3024
2016-07-18,2016-07,Uber,Brooklyn,20874
2016-07-18,2016-07,Uber,Manhattan,73030
2016-07-18,2016-07,Uber,Queens,15222
2016-07-18,2016-07,Uber,Staten Island,392
2016-07-18,2016-07,Uber,Unknown,126
2016-07-19,2016-07,Uber,Bronx,2996
2016-07-19,2016-07,Uber,Brooklyn,20457
2016-07-19,2016-07,Uber,Manhattan,74720
2016-07-19,2016-07,Uber,Queens,14049
2016-07-19,2016-07,Uber,Staten Island,417
2016-07-19,2016-07,Uber,Unknown,117
2016-07-20,2016-07,Uber,Bronx,3172
2016-07-20,2016-07,Uber,Brooklyn,22271
2016-07-20,2016-07,Uber,Manhattan,79538
2016-07-20,2016-07,Uber,Queens,14734
2016-07-20,2016-07,Uber,Staten Island,472
2016-07-20,2016-07,Uber,Unknown,125
2016-07-21,2016-07,Uber,Bronx,3369
2016-07-21,2016-07,Uber,Brooklyn,24451
2016-07-21,2016-07,Uber,Manhattan,86321
2016-07-21,2016-07,Uber,Queens,15882
2016-07-21,2016-07,Uber,Staten Island,491
2016-07-21,2016-07,Uber,Unknown,133
2016-07-22,2016-07,Uber,Bronx,4078
2016-07-22,2016-07,Uber,Brooklyn,30112
2016-07-22,2016-07,Uber,Manhattan,93344
2016-07-22,2016-07,Uber,Queens,18625
2016-07-22,2016-07,Uber,Staten Island,547
2016-07-22,2016-07,Uber,Unknown,159
2016-07-23,2016-07,Uber,Bronx,4644
2016-07-23,2016-07,Uber,Brooklyn,39226
2016-07-23,2016-07,Uber,Manhattan,90395
2016-07-23,2016-07,Uber,Queens,19406
2016-07-23,2016-07,Uber,Staten Island,682
2016-07-23,2016-07,Uber,Unknown,174
2016-07-24,2016-07,Uber,Bronx,4178
2016-07-24,2016-07,Uber,Brooklyn,33381
2016-07-24,2016-07,Uber,Manhattan,76505
2016-07-24,2016-07,Uber,Queens,19562
2016-07-24,2016-07,Uber,Staten Island,511
2016-07-24,2016-07,Uber,Unknown,171
2016-07-25,2016-07,Uber,Bronx,2817
2016-07-25,2016-07,Uber,Brooklyn,22193
2016-07-25,2016-07,Uber,Manhattan,80424
2016-07-25,2016-07,Uber,Queens,15368
2016-07-25,2016-07,Uber,Staten Island,389
2016-07-25,2016-07,Uber,Unknown,133
2016-07-26,2016-07,Uber,Bronx,2670
2016-07-26,2016-07,Uber,Brooklyn,20997
2016-07-26,2016-07,Uber,Manhattan,76969
2016-07-26,2016-07,Uber,Queens,15384
2016-07-26,2016-07,Uber,Staten Island,393
2016-07-26,2016-07,Uber,Unknown,95
2016-07-27,2016-07,Uber,Bronx,2953
2016-07-27,2016-07,Uber,Brooklyn,22395
2016-07-27,2016-07,Uber,Manhattan,81597
2016-07-27,2016-07,Uber,Queens,14239
2016-07-27,2016-07,Uber,Staten Island,433
2016-07-27,2016-07,Uber,Unknown,114
2016-07-28,2016-07,Uber,Bronx,3162
2016-07-28,2016-07,Uber,Brooklyn,24337
2016-07-28,2016-07,Uber,Manhattan,88103
2016-07-28,2016-07,Uber,Queens,14653
2016-07-28,2016-07,Uber,Staten Island,425
2016-07-28,2016-07,Uber,Unknown,143
2016-07-29,2016-07,Uber,Bronx,3990
2016-07-29,2016-07,Uber,Brooklyn,29614
2016-07-29,2016-07,Uber,Manhattan,92880
2016-07-29,2016-07,Uber,Queens,18631
2016-07-29,2016-07,Uber,Staten Island,533
2016-07-29,2016-07,Uber,Unknown,169
2016-07-30,2016-07,Uber,Bronx,4245
2016-07-30,2016-07,Uber,Brooklyn,39808
2016-07-30,2016-07,Uber,Manhattan,95733
2016-07-30,2016-07,Uber,Queens,18419
2016-07-30,2016-07,Uber,Staten Island,560
2016-07-30,2016-07,Uber,Unknown,172
2016-07-31,2016-07,Uber,Bronx,3900
2016-07-31,2016-07,Uber,Brooklyn,32817
2016-07-31,2016-07,Uber,Manhattan,78783
2016-07-31,2016-07,Uber,Queens,17985
2016-07-31,2016-07,Uber,Staten Island,375
2016-07-31,2016-07,Uber,Unknown,156
