pickup_date,pickup_month,company,trips
2018-12-01,2018-12,Uber,198865
2018-12-02,2018-12,Uber,174225
2018-12-03,2018-12,Uber,137730
2018-12-04,2018-12,Uber,145035
2018-12-05,2018-12,Uber,151906
2018-12-06,2018-12,Uber,160156
2018-12-07,2018-12,Uber,176602
2018-12-08,2018-12,Uber,199441
2018-12-09,2018-12,Uber,162703
2018-12-10,2018-12,Uber,138329
2018-12-11,2018-12,Uber,149338
2018-12-12,2018-12,Uber,153125
2018-12-13,2018-12,Uber,166461
2018-12-14,2018-12,Uber,183130
2018-12-15,2018-12,Uber,195458
2018-12-16,2018-12,Uber,192113
2018-12-17,2018-12,Uber,135732
2018-12-18,2018-12,Uber,147693
2018-12-19,2018-12,Uber,149655
2018-12-20,2018-12,Uber,163665
2018-12-21,2018-12,Uber,169995
2018-12-22,2018-12,Uber,157213
2018-12-23,2018-12,Uber,134893
2018-12-24,2018-12,Uber,129896
2018-12-25,2018-12,Uber,108394
2018-12-26,2018-12,Uber,107975
2018-12-27,2018-12,Uber,117906
2018-12-28,2018-12,Uber,143311
2018-12-29,2018-12,Uber,144265
2018-12-30,2018-12,Uber,136976
2018-12-31,2018-12,Uber,176613
