pickup_date,pickup_month,hour,company,trips
2015-05-01,2015-05,0,Uber,2985
2015-05-01,2015-05,1,Uber,1895
2015-05-01,2015-05,2,Uber,1165
2015-05-01,2015-05,3,Uber,752
2015-05-01,2015-05,4,Uber,1058
2015-05-01,2015-05,5,Uber,1294
2015-05-01,2015-05,6,Uber,2052
2015-05-01,2015-05,7,Uber,3018
2015-05-01,2015-05,8,Uber,3996
2015-05-01,2015-05,9,Uber,3959
2015-05-01,2015-05,10,Uber,3225
2015-05-01,2015-05,11,Uber,3161
2015-05-01,2015-05,12,Uber,3065
2015-05-01,2015-05,13,Uber,2956
2015-05-01,2015-05,14,Uber,3381
2015-05-01,2015-05,15,Uber,3925
2015-05-01,2015-05,16,Uber,4411
2015-05-01,2015-05,17,Uber,5023
2015-05-01,2015-05,18,Uber,6319
2015-05-01,2015-05,19,Uber,7362
2015-05-01,2015-05,20,Uber,6623
2015-05-01,2015-05,21,Uber,6211
2015-05-01,2015-05,22,Uber,7039
2015-05-01,2015-05,23,Uber,7437
2015-05-02,2015-05,0,Uber,6325
2015-05-02,2015-05,1,Uber,4213
2015-05-02,2015-05,2,Uber,2803
2015-05-02,2015-05,3,Uber,1925
2015-05-02,2015-05,4,Uber,1458
2015-05-02,2015-05,5,Uber,1026
2015-05-02,2015-05,6,Uber,1144
2015-05-02,2015-05,7,Uber,1407
2015-05-02,2015-05,8,Uber,2038
2015-05-02,2015-05,9,Uber,2619
2015-05-02,2015-05,10,Uber,3141
2015-05-02,2015-05,11,Uber,3658
2015-05-02,2015-05,12,Uber,3876
2015-05-02,2015-05,13,Uber,4073
2015-05-02,2015-05,14,Uber,4164
2015-05-02,2015-05,15,Uber,4657
2015-05-02,2015-05,16,Uber,5615
2015-05-02,2015-05,17,Uber,6433
2015-05-02,2015-05,18,Uber,6505
2015-05-02,2015-05,19,Uber,7445
2015-05-02,2015-05,20,Uber,7567
2015-05-02,2015-05,21,Uber,7670
2015-05-02,2015-05,22,Uber,7981
2015-05-02,2015-05,23,Uber,7198
2015-05-03,2015-05,0,Uber,5648
2015-05-03,2015-05,1,Uber,7337
2015-05-03,2015-05,2,Uber,5111
2015-05-03,2015-05,3,Uber,2774
2015-05-03,2015-05,4,Uber,1680
2015-05-03,2015-05,5,Uber,1099
2015-05-03,2015-05,6,Uber,969
2015-05-03,2015-05,7,Uber,1051
2015-05-03,2015-05,8,Uber,1233
2015-05-03,2015-05,9,Uber,1594
2015-05-03,2015-05,10,Uber,2118
2015-05-03,2015-05,11,Uber,2830
2015-05-03,2015-05,12,Uber,3321
2015-05-03,2015-05,13,Uber,3662
2015-05-03,2015-05,14,Uber,3855
2015-05-03,2015-05,15,Uber,3988
2015-05-03,2015-05,16,Uber,4175
2015-05-03,2015-05,17,Uber,4272
2015-05-03,2015-05,18,Uber,4478
2015-05-03,2015-05,19,Uber,4298
2015-05-03,2015-05,20,Uber,4038
2015-05-03,2015-05,21,Uber,3927
2015-05-03,2015-05,22,Uber,3799
2015-05-03,2015-05,23,Uber,2997
2015-05-04,2015-05,0,Uber,1739
2015-05-04,2015-05,1,Uber,952
2015-05-04,2015-05,2,Uber,607
2015-05-04,2015-05,3,Uber,422
2015-05-04,2015-05,4,Uber,733
2015-05-04,2015-05,5,Uber,1270
2015-05-04,2015-05,6,Uber,2135
2015-05-04,2015-05,7,Uber,3060
2015-05-04,2015-05,8,Uber,3940
2015-05-04,2015-05,9,Uber,3658
2015-05-04,2015-05,10,Uber,2733
2015-05-04,2015-05,11,Uber,2525
2015-05-04,2015-05,12,Uber,2440
2015-05-04,2015-05,13,Uber,2502
2015-05-04,2015-05,14,Uber,2785
2015-05-04,2015-05,15,Uber,3088
2015-05-04,2015-05,16,Uber,3367
2015-05-04,2015-05,17,Uber,3803
2015-05-04,2015-05,18,Uber,4518
2015-05-04,2015-05,19,Uber,4262
2015-05-04,2015-05,20,Uber,3971
2015-05-04,2015-05,21,Uber,4112
2015-05-04,2015-05,22,Uber,3854
2015-05-04,2015-05,23,Uber,2960
2015-05-05,2015-05,0,Uber,1831
2015-05-05,2015-05,1,Uber,1090
2015-05-05,2015-05,2,Uber,660
2015-05-05,2015-05,3,Uber,447
2015-05-05,2015-05,4,Uber,561
2015-05-05,2015-05,5,Uber,1086
2015-05-05,2015-05,6,Uber,1879
2015-05-05,2015-05,7,Uber,3134
2015-05-05,2015-05,8,Uber,3945
2015-05-05,2015-05,9,Uber,3681
2015-05-05,2015-05,10,Uber,2917
2015-05-05,2015-05,11,Uber,2672
2015-05-05,2015-05,12,Uber,2577
2015-05-05,2015-05,13,Uber,2670
2015-05-05,2015-05,14,Uber,3097
2015-05-05,2015-05,15,Uber,3527
2015-05-05,2015-05,16,Uber,4051
2015-05-05,2015-05,17,Uber,4755
2015-05-05,2015-05,18,Uber,5939
2015-05-05,2015-05,19,Uber,5490
2015-05-05,2015-05,20,Uber,5226
2015-05-05,2015-05,21,Uber,5416
2015-05-05,2015-05,22,Uber,5308
2015-05-05,2015-05,23,Uber,4226
2015-05-06,2015-05,0,Uber,2749
2015-05-06,2015-05,1,Uber,1527
2015-05-06,2015-05,2,Uber,777
2015-05-06,2015-05,3,Uber,568
2015-05-06,2015-05,4,Uber,716
2015-05-06,2015-05,5,Uber,1128
2015-05-06,2015-05,6,Uber,2014
2015-05-06,2015-05,7,Uber,3576
2015-05-06,2015-05,8,Uber,4413
2015-05-06,2015-05,9,Uber,4369
2015-05-06,2015-05,10,Uber,3333
2015-05-06,2015-05,11,Uber,3094
2015-05-06,2015-05,12,Uber,2870
2015-05-06,2015-05,13,Uber,2820
2015-05-06,2015-05,14,Uber,3303
2015-05-06,2015-05,15,Uber,3608
2015-05-06,2015-05,16,Uber,4076
2015-05-06,2015-05,17,Uber,4779
2015-05-06,2015-05,18,Uber,5583
2015-05-06,2015-05,19,Uber,5175
2015-05-06,2015-05,20,Uber,5134
2015-05-06,2015-05,21,Uber,5494
2015-05-06,2015-05,22,Uber,5265
2015-05-06,2015-05,23,Uber,4070
2015-05-07,2015-05,0,Uber,2549
2015-05-07,2015-05,1,Uber,1301
2015-05-07,2015-05,2,Uber,764
2015-05-07,2015-05,3,Uber,535
2015-05-07,2015-05,4,Uber,794
2015-05-07,2015-05,5,Uber,1192
2015-05-07,2015-05,6,Uber,2066
2015-05-07,2015-05,7,Uber,3236
2015-05-07,2015-05,8,Uber,4154
2015-05-07,2015-05,9,Uber,3912
2015-05-07,2015-05,10,Uber,3259
2015-05-07,2015-05,11,Uber,2911
2015-05-07,2015-05,12,Uber,2955
2015-05-07,2015-05,13,Uber,2875
2015-05-07,2015-05,14,Uber,3331
2015-05-07,2015-05,15,Uber,3818
2015-05-07,2015-05,16,Uber,4551
2015-05-07,2015-05,17,Uber,5274
2015-05-07,2015-05,18,Uber,6496
2015-05-07,2015-05,19,Uber,6174
2015-05-07,2015-05,20,Uber,5978
2015-05-07,2015-05,21,Uber,6675
2015-05-07,2015-05,22,Uber,6741
2015-05-07,2015-05,23,Uber,5806
2015-05-08,2015-05,0,Uber,3512
2015-05-08,2015-05,1,Uber,1817
2015-05-08,2015-05,2,Uber,1185
2015-05-08,2015-05,3,Uber,793
2015-05-08,2015-05,4,Uber,960
2015-05-08,2015-05,5,Uber,1318
2015-05-08,2015-05,6,Uber,2035
2015-05-08,2015-05,7,Uber,3178
2015-05-08,2015-05,8,Uber,4152
2015-05-08,2015-05,9,Uber,3874
2015-05-08,2015-05,10,Uber,3299
2015-05-08,2015-05,11,Uber,3089
2015-05-08,2015-05,12,Uber,3060
2015-05-08,2015-05,13,Uber,3100
2015-05-08,2015-05,14,Uber,3587
2015-05-08,2015-05,15,Uber,3927
2015-05-08,2015-05,16,Uber,4499
2015-05-08,2015-05,17,Uber,5340
2015-05-08,2015-05,18,Uber,6227
2015-05-08,2015-05,19,Uber,6415
2015-05-08,2015-05,20,Uber,5857
2015-05-08,2015-05,21,Uber,5713
2015-05-08,2015-05,22,Uber,6668
2015-05-08,2015-05,23,Uber,7114
2015-05-09,2015-05,0,Uber,6282
2015-05-09,2015-05,1,Uber,4364
2015-05-09,2015-05,2,Uber,2865
2015-05-09,2015-05,3,Uber,1850
2015-05-09,2015-05,4,Uber,1421
2015-05-09,2015-05,5,Uber,1060
2015-05-09,2015-05,6,Uber,1139
2015-05-09,2015-05,7,Uber,1368
2015-05-09,2015-05,8,Uber,2090
2015-05-09,2015-05,9,Uber,2750
2015-05-09,2015-05,10,Uber,3397
2015-05-09,2015-05,11,Uber,3720
2015-05-09,2015-05,12,Uber,4201
2015-05-09,2015-05,13,Uber,4277
2015-05-09,2015-05,14,Uber,4266
2015-05-09,2015-05,15,Uber,4491
2015-05-09,2015-05,16,Uber,5129
2015-05-09,2015-05,17,Uber,5950
2015-05-09,2015-05,18,Uber,5988
2015-05-09,2015-05,19,Uber,6674
2015-05-09,2015-05,20,Uber,6034
2015-05-09,2015-05,21,Uber,5773
2015-05-09,2015-05,22,Uber,6286
2015-05-09,2015-05,23,Uber,6935
2015-05-10,2015-05,0,Uber,6188
2015-05-10,2015-05,1,Uber,4533
2015-05-10,2015-05,2,Uber,3185
2015-05-10,2015-05,3,Uber,2111
2015-05-10,2015-05,4,Uber,1482
2015-05-10,2015-05,5,Uber,923
2015-05-10,2015-05,6,Uber,964
2015-05-10,2015-05,7,Uber,1059
2015-05-10,2015-05,8,Uber,1593
2015-05-10,2015-05,9,Uber,2178
2015-05-10,2015-05,10,Uber,3094
2015-05-10,2015-05,11,Uber,3727
2015-05-10,2015-05,12,Uber,4030
2015-05-10,2015-05,13,Uber,4113
2015-05-10,2015-05,14,Uber,4173
2015-05-10,2015-05,15,Uber,4114
2015-05-10,2015-05,16,Uber,4277
2015-05-10,2015-05,17,Uber,4498
2015-05-10,2015-05,18,Uber,4545
2015-05-10,2015-05,19,Uber,4188
2015-05-10,2015-05,20,Uber,4173
2015-05-10,2015-05,21,Uber,4065
2015-05-10,2015-05,22,Uber,3868
2015-05-10,2015-05,23,Uber,3027
2015-05-11,2015-05,0,Uber,1933
2015-05-11,2015-05,1,Uber,915
2015-05-11,2015-05,2,Uber,554
2015-05-11,2015-05,3,Uber,466
2015-05-11,2015-05,4,Uber,739
2015-05-11,2015-05,5,Uber,1233
2015-05-11,2015-05,6,Uber,2072
2015-05-11,2015-05,7,Uber,2817
2015-05-11,2015-05,8,Uber,3963
2015-05-11,2015-05,9,Uber,3795
2015-05-11,2015-05,10,Uber,2938
2015-05-11,2015-05,11,Uber,2788
2015-05-11,2015-05,12,Uber,2811
2015-05-11,2015-05,13,Uber,2781
2015-05-11,2015-05,14,Uber,3086
2015-05-11,2015-05,15,Uber,3746
2015-05-11,2015-05,16,Uber,3882
2015-05-11,2015-05,17,Uber,4335
2015-05-11,2015-05,18,Uber,4966
2015-05-11,2015-05,19,Uber,4532
2015-05-11,2015-05,20,Uber,4378
2015-05-11,2015-05,21,Uber,4387
2015-05-11,2015-05,22,Uber,4081
2015-05-11,2015-05,23,Uber,3098
2015-05-12,2015-05,0,Uber,2160
2015-05-12,2015-05,1,Uber,1317
2015-05-12,2015-05,2,Uber,675
2015-05-12,2015-05,3,Uber,485
2015-05-12,2015-05,4,Uber,621
2015-05-12,2015-05,5,Uber,1072
2015-05-12,2015-05,6,Uber,1823
2015-05-12,2015-05,7,Uber,2927
2015-05-12,2015-05,8,Uber,3969
2015-05-12,2015-05,9,Uber,3894
2015-05-12,2015-05,10,Uber,3177
2015-05-12,2015-05,11,Uber,2971
2015-05-12,2015-05,12,Uber,2909
2015-05-12,2015-05,13,Uber,2784
2015-05-12,2015-05,14,Uber,3275
2015-05-12,2015-05,15,Uber,3812
2015-05-12,2015-05,16,Uber,4218
2015-05-12,2015-05,17,Uber,5072
2015-05-12,2015-05,18,Uber,5775
2015-05-12,2015-05,19,Uber,5355
2015-05-12,2015-05,20,Uber,5076
2015-05-12,2015-05,21,Uber,5459
2015-05-12,2015-05,22,Uber,5312
2015-05-12,2015-05,23,Uber,4285
2015-05-13,2015-05,0,Uber,2460
2015-05-13,2015-05,1,Uber,1278
2015-05-13,2015-05,2,Uber,782
2015-05-13,2015-05,3,Uber,485
2015-05-13,2015-05,4,Uber,681
2015-05-13,2015-05,5,Uber,1137
2015-05-13,2015-05,6,Uber,1923
2015-05-13,2015-05,7,Uber,3213
2015-05-13,2015-05,8,Uber,4130
2015-05-13,2015-05,9,Uber,3946
2015-05-13,2015-05,10,Uber,3191
2015-05-13,2015-05,11,Uber,2992
2015-05-13,2015-05,12,Uber,2925
2015-05-13,2015-05,13,Uber,2944
2015-05-13,2015-05,14,Uber,3136
2015-05-13,2015-05,15,Uber,3766
2015-05-13,2015-05,16,Uber,4297
2015-05-13,2015-05,17,Uber,5103
2015-05-13,2015-05,18,Uber,6167
2015-05-13,2015-05,19,Uber,6348
2015-05-13,2015-05,20,Uber,6068
2015-05-13,2015-05,21,Uber,6054
2015-05-13,2015-05,22,Uber,6210
2015-05-13,2015-05,23,Uber,5689
2015-05-14,2015-05,0,Uber,3233
2015-05-14,2015-05,1,Uber,1551
2015-05-14,2015-05,2,Uber,931
2015-05-14,2015-05,3,Uber,668
2015-05-14,2015-05,4,Uber,855
2015-05-14,2015-05,5,Uber,1333
2015-05-14,2015-05,6,Uber,2030
2015-05-14,2015-05,7,Uber,3268
2015-05-14,2015-05,8,Uber,4214
2015-05-14,2015-05,9,Uber,4152
2015-05-14,2015-05,10,Uber,3404
2015-05-14,2015-05,11,Uber,3148
2015-05-14,2015-05,12,Uber,3170
2015-05-14,2015-05,13,Uber,3062
2015-05-14,2015-05,14,Uber,3578
2015-05-14,2015-05,15,Uber,4087
2015-05-14,2015-05,16,Uber,4553
2015-05-14,2015-05,17,Uber,5290
2015-05-14,2015-05,18,Uber,6490
2015-05-14,2015-05,19,Uber,6729
2015-05-14,2015-05,20,Uber,6859
2015-05-14,2015-05,21,Uber,7279
2015-05-14,2015-05,22,Uber,7210
2015-05-14,2015-05,23,Uber,6514
2015-05-15,2015-05,0,Uber,4461
2015-05-15,2015-05,1,Uber,2101
2015-05-15,2015-05,2,Uber,1230
2015-05-15,2015-05,3,Uber,905
2015-05-15,2015-05,4,Uber,1136
2015-05-15,2015-05,5,Uber,1346
2015-05-15,2015-05,6,Uber,2001
2015-05-15,2015-05,7,Uber,3050
2015-05-15,2015-05,8,Uber,4069
2015-05-15,2015-05,9,Uber,4100
2015-05-15,2015-05,10,Uber,3604
2015-05-15,2015-05,11,Uber,3316
2015-05-15,2015-05,12,Uber,3136
2015-05-15,2015-05,13,Uber,3280
2015-05-15,2015-05,14,Uber,3717
2015-05-15,2015-05,15,Uber,4351
2015-05-15,2015-05,16,Uber,4707
2015-05-15,2015-05,17,Uber,5549
2015-05-15,2015-05,18,Uber,6742
2015-05-15,2015-05,19,Uber,7304
2015-05-15,2015-05,20,Uber,7282
2015-05-15,2015-05,21,Uber,7071
2015-05-15,2015-05,22,Uber,7650
2015-05-15,2015-05,23,Uber,7628
2015-05-16,2015-05,0,Uber,6912
2015-05-16,2015-05,1,Uber,5102
2015-05-16,2015-05,2,Uber,3595
2015-05-16,2015-05,3,Uber,2280
2015-05-16,2015-05,4,Uber,1742
2015-05-16,2015-05,5,Uber,1508
2015-05-16,2015-05,6,Uber,1634
2015-05-16,2015-05,7,Uber,1604
2015-05-16,2015-05,8,Uber,2384
2015-05-16,2015-05,9,Uber,3110
2015-05-16,2015-05,10,Uber,3465
2015-05-16,2015-05,11,Uber,4026
2015-05-16,2015-05,12,Uber,4261
2015-05-16,2015-05,13,Uber,4617
2015-05-16,2015-05,14,Uber,4813
2015-05-16,2015-05,15,Uber,4986
2015-05-16,2015-05,16,Uber,5903
2015-05-16,2015-05,17,Uber,6521
2015-05-16,2015-05,18,Uber,6900
2015-05-16,2015-05,19,Uber,7794
2015-05-16,2015-05,20,Uber,9188
2015-05-16,2015-05,21,Uber,9591
2015-05-16,2015-05,22,Uber,10187
2015-05-16,2015-05,23,Uber,9377
2015-05-17,2015-05,0,Uber,8497
2015-05-17,2015-05,1,Uber,6250
2015-05-17,2015-05,2,Uber,3910
2015-05-17,2015-05,3,Uber,2505
2015-05-17,2015-05,4,Uber,1735
2015-05-17,2015-05,5,Uber,1213
2015-05-17,2015-05,6,Uber,1135
2015-05-17,2015-05,7,Uber,1378
2015-05-17,2015-05,8,Uber,1873
2015-05-17,2015-05,9,Uber,2581
2015-05-17,2015-05,10,Uber,3210
2015-05-17,2015-05,11,Uber,3907
2015-05-17,2015-05,12,Uber,4108
2015-05-17,2015-05,13,Uber,4418
2015-05-17,2015-05,14,Uber,4746
2015-05-17,2015-05,15,Uber,4929
2015-05-17,2015-05,16,Uber,5086
2015-05-17,2015-05,17,Uber,5129
2015-05-17,2015-05,18,Uber,5172
2015-05-17,2015-05,19,Uber,4980
2015-05-17,2015-05,20,Uber,4741
2015-05-17,2015-05,21,Uber,4531
