weekday_num,weekday,hour,company,trips
0,Monday,0,Uber,16190
0,Monday,1,Uber,9028
0,Monday,2,Uber,5831
0,Monday,3,Uber,4615
0,Monday,4,Uber,6448
0,Monday,5,Uber,9074
0,Monday,6,Uber,13201
0,Monday,7,Uber,21297
0,Monday,8,Uber,27715
0,Monday,9,Uber,25218
0,Monday,10,Uber,19346
0,Monday,11,Uber,17646
0,Monday,12,Uber,17659
0,Monday,13,Uber,17738
0,Monday,14,Uber,19382
0,Monday,15,Uber,20593
0,Monday,16,Uber,21883
0,Monday,17,Uber,26989
0,Monday,18,Uber,31838
0,Monday,19,Uber,31221
0,Monday,20,Uber,30216
0,Monday,21,Uber,29908
0,Monday,22,Uber,28169
0,Monday,23,Uber,22211
1,Tuesday,0,Uber,10762
1,Tuesday,1,Uber,6360
1,Tuesday,2,Uber,4047
1,Tuesday,3,Uber,2811
1,Tuesday,4,Uber,4225
1,Tuesday,5,Uber,6290
1,Tuesday,6,Uber,9550
1,Tuesday,7,Uber,18176
1,Tuesday,8,Uber,23197
1,Tuesday,9,Uber,20232
1,Tuesday,10,Uber,15049
1,Tuesday,11,Uber,14083
1,Tuesday,12,Uber,13828
1,Tuesday,13,Uber,14110
1,Tuesday,14,Uber,15990
1,Tuesday,15,Uber,17142
1,Tuesday,16,Uber,18205
1,Tuesday,17,Uber,23889
1,Tuesday,18,Uber,29058
1,Tuesday,19,Uber,28247
1,Tuesday,20,Uber,26858
1,Tuesday,21,Uber,27482
1,Tuesday,22,Uber,25632
1,Tuesday,23,Uber,20040
2,Wednesday,0,Uber,12835
2,Wednesday,1,Uber,7357
2,Wednesday,2,Uber,4653
2,Wednesday,3,Uber,3287
2,Wednesday,4,Uber,4312
2,Wednesday,5,Uber,6567
2,Wednesday,6,Uber,9925
2,Wednesday,7,Uber,18816
2,Wednesday,8,Uber,23801
2,Wednesday,9,Uber,21259
2,Wednesday,10,Uber,16017
2,Wednesday,11,Uber,14890
2,Wednesday,12,Uber,14855
2,Wednesday,13,Uber,15297
2,Wednesday,14,Uber,17138
2,Wednesday,15,Uber,18338
2,Wednesday,16,Uber,19874
2,Wednesday,17,Uber,26244
2,Wednesday,18,Uber,31635
2,Wednesday,19,Uber,31812
2,Wednesday,20,Uber,30851
2,Wednesday,21,Uber,31133
2,Wednesday,22,Uber,29088
2,Wednesday,23,Uber,24377
3,Thursday,0,Uber,15072
3,Thursday,1,Uber,8765
3,Thursday,2,Uber,5211
3,Thursday,3,Uber,3669
3,Thursday,4,Uber,4953
3,Thursday,5,Uber,7107
3,Thursday,6,Uber,10837
3,Thursday,7,Uber,20740
3,Thursday,8,Uber,26319
3,Thursday,9,Uber,24131
3,Thursday,10,Uber,18701
3,Thursday,11,Uber,17698
3,Thursday,12,Uber,17708
3,Thursday,13,Uber,17505
3,Thursday,14,Uber,20280
3,Thursday,15,Uber,22154
3,Thursday,16,Uber,24010
3,Thursday,17,Uber,31125
3,Thursday,18,Uber,37021
3,Thursday,19,Uber,38824
3,Thursday,20,Uber,36555
3,Thursday,21,Uber,38559
3,Thursday,22,Uber,37146
3,Thursday,23,Uber,29843
4,Friday,0,Uber,21186
4,Friday,1,Uber,12420
4,Friday,2,Uber,8274
4,Friday,3,Uber,5863
4,Friday,4,Uber,6158
4,Friday,5,Uber,7131
4,Friday,6,Uber,10058
4,Friday,7,Uber,18778
4,Friday,8,Uber,24444
4,Friday,9,Uber,25130
4,Friday,10,Uber,20879
4,Friday,11,Uber,19221
4,Friday,12,Uber,19058
4,Friday,13,Uber,19385
4,Friday,14,Uber,21098
4,Friday,15,Uber,22308
4,Friday,16,Uber,24180
4,Friday,17,Uber,29141
4,Friday,18,Uber,34273
4,Friday,19,Uber,39528
4,Friday,20,Uber,38619
4,Friday,21,Uber,36602
4,Friday,22,Uber,38685
4,Friday,23,Uber,41121
5,Saturday,0,Uber,46945
5,Saturday,1,Uber,33658
5,Saturday,2,Uber,26935
5,Saturday,3,Uber,18216
5,Saturday,4,Uber,13726
5,Saturday,5,Uber,9558
5,Saturday,6,Uber,9970
5,Saturday,7,Uber,12830
5,Saturday,8,Uber,17359
5,Saturday,9,Uber,21805
5,Saturday,10,Uber,25421
5,Saturday,11,Uber,28782
5,Saturday,12,Uber,31085
5,Saturday,13,Uber,31857
5,Saturday,14,Uber,32644
5,Saturday,15,Uber,33512
5,Saturday,16,Uber,36056
5,Saturday,17,Uber,41655
5,Saturday,18,Uber,45816
5,Saturday,19,Uber,52261
5,Saturday,20,Uber,49075
5,Saturday,21,Uber,46750
5,Saturday,22,Uber,50121
5,Saturday,23,Uber,54025
6,Sunday,0,Uber,51207
6,Sunday,1,Uber,43427
6,Sunday,2,Uber,34794
6,Sunday,3,Uber,24466
6,Sunday,4,Uber,17874
6,Sunday,5,Uber,10548
6,Sunday,6,Uber,9006
6,Sunday,7,Uber,10826
6,Sunday,8,Uber,14212
6,Sunday,9,Uber,19089
6,Sunday,10,Uber,25219
6,Sunday,11,Uber,30598
6,Sunday,12,Uber,33220
6,Sunday,13,Uber,33099
6,Sunday,14,Uber,32219
6,Sunday,15,Uber,31449
6,Sunday,16,Uber,33345
6,Sunday,17,Uber,34695
6,Sunday,18,Uber,36114
6,Sunday,19,Uber,35052
6,Sunday,20,Uber,30964
6,Sunday,21,Uber,28037
6,Sunday,22,Uber,27633
6,Sunday,23,Uber,24692
