pickup_date,pickup_month,hvfhs_license_num,company,borough,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,shared_requests,shared_matches
2020-10-01,2020-10,HV0003,Uber,Bronx,54369,225533.23,52319189,822305.78,8719.41,729090.01,0,7546.0,0,0
2020-10-01,2020-10,HV0003,Uber,Brooklyn,90978,375576.16000000003,104736356,1568429.48,35499.4,1388610.9,0,26433.0,0,0
2020-10-01,2020-10,HV0003,Uber,Manhattan,111448,498208.42,125587775,2136248.3,75419.05,1783330.33,0,246196.5,0,0
2020-10-01,2020-10,HV0003,Uber,Queens,55915,297927.21,61552984,1027232.49,25334.37,882332.09,0,14396.25,0,0
2020-10-01,2020-10,HV0003,Uber,Staten Island,4588,22557.07,4154876,73786.95999999999,2361.45,65974.38,0,305.25,0,0
2020-10-01,2020-10,HV0003,Uber,Unknown,13,81.88,12212,262.96000000000004,2.84,217.03,0,0.0,0,0
2020-10-02,2020-10,HV0003,Uber,Bronx,63054,259022.16,62086932,979152.86,10542.11,871066.85,0,8395.75,0,0
2020-10-02,2020-10,HV0003,Uber,Brooklyn,103593,428553.02,115997048,1782076.89,39226.31,1545193.05,0,29279.25,0,0
2020-10-02,2020-10,HV0003,Uber,Manhattan,126808,550925.75,141048248,2373358.7600000002,80801.59,1999071.79,0,279774.0,0,0
2020-10-02,2020-10,HV0003,Uber,Queens,64411,336193.27,69538165,1168537.02,26868.82,999387.9,0,15840.0,0,0
2020-10-02,2020-10,HV0003,Uber,Staten Island,5305,25415.89,4760877,85163.64,2975.84,76963.67,0,332.75,0,0
2020-10-02,2020-10,HV0003,Uber,Unknown,22,142.66,20331,455.01,21.910000000000004,371.03,0,0.0,0,0
2020-10-03,2020-10,HV0003,Uber,Bronx,63938,279905.87,59186856,971458.19,10359.960000000001,863949.61,0,8995.25,0,0
2020-10-03,2020-10,HV0003,Uber,Brooklyn,110237,482421.41,115437917,1851324.22,42642.28,1599469.83,0,37119.5,0,0
2020-10-03,2020-10,HV0003,Uber,Manhattan,140581,615988.86,141777232,2506514.9899999998,75440.74,2109995.35,0,313343.25,0,0
2020-10-03,2020-10,HV0003,Uber,Queens,65897,360822.83,67396971,1168458.1,27374.489999999998,1011358.1699999999,0,16260.75,0,0
2020-10-03,2020-10,HV0003,Uber,Staten Island,5121,26335.33,4657533,85741.5,2799.4,77752.44,0,294.25,0,0
2020-10-03,2020-10,HV0003,Uber,Unknown,20,144.26,22639,381.06,7.93,405.88,0,2.75,0,0
2020-10-04,2020-10,HV0003,Uber,Bronx,54895,240696.71,46338595,797056.52,7946.32,699904.45,0,6825.5,0,0
2020-10-04,2020-10,HV0003,Uber,Brooklyn,88905,398100.2,85710506,1435583.14,32106.16,1238658.13,0,27978.5,0,0
2020-10-04,2020-10,HV0003,Uber,Manhattan,103733,488773.06,97350526,1779835.6099999999,53319.57,1509578.17,0,223157.0,0,0
2020-10-04,2020-10,HV0003,Uber,Queens,55595,324041.76999999996,53672056,999717.54,22799.34,859800.44,0,14297.25,0,0
2020-10-04,2020-10,HV0003,Uber,Staten Island,3910,20671.02,3372785,64974.560000000005,1930.8,59041.03,0,247.5,0,0
2020-10-04,2020-10,HV0003,Uber,Unknown,11,99.13,13209,241.98,25.61,231.49,0,2.75,0,0
2020-10-05,2020-10,HV0003,Uber,Bronx,46547,192674.04,41913445,721260.89,7783.78,604434.3300000001,0,6242.5,0,0
2020-10-05,2020-10,HV0003,Uber,Brooklyn,72990,306739.37,75256652,1259083.79,27089.27,1049580.74,0,20042.0,0,0
2020-10-05,2020-10,HV0003,Uber,Manhattan,84580,376169.95999999996,87753089,1562549.08,56787.91,1262511.29,0,184142.75,0,0
2020-10-05,2020-10,HV0003,Uber,Queens,48528,265194.81,49770929,921903.81,20433.25,757022.05,0,11849.75,0,0
2020-10-05,2020-10,HV0003,Uber,Staten Island,3755,17738.37,3172619,60756.3,1813.08,53171.490000000005,0,217.25,0,0
2020-10-05,2020-10,HV0003,Uber,Unknown,10,60.129999999999995,10001,192.6,0.0,151.25,0,0.0,0,0
2020-10-06,2020-10,HV0003,Uber,Bronx,47147,189899.39,43210434,733819.59,7751.66,605423.61,0,6272.75,0,0
2020-10-06,2020-10,HV0003,Uber,Brooklyn,73582,297124.8,76451548,1278562.1800000002,27868.71,1036528.7000000001,0,21441.75,0,0
