pickup_date,pickup_month,hvfhs_license_num,company,borough,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,cbd_congestion_fees,shared_requests,shared_matches
2025-05-01,2025-05,HV0003,Uber,Bronx,67628,285929.14,72095547,1346961.68,22166.34,1184876.72,2048.75,9065.0,3258.0,2466,1121
2025-05-01,2025-05,HV0003,Uber,Brooklyn,124083,508318.60000000003,152354299,2925783.35,97379.77,2383238.17,12813.75,33073.75,17008.5,4748,2702
2025-05-01,2025-05,HV0003,Uber,Manhattan,185602,1042686.81,262006527,7152524.140000001,359878.87,4761733.07,43441.25,408568.25,216417.0,3771,2206
2025-05-01,2025-05,HV0003,Uber,Queens,106895,705986.6,154315978,3506518.8899999997,160240.91,2742495.88,63846.25,36825.0,18139.5,4092,1794
2025-05-01,2025-05,HV0003,Uber,Staten Island,8787,45530.94,8904352,198888.28,7662.27,164807.67,500.0,589.25,286.5,504,107
2025-05-01,2025-05,HV0003,Uber,Unknown,31,217.92,37955,1014.86,31.18,766.0799999999999,7.5,0.0,3.0,1,0
2025-05-02,2025-05,HV0003,Uber,Bronx,77452,340754.41,84286331,1609866.99,26174.13,1412867.64,2387.5,11252.25,4338.0,2972,1552
2025-05-02,2025-05,HV0003,Uber,Brooklyn,140949,577602.58,166234947,3212077.76,106604.43,2624060.41,12490.0,38983.25,20350.5,5779,3516
2025-05-02,2025-05,HV0003,Uber,Manhattan,193943,976912.96,247417333,6369994.69,299129.21,4352907.31,38672.5,429514.0,222580.5,4427,2730
2025-05-02,2025-05,HV0003,Uber,Queens,114978,707197.6900000001,153297642,3388655.71,143691.71,2700457.96,57005.0,34603.25,17062.5,4629,2141
2025-05-02,2025-05,HV0003,Uber,Staten Island,9872,50767.31,9632585,218632.6,8328.76,180837.09,476.25,675.0,312.0,537,108
2025-05-02,2025-05,HV0003,Uber,Unknown,21,192.74,25209,671.99,6.890000000000001,563.88,0.0,5.5,1.5,1,0
2025-05-03,2025-05,HV0003,Uber,Bronx,74781,348826.3,74798491,1493205.36,23793.77,1317570.26,1555.0,10939.75,4177.5,3174,1709
2025-05-03,2025-05,HV0003,Uber,Brooklyn,166626,716830.41,192577514,3862577.81,131804.43,3159545.63,8142.5,56520.75,29346.0,7599,5172
2025-05-03,2025-05,HV0003,Uber,Manhattan,210979,1020057.0700000001,256135285,6490901.54,278059.97,4630565.4799999995,20792.5,466154.25,246891.0,5877,4076
2025-05-03,2025-05,HV0003,Uber,Queens,113228,684402.84,135274205,2967479.62,111386.78,2452281.18,41303.75,31323.5,15729.0,5364,2789
2025-05-03,2025-05,HV0003,Uber,Staten Island,8914,50562.01,8893277,202907.75,7645.35,172767.86,323.75,783.5,363.0,557,110
2025-05-03,2025-05,HV0003,Uber,Unknown,25,160.14,33194,695.47,0.0,541.13,5.0,2.75,3.0,4,1
2025-05-04,2025-05,HV0003,Uber,Bronx,61011,278487.01,58449048,1170455.95,17049.25,1035513.79,1528.75,7510.0,2887.5,3003,1567
2025-05-04,2025-05,HV0003,Uber,Brooklyn,144417,622696.57,159771796,3412976.79,105215.1,2746989.8899999997,13086.25,41274.5,22119.0,7530,4920
2025-05-04,2025-05,HV0003,Uber,Manhattan,161675,886912.4500000001,197043521,5462107.51,222493.57,3848242.79,34867.5,347786.25,185386.5,5487,3846
2025-05-04,2025-05,HV0003,Uber,Queens,106674,733918.74,139636422,3276832.21,127153.2,2648691.44,63165.0,38402.5,19504.5,5115,2564
2025-05-04,2025-05,HV0003,Uber,Staten Island,6729,40387.17,6661944,161779.48,5754.5,137723.7,447.5,607.25,276.0,521,126
2025-05-04,2025-05,HV0003,Uber,Unknown,20,114.33,26597,530.99,0.0,413.21,0.0,0.0,0.0,1,0
2025-05-05,2025-05,HV0003,Uber,Bronx,67344,273009.52999999997,66772768,1317375.48,21603.61,1123524.03,1547.5,8530.75,3175.5,2489,1130
2025-05-05,2025-05,HV0003,Uber,Brooklyn,119596,473511.93000000005,135876902,2725609.42,91178.59,2195722.64,13176.25,29037.75,15015.0,4368,2321
2025-05-05,2025-05,HV0003,Uber,Manhattan,174835,833470.98,218234441,5725257.4,286269.36,3886654.46,32222.5,388442.5,198249.0,3533,1943
2025-05-05,2025-05,HV0003,Uber,Queens,107856,685836.5599999999,144739258,3346191.81,155191.47,2615358.63,64985.0,38102.5,19360.5,3944,1655
2025-05-05,2025-05,HV0003,Uber,Staten Island,8107,41173.35,7821520,175407.76,6761.32,146375.84,426.25,452.0,211.5,468,96
2025-05-05,2025-05,HV0003,Uber,Unknown,22,220.08,35352,814.51,55.54,737.85,2.5,0.0,3.0,1,1
2025-05-06,2025-05,HV0003,Uber,Bronx,62109,258699.13999999998,64545648,1226743.97,22163.09,1061304.99,1453.75,8549.5,3162.0,2142,889
2025-05-06,2025-05,HV0003,Uber,Brooklyn,108975,432335.24,121365505,2438356.0,81900.78,1936946.97,10058.75,29915.25,15423.0,3691,1816
2025-05-06,2025-05,HV0003,Uber,Manhattan,181842,912491.52,232734115,6321916.82,329317.07,4182679.6399999997,29443.75,411989.25,214383.0,3193,1683
2025-05-06,2025-05,HV0003,Uber,Queens,97706,620840.21,128576021,3071952.27,150653.56,2360868.67,60207.5,37138.75,18826.5,3308,1278
2025-05-06,2025-05,HV0003,Uber,Staten Island,7892,39973.38,7570026,169476.42,6383.82,140186.48,370.0,516.25,249.0,423,96
2025-05-06,2025-05,HV0003,Uber,Unknown,14,72.03,10372,318.70000000000005,48.480000000000004,240.10000000000002,0.0,0.0,3.0,0,0
