pickup_date,pickup_month,hvfhs_license_num,company,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,shared_requests,shared_matches
2022-03-01,2022-03,HV0003,Uber,366419,1759250.63,415849779,8269637.2,376967.31,6626354.22,61207.5,435578.0,0,0
2022-03-02,2022-03,HV0003,Uber,380343,1850981.96,439143087,8686598.58,393357.51,6954958.57,66480.0,451396.0,0,0
2022-03-03,2022-03,HV0003,Uber,421043,2038561.92,485473203,9913877.469999999,443801.89,7889053.7,77567.5,506266.75,0,0
2022-03-04,2022-03,HV0003,Uber,470032,2205505.1,551314520,10726294.36,454233.26,8661458.64,80250.0,549417.0,0,0
2022-03-05,2022-03,HV0003,Uber,498359,2394057.5,535201663,10599330.11,440315.06,8632378.73,57090.0,613811.0,0,0
2022-03-06,2022-03,HV0003,Uber,407702,2160743.95,424987773,9003180.29,370146.57,7282866.47,87545.0,467293.75,0,0
2022-03-07,2022-03,HV0003,Uber,351811,1734705.55,390914924,7731274.12,336219.95,6280751.95,71802.5,391281.0,0,0
2022-03-08,2022-03,HV0003,Uber,372578,1781914.0099999998,428072093,8423229.52,378265.29,6836406.5,62135.0,442920.5,0,0
2022-03-09,2022-03,HV0003,Uber,444184,2021770.13,505018768,10061364.3,463452.47000000003,8189961.11,71852.5,557403.0,0,0
2022-03-10,2022-03,HV0003,Uber,419662,2124562.34,517534205,10373139.37,463642.03,8420593.92,86357.5,514709.25,0,0
2022-03-11,2022-03,HV0003,Uber,442731,2229378.91,550087482,10887311.41,466983.0,8887629.23,93050.0,516452.75,0,0
2022-03-12,2022-03,HV0003,Uber,545516,2522039.39,538269217,11379991.42,488161.58,9183625.49,67835.0,718005.75,0,0
2022-03-13,2022-03,HV0003,Uber,429319,2247534.85,447762969,9865437.89,393080.05,7983686.23,96155.0,505967.0,0,0
2022-03-14,2022-03,HV0003,Uber,351836,1811186.58,402478854,8183641.2,366177.58,6614241.12,89260.0,383985.25,0,0
2022-03-15,2022-03,HV0003,Uber,363693,1816174.7100000002,429608508,8505793.2,395115.34,6885496.52,69232.5,417964.25,0,0
2022-03-16,2022-03,HV0003,Uber,390939,1965605.4,469525236,9137199.22,429245.6,7455993.37,75290.0,453884.75,0,0
2022-03-17,2022-03,HV0003,Uber,438159,2179315.17,516043298,10317343.05,468196.21,8377411.21,81672.5,509143.25,0,0
2022-03-18,2022-03,HV0003,Uber,476215,2405327.36,589860278,11635864.64,502563.29000000004,9399051.27,97410.0,527252.0,0,0
2022-03-19,2022-03,HV0003,Uber,507496,2546950.31,561790986,11597092.3,484497.71,9437322.89,70690.0,608608.0,0,0
2022-03-20,2022-03,HV0003,Uber,423894,2392997.67,482453904,10481536.040000001,450953.94,8519027.82,103140.0,471743.25,0,0
2022-03-21,2022-03,HV0003,Uber,352339,1842320.63,402053837,8046625.32,361006.31,6539228.7,88042.5,382954.0,0,0
2022-03-22,2022-03,HV0003,Uber,360370,1793078.3499999999,411893469,8112624.85,373158.52,6550508.0,68357.5,416251.0,0,0
2022-03-23,2022-03,HV0003,Uber,402299,1972252.78,456598434,9011606.57,415122.71,7290142.72,76340.0,475708.75,0,0
2022-03-24,2022-03,HV0003,Uber,441188,2152713.38,507508470,10449973.379999999,475357.29,8392285.61,85292.5,535326.0,0,0
2022-03-25,2022-03,HV0003,Uber,466306,2314158.33,551943404,10757191.31,465718.72,8746057.31,91557.5,536024.5,0,0
2022-03-26,2022-03,HV0003,Uber,514649,2509064.84,558415110,11233281.94,458886.97000000003,9173136.540000001,63020.0,636545.25,0,0
2022-03-27,2022-03,HV0003,Uber,443667,2356244.45,469255002,10027153.82,394244.56,8136502.3,96542.5,515339.0,0,0
2022-03-28,2022-03,HV0003,Uber,396974,1933156.62,434991570,8898793.11,399774.22000000003,7138548.609999999,87775.0,451541.75,0,0
2022-03-29,2022-03,HV0003,Uber,406629,1920646.6,453408804,9209466.69,431718.93000000005,7408116.57,68495.0,492932.0,0,0
2022-03-30,2022-03,HV0003,Uber,417106,2048164.29,481265613,9576557.98,457555.18,7761037.36,75665.0,510259.75,0,0
2022-03-31,2022-03,HV0003,Uber,432810,2184788.13,523955283,10468947.22,496178.54,8453488.77,86200.0,527557.25,0,0
