pickup_date,pickup_month,hvfhs_license_num,company,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,cbd_congestion_fees,shared_requests,shared_matches
2025-06-01,2025-06,HV0003,Uber,466637,2605591.58,544023402,12489313.86,489211.95999999996,9956858.86,117953.75,427763.25,227202.0,24393,15560
2025-06-02,2025-06,HV0003,Uber,400705,2123400.39,462460722,11028058.7,498784.11,8306025.73,115143.75,398123.5,206533.5,16986,8887
2025-06-03,2025-06,HV0003,Uber,436734,2233975.54,515677501,12292552.93,574187.8099999999,9155011.9,102700.0,457893.0,243001.5,15944,8040
2025-06-04,2025-06,HV0003,Uber,480486,2470045.27,622733952,14477374.65,664066.95,10867103.41,112782.5,486918.75,255949.5,18500,10070
2025-06-05,2025-06,HV0003,Uber,497762,2671524.64,652393513,15876863.62,721596.73,11881384.97,126102.5,493172.5,262794.0,19964,11326
2025-06-06,2025-06,HV0003,Uber,506810,2701781.92,649446889,16317308.41,679853.48,12761092.19,120920.0,457770.75,240237.0,24536,14580
2025-06-07,2025-06,HV0003,Uber,561278,2918773.82,673325439,16021137.05,628540.13,13111994.86,93196.25,538975.0,286797.0,29933,19398
2025-06-08,2025-06,HV0003,Uber,479529,2760187.52,580921269,14118863.56,534756.95,11422620.24,124260.0,413825.25,222466.5,26977,17616
2025-06-09,2025-06,HV0003,Uber,433142,2291411.3,533588532,12645369.45,557413.0,9503751.0,126605.0,428905.25,221152.5,18335,9860
2025-06-10,2025-06,HV0003,Uber,455735,2281921.98,560469696,13416123.64,619265.3300000001,9910701.6,104175.0,480281.0,248535.0,16042,8124
2025-06-11,2025-06,HV0003,Uber,463436,2424168.4499999997,595143280,14133792.299999999,652969.3200000001,10465259.69,110651.25,472236.75,247864.5,16650,8567
2025-06-12,2025-06,HV0003,Uber,492392,2622515.21,668419003,15738151.64,695936.13,11757764.7,123822.5,482598.75,255849.0,17817,9825
2025-06-13,2025-06,HV0003,Uber,504358,2612401.45,638503028,14149222.86,573796.02,11078289.83,120510.0,464003.75,243264.0,20515,11551
2025-06-14,2025-06,HV0003,Uber,539111,2761313.82,626814085,13732106.879999999,528336.96,11185973.73,84542.5,503895.0,266416.5,25800,16213
2025-06-15,2025-06,HV0003,Uber,453236,2512742.13,517374725,11835247.43,429862.23,9619607.48,111622.5,393217.75,209952.0,22888,14246
2025-06-16,2025-06,HV0003,Uber,413780,2167308.24,492060251,11492206.16,480543.62,8777061.120000001,112803.75,392235.5,202072.5,15963,8351
2025-06-17,2025-06,HV0003,Uber,433665,2196266.3,536818252,12364798.52,543654.64,9364197.05,93635.0,434881.5,227673.0,14672,7205
2025-06-18,2025-06,HV0003,Uber,473833,2499900.29,612168007,14240275.61,613244.17,10843039.36,115422.5,445403.5,236557.5,17670,9384
2025-06-19,2025-06,HV0003,Uber,469135,2436904.23,578194720,13336804.0,558107.16,10205366.04,114577.5,439012.25,231067.5,19359,10842
2025-06-20,2025-06,HV0003,Uber,499890,2585695.92,641621183,13939857.42,552487.1900000001,11075784.66,109693.75,431029.25,225715.5,24462,14468
2025-06-21,2025-06,HV0003,Uber,537170,2868641.08,659984228,14467115.05,560075.28,11843551.19,81673.75,468162.25,252025.5,30958,20459
2025-06-22,2025-06,HV0003,Uber,472723,2657729.7199999997,550023453,12829016.02,488707.55,10264660.65,119275.0,412679.0,221995.5,27521,18043
2025-06-23,2025-06,HV0003,Uber,448306,2338605.93,562950560,13539125.02,596689.08,10100491.17,127306.25,413443.75,216339.0,18194,9490
2025-06-24,2025-06,HV0003,Uber,488734,2372079.24,589317179,15068518.74,681211.68,10883599.51,104522.5,488034.25,256563.0,17885,9317
2025-06-25,2025-06,HV0003,Uber,487912,2432331.8200000003,616754116,15814067.43,709669.49,11257334.84,104987.5,490553.75,259935.0,18377,10154
2025-06-26,2025-06,HV0003,Uber,470354,2486998.18,643497450,15523076.41,674142.0800000001,11297732.61,117157.5,454160.75,243685.5,19570,11210
2025-06-27,2025-06,HV0003,Uber,476240,2520195.36,599259458,13937904.6,582914.05,10414776.44,125261.25,450616.25,239740.5,21644,12809
2025-06-28,2025-06,HV0003,Uber,502339,2637464.48,603699003,13777444.629999999,531196.49,10951651.69,90657.5,470372.0,253380.0,26196,16861
2025-06-29,2025-06,HV0003,Uber,442943,2497396.15,521255852,12886836.15,469865.5,10045873.88,106706.25,373646.75,203769.0,24158,15406
2025-06-30,2025-06,HV0003,Uber,378986,1933187.29,436938173,10431887.55,429408.26,7759201.42,95555.0,355055.25,186682.5,14830,7618
