pickup_date,pickup_month,hour,hvfhs_license_num,company,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,shared_requests,shared_matches
2024-10-01,2024-10,0,HV0003,Uber,9093,47991.74,8869662,210275.78,7389.21,159368.1,1322.5,9107.5,636,318
2024-10-01,2024-10,1,HV0003,Uber,5403,28747.66,5067275,120555.61,3938.83,92864.79,652.5,5436.75,398,200
2024-10-01,2024-10,2,HV0003,Uber,3544,18790.67,3230436,77244.09,2387.34,59761.13,322.5,3323.75,299,123
2024-10-01,2024-10,3,HV0003,Uber,3065,18734.3,2915651,75451.89,2592.84,56245.26,1330.0,2485.25,251,93
2024-10-01,2024-10,4,HV0003,Uber,4789,35819.17,5028558,145675.42,6632.23,104443.61,3705.0,4028.5,329,124
2024-10-01,2024-10,5,HV0003,Uber,7924,56691.68,8884144,234766.68,10511.47,174671.5,5048.75,7277.25,466,240
2024-10-01,2024-10,6,HV0003,Uber,14668,86409.31,17457508,404723.43,15730.57,309708.34,4735.0,13541.5,704,392
2024-10-01,2024-10,7,HV0003,Uber,24282,112326.86,30317497,650060.5,24660.94,504290.21,4410.0,20748.0,824,437
2024-10-01,2024-10,8,HV0003,Uber,29271,124596.0,36900878,776367.0599999999,31503.43,600884.6,4520.0,28249.0,906,464
2024-10-01,2024-10,9,HV0003,Uber,24179,107629.56,29838290,636467.43,27947.34,480817.95,4602.5,25801.0,796,320
2024-10-01,2024-10,10,HV0003,Uber,20064,93625.27,25110314,532299.37,25741.35,396797.13,4302.5,21130.5,675,274
2024-10-01,2024-10,11,HV0003,Uber,18222,88468.42,22949171,502538.43000000005,24439.18,368697.51,3998.75,19338.0,616,211
2024-10-01,2024-10,12,HV0003,Uber,18376,90370.45,23059026,515629.1,25179.8,374248.79,4491.25,19876.25,637,237
2024-10-01,2024-10,13,HV0003,Uber,19674,97979.48,25206220,549942.79,27309.77,406796.74,5160.0,20081.25,716,274
2024-10-01,2024-10,14,HV0003,Uber,22072,106063.44,30393243,621617.87,28694.78,469842.8,5800.0,20545.75,782,345
