weekday_num,weekday,hour,hvfhs_license_num,company,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,shared_requests,shared_matches
0,Monday,0,HV0003,Uber,57464,321075.51,55318363,1243355.18,44246.85,1037614.8,11293.75,55458.75,1959,280
0,Monday,1,HV0003,Uber,33873,177484.42,30662233,670782.5700000001,21558.480000000003,558468.21,3861.25,31631.75,1296,148
0,Monday,2,HV0003,Uber,23560,125416.95,21237426,474450.15,13993.539999999999,389542.07,2646.25,22268.75,991,104
0,Monday,3,HV0003,Uber,19215,117869.56999999999,18100016,434818.15,15105.21,344382.51,7273.75,16429.5,827,66
0,Monday,4,HV0003,Uber,24042,184728.55000000002,25632820,724227.73,31508.82,563096.4,20056.25,19886.0,706,91
0,Monday,5,HV0003,Uber,35892,272631.22000000003,40579688,1052777.51,48783.1,824986.78,27461.25,34525.0,912,142
0,Monday,6,HV0003,Uber,61952,404844.23,74758874,1785036.79,75582.47,1472559.67,27686.25,66413.0,1326,264
0,Monday,7,HV0003,Uber,94566,487418.22,114485483,2538425.56,101712.81999999999,2021321.54,25625.0,94756.75,1591,231
0,Monday,8,HV0003,Uber,117054,535999.4199999999,136739588,2788393.86,117843.83,2197314.04,24721.25,122787.0,2001,202
0,Monday,9,HV0003,Uber,102016,485775.52999999997,116592029,2271271.2,111084.68,1795268.75,24348.75,120457.0,1933,185
0,Monday,10,HV0003,Uber,85804,435648.6,100604096,1945146.07,102269.98,1550715.28,24745.0,100478.0,1509,78
0,Monday,11,HV0003,Uber,80882,425564.6,97184949,1903108.49,102819.39,1509891.6400000001,24955.0,98717.5,1470,91
0,Monday,12,HV0003,Uber,82692,426363.99,99580641,1923687.59,103277.37,1541498.05,24691.25,99976.25,1513,90
0,Monday,13,HV0003,Uber,86152,452783.77,105690391,2049548.06,107245.40000000001,1636735.46,27335.0,98967.5,1637,122
0,Monday,14,HV0003,Uber,95509,493111.4,123485783,2362050.49,119376.81,1878373.26,31596.25,104480.5,1763,107
0,Monday,15,HV0003,Uber,100563,509029.43,138613131,2578658.42,127608.2,2077210.68,32127.5,112391.25,1805,143
0,Monday,16,HV0003,Uber,102553,509754.12,141849978,2620236.75,129826.25,2131300.65,31218.75,116911.5,1878,181
0,Monday,17,HV0003,Uber,115701,531088.74,146502766,2908638.66,139622.31,2335178.1,27242.5,140258.5,1759,170
0,Monday,18,HV0003,Uber,123643,547503.4299999999,141271377,3048066.34,147047.22,2468823.23,23497.5,161118.25,1855,198
0,Monday,19,HV0003,Uber,119319,553427.71,126071049,2616465.26,124828.76000000001,2168487.47,20686.25,155812.75,1985,232
0,Monday,20,HV0003,Uber,114394,560946.67,116872061,2603874.93,128020.22,2134247.75,17366.25,151881.5,2088,219
0,Monday,21,HV0003,Uber,103559,533381.04,104341712,2487756.9699999997,123586.90000000001,2012653.56,15471.25,142307.5,1963,242
0,Monday,22,HV0003,Uber,92916,505440.45,94998935,2306519.68,109415.42,1856902.6400000001,15606.25,123035.75,2050,311
0,Monday,23,HV0003,Uber,76517,417250.04,76842270,1844385.07,80015.5,1489650.93,15568.75,92209.75,2038,327
1,Tuesday,0,HV0003,Uber,37549,214094.26,36251159,864909.25,37682.22,716879.4199999999,10635.0,40997.75,1190,110
1,Tuesday,1,HV0003,Uber,19896,103191.06,17814020,390378.23,14540.57,319193.27,2530.0,21359.75,729,79
1,Tuesday,2,HV0003,Uber,13353,71160.64,12074379,264143.32,9264.57,214431.85,1968.75,13414.5,573,52
1,Tuesday,3,HV0003,Uber,11246,67115.27,10411553,243151.11,8531.44,192095.58000000002,4490.0,9553.25,457,26
