weekday_num,weekday,hour,hvfhs_license_num,company,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,cbd_congestion_fees,shared_requests,shared_matches
0,Monday,0,HV0003,Uber,62075,370787.66000000003,64398245,1624038.28,50455.45,1299070.04,17525.0,45559.0,24733.5,5484,3741
0,Monday,1,HV0003,Uber,38176,226308.15,37923311,939642.03,25926.48,749847.47,9416.25,27334.5,15442.5,3029,1809
0,Monday,2,HV0003,Uber,25431,150211.02,24623977,612145.89,14682.8,485751.0,5813.75,18095.5,10416.0,2029,1090
0,Monday,3,HV0003,Uber,21438,146342.84,21763569,605219.79,17243.8,462019.02,10932.5,14524.25,8565.0,1536,736
0,Monday,4,HV0003,Uber,28584,228502.66999999998,31791549,1077974.97,41239.59,763858.7000000001,25300.0,20014.75,11385.0,1656,828
0,Monday,5,HV0003,Uber,41549,323002.11,48035730,1448510.9,60699.24,1047943.59,31572.5,33451.75,17628.0,2405,1365
0,Monday,6,HV0003,Uber,65746,427782.46,78221340,2035019.8900000001,77774.41,1509055.06,27953.75,56463.0,28864.5,3646,2291
0,Monday,7,HV0003,Uber,101859,533012.7,124062785,3031423.1799999997,111035.98000000001,2250074.16,26420.0,82988.5,41944.5,4511,2578
0,Monday,8,HV0003,Uber,132248,608257.34,158415730,3702382.92,142498.94,2786825.64,27073.75,114885.25,58105.5,4978,2688
0,Monday,9,HV0003,Uber,118774,560658.39,142523383,3212363.76,140007.02,2453332.94,27088.75,113531.75,56931.0,3784,1732
0,Monday,10,HV0003,Uber,100022,500553.79000000004,124370768,2845183.3000000003,135076.41,2126314.39,27710.0,97376.0,48417.0,2545,935
0,Monday,11,HV0003,Uber,94141,484342.25,117985702,2754367.92,133298.12,2029724.27,28100.0,93769.75,46944.0,2237,825
0,Monday,12,HV0003,Uber,94864,487188.27,119949129,2757606.21,132529.57,2056171.8,29438.75,93970.75,46485.0,2231,795
0,Monday,13,HV0003,Uber,98275,503717.31,127725895,2916514.79,137368.01,2179650.4099999997,31442.5,93989.5,47425.5,2615,977
0,Monday,14,HV0003,Uber,106865,532542.66,144549097,3228460.07,147511.55,2421790.31,33465.0,95752.0,48868.5,3207,1340
0,Monday,15,HV0003,Uber,108247,532501.69,153336777,3322022.56,152372.4,2517117.62,34025.0,96790.25,49246.5,3736,1670
0,Monday,16,HV0003,Uber,111920,536386.13,157036138,3352211.6,151994.69,2559683.67,31923.75,101812.0,52191.0,3841,1747
0,Monday,17,HV0003,Uber,120683,559208.36,157197257,3502767.09,162395.21,2634214.33,30587.5,118831.5,60949.5,4364,2130
0,Monday,18,HV0003,Uber,120480,539329.5800000001,135618176,3111834.4699999997,141470.87,2341460.98,24597.5,127735.75,65640.0,4205,2052
0,Monday,19,HV0003,Uber,105869,520997.38,111705895,2740553.44,125461.39,2044595.94,22498.75,114806.75,60246.0,2843,1201
0,Monday,20,HV0003,Uber,100964,559038.11,109166485,2850851.43,138053.7,2081772.95,20571.25,116950.0,64365.0,3549,1736
0,Monday,21,HV0003,Uber,102857,574199.63,111765183,2921892.7600000002,140970.24,2138741.2,19803.75,123305.75,67401.0,4344,2387
0,Monday,22,HV0003,Uber,95849,525401.96,104107347,2595877.02,111060.25,1972538.04,18615.0,107816.0,58368.0,5579,3546
0,Monday,23,HV0003,Uber,78003,423640.69,81724770,1947782.61,71711.95,1534976.9100000001,15538.75,78009.0,42217.5,5954,4007
1,Tuesday,0,HV0003,Uber,42372,246328.49,44134906,1091534.71,41217.64,860944.96,12073.75,40170.75,21922.5,3361,2009
1,Tuesday,1,HV0003,Uber,24404,134544.8,23383932,600122.24,21147.53,459665.41,5256.25,22720.0,12600.0,1655,840
1,Tuesday,2,HV0003,Uber,16060,90065.31,15035097,374741.58,11652.14,295943.04,3513.75,14346.5,8013.0,1005,422
1,Tuesday,3,HV0003,Uber,13514,84765.07,13106427,345539.48,10587.27,268594.93,6302.5,10584.5,5961.0,878,345
1,Tuesday,4,HV0003,Uber,19674,144318.94,20531250,615869.97,26786.6,452753.42,15220.0,15533.0,8467.5,1159,547
1,Tuesday,5,HV0003,Uber,31664,222499.63,34224876,960459.06,41272.16,714767.51,19448.75,28647.0,14556.0,1794,931
1,Tuesday,6,HV0003,Uber,56189,333698.23,64308498,1595593.1600000001,65667.20999999999,1202356.12,18882.5,52921.25,26727.0,2921,1783
1,Tuesday,7,HV0003,Uber,91682,439045.99,110854364,2624536.87,103532.9,1949877.13,18180.0,82957.25,42426.0,3638,2066
1,Tuesday,8,HV0003,Uber,118043,490874.95999999996,141734627,3398762.69,138885.32,2487464.3200000003,17926.25,114478.0,58039.5,3690,1858
1,Tuesday,9,HV0003,Uber,102942,449552.68,125086819,2839092.0599999996,124992.23999999999,2117765.41,18323.75,106975.25,54043.5,2676,1145
1,Tuesday,10,HV0003,Uber,88115,399698.53,109581561,2445903.36,115672.42,1823229.27,17642.5,92929.25,46389.0,1977,678
1,Tuesday,11,HV0003,Uber,83810,393687.77,107307428,2420780.4,119008.0,1787623.09,18811.25,90526.75,45624.0,1506,434
1,Tuesday,12,HV0003,Uber,84740,399731.4,107675885,2454444.64,116931.71,1811419.9700000002,20958.75,87496.75,43495.5,1695,559
1,Tuesday,13,HV0003,Uber,84098,411353.24,109203041,2490076.41,118251.84,1846612.14,23100.0,83455.75,42133.5,2147,821
1,Tuesday,14,HV0003,Uber,93668,441196.69,126682658,2805977.21,132188.65,2099474.11,25053.75,87333.25,44254.5,2544,1029
1,Tuesday,15,HV0003,Uber,97249,449754.38,136949089,2959947.42,138060.28,2236462.03,25552.5,91223.75,46383.0,3125,1390
1,Tuesday,16,HV0003,Uber,99591,456257.45,138499312,2996923.9,141284.54,2265333.15,24517.5,97007.5,49566.0,3034,1398
1,Tuesday,17,HV0003,Uber,109079,470399.95,140688710,3170381.08,148015.26,2368196.4899999998,20967.5,114414.25,58855.5,3399,1630
1,Tuesday,18,HV0003,Uber,110939,487992.8,129033193,3091701.3099999996,145088.16999999998,2289273.54,20655.0,125717.0,65115.0,3258,1529
1,Tuesday,19,HV0003,Uber,98706,477495.75,106517106,2620488.2,123006.1,1938860.24,17407.5,110674.25,58906.5,2544,1140
1,Tuesday,20,HV0003,Uber,94047,538445.74,105649540,2912592.6,145884.06,2083873.29,15273.75,109545.75,62529.0,3033,1575
1,Tuesday,21,HV0003,Uber,95080,582955.5700000001,110284993,3381397.39,172373.15000000002,2334526.4000000004,13933.75,110851.25,63712.5,3880,2239
1,Tuesday,22,HV0003,Uber,87382,530284.26,102387153,2974852.79,136429.04,2116247.85,13188.75,95481.5,54337.5,4826,3139
1,Tuesday,23,HV0003,Uber,71820,409295.43,79422163,1970275.3,80385.23,1502246.24,12842.5,75099.25,41715.0,4798,3179
2,Wednesday,0,HV0003,Uber,49848,280775.58999999997,52121055,1288826.88,50738.21,988185.22,10077.5,51213.5,28480.5,3741,2313
2,Wednesday,1,HV0003,Uber,29010,160071.54,28242707,703757.4400000001,25327.56,543655.02,4541.25,29104.5,16413.0,2036,1142
